,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,23128294.000,,,,2846627.000,2995626.000,2843263.000,-5680170.000,3769866.000,4292894.000,4522339.000,-8131714.000,6003857.000
AvailableForSaleSecuritiesGrossRealizedGainLossNet,,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CapitalExpendituresIncurredButNotYetPaid,,,,,,,,,188000.000,,,,101000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-10289000.000,,,,163115000.000,,,,-28457000.000,,,,-36503000.000
ComprehensiveIncomeNetOfTax,-5388000.000,-7427000.000,28652000.000,-6960000.000,-14667000.000,-17659000.000,-26917000.000,-26706000.000,-32928000.000,-38720000.000,-35154000.000,-48999000.000,-100275000.000
CostOfGoodsSold,,,,,,,,,,113000.000,,,
CostsAndExpenses,,,,,,,,,,40412000.000,35730000.000,,
DepreciationAndAmortization,188000.000,,,,195000.000,,,,235000.000,,,,747000.000
EarningsPerShareBasic,,,0.930,,,,-0.620,,,,,,
EarningsPerShareBasicAndDiluted,-5.380,-0.400,,,-0.400,-0.460,,,-0.760,-0.790,-0.700,,-1.990
EarningsPerShareDiluted,,,0.880,,,,-0.620,,,,,,
EffectOfExchangeRateOnCashAndCashEquivalents,7000.000,,,,-14000.000,,,,21000.000,,,,
ForeignCurrencyTransactionGainLossBeforeTax,,,,,,289000.000,-159000.000,,-86000.000,-146000.000,-31000.000,-86000.000,6000.000
GainLossOnSaleOfPropertyPlantEquipment,,,,,-2000.000,,,,,,,,
GeneralAndAdministrativeExpense,3160000.000,2736000.000,3158000.000,3408000.000,3677000.000,3930000.000,4318000.000,4793000.000,6045000.000,6466000.000,6239000.000,7398000.000,9981000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,,,,,,,,,,-35040000.000,,-100179000.000
IncomeLossFromEquityMethodInvestments,,,,,,,,,,,-94000.000,,-149000.000
IncreaseDecreaseInAccountsPayable,-518000.000,,,,305000.000,,,,4921000.000,,,,10341000.000
IncreaseDecreaseInAccountsReceivable,-225000.000,,,,-113000.000,,,,,,,,
IncreaseDecreaseInAccruedLiabilities,-296000.000,,,,1275000.000,,,,-2557000.000,,,,-6194000.000
IncreaseDecreaseInDeferredLiabilities,63000.000,,,,-32000.000,,,,-14000.000,,,,-26000.000
IncreaseDecreaseInDeferredRevenue,-4695000.000,,,,,,,,,,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-726000.000,,,,4164000.000,,,,-460000.000,,,,-28553000.000
IncrementalCommonSharesAttributableToEquityUnitPurchaseAgreements,,,9698.000,,,,,,,,,,
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,,1698252.000,,,,,,,,,,
InvestmentIncomeInterest,3000.000,9000.000,18000.000,14000.000,59000.000,74000.000,248000.000,321000.000,415000.000,529000.000,549000.000,473000.000,485000.000
LiabilitiesAssumed1,560000.000,,,,25000.000,,,,,,,,
LicenseAndServicesRevenue,4782000.000,4703000.000,38784000.000,6436000.000,,,,,,,,,
LicensesRevenue,,,,,,,,,,113000.000,,,
NetCashProvidedByUsedInFinancingActivities,-722000.000,,,,190828000.000,,,,45000.000,,,,71000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-722000.000,,,,190828000.000,,,,45000.000,,,,71000.000
NetCashProvidedByUsedInInvestingActivities,-20000.000,,,,-11650000.000,,,,-1242000.000,,,,24825000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-20000.000,,,,-11650000.000,,,,-1242000.000,,,,24825000.000
NetCashProvidedByUsedInOperatingActivities,-9554000.000,,,,-16049000.000,,,,-27281000.000,,,,-61399000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-9554000.000,,,,-16049000.000,,,,-27281000.000,,,,-61399000.000
NetIncomeLoss,-5395000.000,-7401000.000,28646000.000,-6942000.000,-14653000.000,-17655000.000,-26997000.000,-26165000.000,-33363000.000,-38866000.000,-35134000.000,-48891000.000,-100328000.000
NonoperatingIncomeExpense,,9000.000,67000.000,,59000.000,363000.000,173000.000,264000.000,329000.000,383000.000,690000.000,387000.000,491000.000
OperatingExpenses,10180000.000,12113000.000,10205000.000,13403000.000,14712000.000,18018000.000,27170000.000,26429000.000,33692000.000,,,,100670000.000
OperatingIncomeLoss,-5398000.000,-7410000.000,28579000.000,-6967000.000,-14712000.000,-18018000.000,-27170000.000,-26429000.000,-33692000.000,-39249000.000,-35730000.000,-49187000.000,-100670000.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,7000.000,4000.000,-8000.000,-26000.000,-14000.000,-14000.000,8000.000,11000.000,21000.000,,,,
OtherComprehensiveIncomeLossNetOfTax,7000.000,-26000.000,6000.000,-18000.000,-14000.000,-4000.000,80000.000,-541000.000,435000.000,146000.000,-20000.000,-108000.000,53000.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,,-30000.000,14000.000,,,10000.000,72000.000,,414000.000,146000.000,-20000.000,-108000.000,53000.000
OtherNoncashIncomeExpense,,,,,,,,,-20000.000,,,,-179000.000
OtherNonoperatingIncome,3000.000,,49000.000,,,,84000.000,,,,172000.000,,
PaymentsOfStockIssuanceCosts,756000.000,,,,,,,,,,,,
PaymentsToAcquireInvestments,,,,,12750000.000,,,,6566000.000,,,,28334000.000
PaymentsToAcquirePropertyPlantAndEquipment,20000.000,,,,375000.000,,,,931000.000,,,,849000.000
ProceedsFromIssuanceOfCommonStock,,,,,190770000.000,,,,,,,,
ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions,,,,,,,,,45000.000,,,,
ProceedsFromSaleMaturityAndCollectionsOfInvestments,,,,,1475000.000,,,,6250000.000,,,,54008000.000
ProceedsFromSaleOfPropertyPlantAndEquipment,,,,,,,,,5000.000,,,,
ProceedsFromStockOptionsExercised,34000.000,,,,22000.000,,,,,,,,71000.000
ResearchAndDevelopmentExpense,7020000.000,9377000.000,7047000.000,9995000.000,11035000.000,14088000.000,22852000.000,21636000.000,27647000.000,33833000.000,29491000.000,41789000.000,90689000.000
ShareBasedCompensation,148000.000,,,,910000.000,,,,3017000.000,,,,5180000.000
WeightedAverageNumberOfDilutedSharesOutstanding,,,32513113.000,,,,43525888.000,,,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,1002220.000,18556561.000,,,36903483.000,38162226.000,,,43753517.000,49284573.000,50226588.000,,50395632.000
WeightedAverageNumberOfSharesOutstandingBasic,,,30805163.000,,,,43525888.000,,,,,,
