,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
CashAndCashEquivalentsPeriodIncreaseDecrease,-4003.000,,,,-26.000,,,,197.000,
CostsAndExpensesRelatedParty,,,,,2500.000,,,,,
DebtInstrumentIncreaseAccruedInterest,,,,,,,,,6581.000,
DeferredIncomeTaxExpenseBenefit,3000.000,,,,4000.000,,,,4000.000,
EffectiveIncomeTaxRateContinuingOperations,0.000,,,,0.000,,,,0.000,
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,-0.340,,,,-0.340,,,,-0.340,
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,0.340,,,,0.340,,,,0.340,
GeneralAndAdministrativeExpense,9300.000,8877.000,7049.000,7461.000,10676.000,8942.000,8249.000,8517.000,9951.000,9199.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,,,,,-10645.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-9365.000,-9077.000,-7503.000,-8217.000,-11428.000,-9844.000,-9360.000,-9677.000,-11132.000,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-3938.000,,,,4402.000,,,,-671.000,
IncreaseDecreaseInDueToAffiliatesCurrent,3400.000,,,,,,,,,
IncreaseDecreaseInNotesPayableRelatedPartiesCurrent,5900.000,,,,7000.000,,,,,
InterestExpense,65.000,200.000,454.000,756.000,752.000,902.000,1111.000,1160.000,1181.000,-1446.000
NetCashProvidedByUsedInFinancingActivities,5900.000,,,,7000.000,,,,12000.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,5900.000,,,,7000.000,,,,12000.000,
NetCashProvidedByUsedInOperatingActivities,-9903.000,,,,-7026.000,,,,-11803.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-9903.000,,,,-7026.000,,,,-11803.000,
NetIncomeLoss,-9365.000,-9077.000,-7503.000,-8217.000,-11428.000,-9844.000,-9360.000,-9677.000,-11132.000,-10645.000
OperatingIncomeLoss,-9300.000,-8877.000,-7049.000,-7461.000,,,,,-9951.000,-9199.000
ProceedsFromNotesPayable,,,,,,,,,12000.000,
ProceedsFromOtherShortTermDebt,,,,,650.000,,,,,
ValuationAllowanceDeferredTaxAssetChangeInAmount,3000.000,,,,4000.000,,,,4000.000,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,5000000.000,5000000.000,5000000.000,-10000000.000,5000000.000,5000000.000,5000000.000,-10000000.000,5000000.000,5000000.000
