,2017-03-31
AmortizationOfFinancingCostsAndDiscounts,81843.000
AssetImpairmentCharges,0.000
AssetRetirementObligationAccretionExpense,138569.000
AssetRetirementObligationLiabilitiesIncurred,0.000
AssetRetirementObligationLiabilitiesSettled,0.000
AssetRetirementObligationRevisionOfEstimate,0.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-698192.000
DeferredIncomeTaxesAndTaxCredits,0.000
DepreciationAndAmortization,3140940.000
DepreciationDepletionAndAmortization,3140940.000
DividendsPreferredStockPaidinkind,339610.000
EarningsPerShareBasic,0.190
EarningsPerShareDiluted,0.160
GainLossOnDerivativeInstrumentsNetPretax,3556783.000
GainLossOnDispositionOfAssets,-555642.000
GainLossOnDispositionOfAssets1,555642.000
ImpairmentOfOilAndGasProperties,0.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,2628656.000
IncomeTaxExpenseBenefit,26531.000
IncomeTaxesPaid,0.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-461542.000
IncreaseDecreaseInAccountsReceivable,795740.000
IncreaseDecreaseInOtherCurrentAssets,-306021.000
IncrementalCommonSharesAttributableToCallOptionsAndWarrants,0.000
IncrementalCommonSharesAttributableToConversionOfPreferredStock,0.000
InterestExpense,496091.000
InterestPaid,264542.000
LeaseOperatingExpense,2661264.000
NetCashProvidedByUsedInFinancingActivities,-335648.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-335648.000
NetCashProvidedByUsedInInvestingActivities,-1314070.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-1314070.000
NetCashProvidedByUsedInOperatingActivities,951526.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,951526.000
NetIncomeLoss,2602125.000
NetIncomeLossAvailableToCommonStockholdersBasic,2262515.000
NonoperatingIncomeExpense,3097100.000
OilAndGasSalesRevenue,7144424.000
OperatingExpenses,7612868.000
OperatingIncomeLoss,-468444.000
OtherExpenses,0.000
OtherNonoperatingIncomeExpense,36408.000
PaymentsOfDebtIssuanceCosts,76452.000
PaymentsToAcquireOilAndGasProperty,2053826.000
ProceedsFromLinesOfCredit,0.000
ProceedsFromSaleOfOilAndGasPropertyAndEquipment,641056.000
ProvisionForDoubtfulAccounts,0.000
RepaymentsOfLinesOfCredit,255026.000
SettlementOfAssetRetirementObligationsThroughNoncashPaymentsAmount,0.000
ShareBasedCompensation,51735.000
UnrealizedGainLossOnDerivativesAndCommodityContracts,3556783.000
WeightedAverageNumberOfDilutedSharesOutstanding,14056170.000
WeightedAverageNumberOfSharesOutstandingBasic,12211256.000
