,2011-02-28,2011-05-31,2011-11-30,2012-02-29,2012-05-31,2012-08-31,2012-11-30,2013-02-28,2013-05-31,2013-08-31,2013-11-30,2014-02-28,2014-05-31,2014-08-31,2014-11-30,2015-02-28,2015-05-31,2015-08-31,2015-11-30,2016-02-29,2016-05-31,2016-08-31,2016-11-30,2017-02-28,2017-05-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,23000000.000,,,,22000000.000,,,,27000000.000,,,,31000000.000,,,,37000000.000,,,,36000000.000,,
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,,,6000000.000,,,,17000000.000,,,,15000000.000,,,,15000000.000,,,,5000000.000,,,,3000000.000,,
AmortizationOfIntangibleAssets,,,,,,,28000000.000,31000000.000,28000000.000,24000000.000,27000000.000,33000000.000,38000000.000,38000000.000,37000000.000,36000000.000,34000000.000,36000000.000,31000000.000,28000000.000,29000000.000,28000000.000,30000000.000,28000000.000,36000000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,12000000.000,11000000.000,,7000000.000,6.700,,4.200,1900000.000,1900000.000,-2000004.200,1800000.000,1700000.000,1700000.000,-3500000.000,3300000.000,1700000.000,1700000.000,-5000000.000,4400000.000,5600000.000,5300000.000,-9900000.000,4000000.000,2200000.000,300000.000
AssetsFairValueAdjustment,,,,,,,,,,,,,,,0.000,,,,0.000,,,,0.000,,
BusinessCombinationAcquisitionRelatedCosts,,,,,,,,,,,,,,,,,,,,,,,93000000.000,27000000.000,33000000.000
CapitalExpendituresIncurredButNotYetPaid,,,,,,,,,,,,,,,66000000.000,,,,73000000.000,,,,102000000.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,435000000.000,,,,1354000000.000,,,,828000000.000,,,,769000000.000,,,,-1424000000.000,,,,453000000.000,,
CashFlowHedgeGainLossToBeReclassifiedWithinTwelveMonths,,,,,,,,,,,-34000000.000,,,,-68000000.000,,,,-77000000.000,,,,-23000000.000,,
CommonStockDividendsPerShareDeclared,0.560,,,0.600,,,,0.750,0.000,,0.000,0.860,0.000,0.920,0.000,0.980,0.000,1.030,0.000,1.080,0.000,1.080,0.000,1.080,0.000
ComprehensiveIncomeNetOfTax,,,,,,,387000000.000,1527000000.000,731000000.000,-405000000.000,470000000.000,1650000000.000,1023000000.000,-239000000.000,-232000000.000,811000000.000,841000000.000,-793000000.000,-470000000.000,1030000000.000,909000000.000,-140000000.000,-178000000.000,1567000000.000,925000000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,,,6000000.000,12000000.000,9000000.000,-11000000.000,10000000.000,3000000.000,29000000.000,-10000000.000,-1000000.000,-6000000.000,13000000.000,1000000.000,-5000000.000,-4000000.000,-1000000.000,-14000000.000,5000000.000,-1000000.000,5000000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,1294000000.000,941000000.000,-522000000.000,1443000000.000,292000000.000,-80000000.000,393000000.000,1539000000.000,740000000.000,-416000000.000,480000000.000,1653000000.000,1052000000.000,-249000000.000,-233000000.000,805000000.000,854000000.000,-792000000.000,-475000000.000,1026000000.000,908000000.000,-154000000.000,-173000000.000,1566000000.000,930000000.000
CostOfGoodsSold,1821000000.000,1635000000.000,1343000000.000,2043000000.000,1856000000.000,1217000000.000,1542000000.000,2402000000.000,1986000000.000,1278000000.000,1580000000.000,2385000000.000,1919000000.000,1397000000.000,1459000000.000,2158000000.000,1843000000.000,1359000000.000,1318000000.000,1934000000.000,1809000000.000,1424000000.000,1391000000.000,2122000000.000,1844000000.000
CumulativeTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,,,-97560508.000,,,,12000000.000,,,,20000000.000,,,,-65000000.000,,,,-35000000.000,,,,-22000000.000,,
DefinedBenefitPlanAmortizationOfGainsLosses,-19000000.000,-19000000.000,-25000000.000,-14000000.000,-14000000.000,,-22000000.000,-18000000.000,-20000000.000,-19000000.000,,,,,,,,,,,,,,,
DefinedBenefitPlanExpectedReturnOnPlanAssets,30000000.000,31000000.000,52000000.000,29000000.000,29000000.000,,42000000.000,34000000.000,37000000.000,34000000.000,,,,,,,,,,,,,,,
DefinedBenefitPlanInterestCost,23000000.000,24000000.000,37000000.000,21000000.000,21000000.000,,24000000.000,20000000.000,21000000.000,18000000.000,,,,,,,,,,,,,,,
DefinedBenefitPlanNetPeriodicBenefitCost,29000000.000,30000000.000,36000000.000,22000000.000,22000000.000,,28000000.000,23000000.000,24000000.000,21000000.000,,,,,,,,,,,,,,,
DefinedBenefitPlanRecognizedNetGainLossDueToSettlements,2000000.000,1000000.000,,2000000.000,2000000.000,,,,,,,,,,,,,,,,,,,,
DefinedBenefitPlanRecognizedNetGainLossDueToSettlements1,,,,,,,-1000000.000,-1000000.000,-1000000.000,-4000000.000,,,,,,,,,,,,,,,
DefinedBenefitPlanServiceCost,15000000.000,17000000.000,26000000.000,14000000.000,14000000.000,,23000000.000,18000000.000,19000000.000,18000000.000,,,,,,,,,,,,,,,
DepreciationDepletionAndAmortization,,,155000000.000,156000000.000,155000000.000,156000000.000,152000000.000,153000000.000,152000000.000,158000000.000,162000000.000,170000000.000,175000000.000,184000000.000,182000000.000,180000000.000,176000000.000,178000000.000,181000000.000,184000000.000,178000000.000,184000000.000,189000000.000,183000000.000,177000000.000
DerivativeGainLossOnDerivativeNet,,,,,,,,,,,19000000.000,-15000000.000,-14000000.000,,-60000000.000,-87000000.000,-25000000.000,42000000.000,-63000000.000,-18000000.000,-50000000.000,8000000.000,-95000000.000,18000000.000,46000000.000
DerivativeInstrumentsGainLossRecognizedInIncomeNet,-3000000.000,-9000000.000,-28000000.000,51000000.000,-20000000.000,-4000000.000,61000000.000,17000000.000,46000000.000,,,,,,,,,,,,,,,,
DerivativeInstrumentsGainLossRecognizedInOtherComprehensiveIncomeEffectivePortionNet,99000000.000,25000000.000,-134000000.000,15000000.000,-76000000.000,201000000.000,-18000000.000,-82000000.000,44000000.000,,-68000000.000,21000000.000,8000000.000,,3000000.000,-57000000.000,-59000000.000,13000000.000,-4000000.000,-48000000.000,48000000.000,-64000000.000,46000000.000,13000000.000,-19000000.000
DerivativeInstrumentsGainReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortion,,,63000000.000,,,,138000000.000,,,,,,,,,,,,,,,,,,
DerivativeInstrumentsGainRecognizedInIncome,,,63000000.000,,,,,,,,,,,,,,,,,,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,4000000.000,,,11000000.000,-3000000.000,,11000000.000,6000000.000,0.000,0.000,14000000.000,8000000.000,0.000,0.000,26000000.000,11000000.000,0.000,8000000.000,20000000.000,4000000.000,0.000,3000000.000,16000000.000,5000000.000,0.000
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,1000000.000,,,4000000.000,-1000000.000,,4000000.000,2000000.000,0.000,0.000,5000000.000,4000000.000,0.000,0.000,10000000.000,4000000.000,0.000,3000000.000,8000000.000,1000000.000,0.000,1000000.000,6000000.000,2000000.000,0.000
DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,,,1000000.000,,,,12000000.000,,,,1000000.000,,,,1000000.000,,,,0.000,,,,,,
EarningsPerShareBasic,1.900,1.270,0.240,2.270,1.760,-0.440,0.630,2.780,1.700,-0.460,0.700,3.180,1.640,-0.240,0.500,2.950,2.410,-1.010,-0.560,2.420,1.640,-0.480,0.070,3.120,1.920
EarningsPerShareDiluted,1.880,1.260,0.230,2.240,1.740,-0.420,0.630,2.740,1.680,-0.450,0.690,3.150,1.620,-0.240,0.500,2.920,2.390,-1.000,-0.560,2.410,1.630,-0.490,0.070,3.090,1.900
EffectOfExchangeRateOnCashAndCashEquivalents,,,-81000000.000,,,,-3000000.000,,,,25000000.000,,,,-93000000.000,,,,-37000000.000,,,,-28000000.000,,
EmployeeServiceShareBasedCompensationAllocationOfRecognizedPeriodCostsCapitalizedAmount,,,6000000.000,,,,4000000.000,,,,3000000.000,,,,3000000.000,,,,3000000.000,,,,,,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,,,6000000.000,,,,16000000.000,,,,15000000.000,,,,16000000.000,,,,6000000.000,,,,4000000.000,,
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,,,6000000.000,,,,15000000.000,,,,15000000.000,,,,16000000.000,,,,6000000.000,,,,4000000.000,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInOtherComprehensiveIncomeLoss,,,,,,,1000000.000,,,,,,,,,,,,,,,,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilityGainLossIncludedInEarnings,,,,,,,,,,,,,,,4000000.000,,,,,,,,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilitySettlements,,,,,,,,,,,40000000.000,,,,,,,,,,,,,,
FiniteLivedIntangibleAssetsAmortizationExpense,37000000.000,38000000.000,37000000.000,38000000.000,25000000.000,,,,,,,,,,,,,,,,,,,,
ForeignCurrencyTransactionGainLossRealized,-24000000.000,-2000000.000,,-11000000.000,23000000.000,,,-34000000.000,-21000000.000,,-41000000.000,-60000000.000,-12000000.000,17000000.000,51000000.000,56000000.000,-13000000.000,-52000000.000,-28000000.000,-216000000.000,19000000.000,403000000.000,39000000.000,21000000.000,31000000.000
