,2011-12-31,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30
OtherLiabilitiesNoncurrent,43523.000,52924.000,50508.000,65896.000,68305.000,,,,,,,,,,,,
PreferredStockSharesAuthorized,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,,,,,,,,,,,,
PreferredStockSharesIssued,1000000.000,1000000.000,1000000.000,1000000.000,,,,,,,,,,,,,
PreferredStockSharesOutstanding,1000000.000,1000000.000,1000000.000,1000000.000,,,,,,,,,,,,,
PrepaidRent,,,,,,24476.000,,,,,,,,,,,
PropertyPlantAndEquipmentGross,,,,,,,,,,,,,,90073.000,79255.000,165650.000,167612.000
PropertyPlantAndEquipmentNet,6179.000,5332.000,3729.000,3603.000,3818.000,4797.000,4797.000,4942.000,6297.000,3531.000,3531.000,3531.000,10446.000,54402.000,73919.000,158234.000,154654.000
PropertyPlantAndEquipmentOwnedAccumulatedDepreciation,,,,,,,,,,,,,,-35671.000,5336.000,7416.000,12958.000
RetainedEarningsAccumulatedDeficit,-149865.000,-109080.000,-98129.000,-110883.000,-44545.000,-174824.000,-192199.000,-204055.000,-195695.000,-289066.000,-316899.000,-317880.000,-389069.000,-567356.000,-753188.000,-993927.000,-1404541.000
SalesAndExciseTaxPayableCurrent,,,,,,2010.000,1982.000,7000.000,9446.000,1522.000,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,,,,,,,,,,,,,0.075,0.075,0.075,0.075,0.075
StockholdersEquity,303552.000,299839.000,319585.000,283514.000,358230.000,224073.000,206900.000,905338.000,1163127.000,1171443.000,1145306.000,1144409.000,1217317.000,1081763.000,1029092.000,815589.000,441809.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,303552.000,299839.000,319585.000,283514.000,358230.000,,,,,,,,,,,,
Supplies,,,,,,4038.000,3969.000,3339.000,2361.000,4131.000,3002.000,3345.000,67198.000,25949.000,62979.000,30251.000,30649.000
