,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30
AmortizationOfDebtDiscountPremium,,,-10000.000,,,,-10000.000,,
AmortizationOfFinancingCosts,501000.000,795000.000,780000.000,780000.000,780000.000,780000.000,780000.000,780000.000,780000.000
AmortizationOfIntangibleAssets,,,1117000.000,,,,1116000.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,4545000.000,,,,4412000.000,,
ComprehensiveIncomeNetOfTax,,,-2293000.000,-801000.000,-2097000.000,-4149000.000,-1514000.000,1487000.000,-59000.000
CostOfGoodsAndServicesSold,53823000.000,48815000.000,49942000.000,55377000.000,55360000.000,54595000.000,57578000.000,66054000.000,67708000.000
DepreciationDepletionAndAmortization,,,1157000.000,,,,1112000.000,,
DistributionMadeToMemberOrLimitedPartnerCashDistributionsPaid,,,10000.000,,,,,,
EffectOfExchangeRateOnCashAndCashEquivalents,,,6000.000,,,,-32000.000,,
GainLossOnDispositionOfAssets,,,1000.000,,,,0.000,,
GrossProfit,21214000.000,18903000.000,17920000.000,20448000.000,18503000.000,16637000.000,19770000.000,24230000.000,23862000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,7719000.000,,,,8823000.000,,
IncreaseDecreaseInAccountsReceivable,,,2678000.000,,,,4807000.000,,
IncreaseDecreaseInInventories,,,1625000.000,,,,2011000.000,,
IncreaseDecreaseInOtherNoncurrentAssets,,,,,,,-77000.000,,
IncreaseDecreaseInOtherOperatingAssets,,,-78000.000,,,,,,
IncreaseDecreaseInPrepaidExpense,,,-269000.000,,,,-410000.000,,
InterestExpense,5628000.000,6451000.000,6450000.000,6461000.000,6461000.000,6447000.000,6447000.000,6470000.000,6478000.000
NetCashProvidedByUsedInFinancingActivities,,,-10000.000,,,,3000.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,-10000.000,,,,3000.000,,
NetCashProvidedByUsedInInvestingActivities,,,-1618000.000,,,,-1737000.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-1618000.000,,,,-1737000.000,,
NetCashProvidedByUsedInOperatingActivities,,,6167000.000,,,,6178000.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,6167000.000,,,,6178000.000,,
NetIncomeLoss,1587000.000,-707000.000,-2516000.000,-518000.000,-2597000.000,-3928000.000,-1323000.000,1803000.000,-257000.000
NonoperatingIncomeExpense,-6157000.000,-7297000.000,-7257000.000,-7265000.000,-7251000.000,-7150000.000,-7237000.000,-7252000.000,-7275000.000
OperatingIncomeLoss,7744000.000,6590000.000,4741000.000,6747000.000,4654000.000,3222000.000,5914000.000,9055000.000,7018000.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,,,223000.000,,,,,,
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,,,,-283000.000,500000.000,,-191000.000,-316000.000,198000.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,,,,-283000.000,500000.000,,-191000.000,-316000.000,198000.000
OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease,,,223000.000,,,,,,
OtherDepreciationAndAmortization,,,1019000.000,,,,1136000.000,,
OtherNonoperatingIncomeExpense,-28000.000,-51000.000,-27000.000,-24000.000,-10000.000,77000.000,-10000.000,-2000.000,-17000.000
PartnersCapitalAccountDistributions,,,10000.000,,,,,,
PartnersCapitalAccountSaleOfUnits,,,,,,,3000.000,,
PartnersCapitalAccountUnitBasedCompensation,,,46000.000,,,,5000.000,,
PaymentsOfDistributionsToAffiliates,,,,,,,0.000,,
PaymentsToAcquireOtherProductiveAssets,,,1136000.000,,,,921000.000,,
PaymentsToAcquirePropertyPlantAndEquipment,,,484000.000,,,,816000.000,,
ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions,,,,,,,3000.000,,
ProceedsFromSaleOfPropertyPlantAndEquipment,,,2000.000,,,,0.000,,
ProductWarrantyExpense,,,757000.000,,,,753000.000,,
RevenueFromRelatedParties,,,,0.000,0.000,,,,
Revenues,75037000.000,67718000.000,67862000.000,75825000.000,73863000.000,71232000.000,77348000.000,90284000.000,91570000.000
SalesRevenueNet,75037000.000,67718000.000,67862000.000,75825000.000,73863000.000,71232000.000,77348000.000,90284000.000,91570000.000
SellingGeneralAndAdministrativeExpense,13470000.000,12313000.000,13179000.000,13701000.000,13849000.000,13415000.000,13856000.000,15175000.000,16844000.000
ShareBasedCompensation,,,46000.000,,,,5000.000,,
StandardProductWarrantyAccrualPayments,,,,,,,786000.000,,
StandardProductWarrantyAccrualWarrantiesIssued,,,,,,,753000.000,,
