,2011-06-30,2011-09-30,2011-12-31
AccountsPayableCurrent,111782000.000,109975000.000,147202000.000
AccountsReceivableNetCurrent,164412000.000,156517000.000,198663000.000
AccruedIncomeTaxesCurrent,5024000.000,4586000.000,4307000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,-25171000.000,-25648000.000
AllowanceForDoubtfulAccountsReceivableCurrent,1562000.000,1587000.000,1739000.000
Assets,500922000.000,481762000.000,551057000.000
AssetsCurrent,372838000.000,357478000.000,430919000.000
BankOverdrafts,92000.000,2830000.000,112000.000
CashAndCashEquivalentsAtCarryingValue,58642000.000,11906000.000,26218000.000
DeferredFinanceCostsNoncurrentNet,10821000.000,12182000.000,11489000.000
DeferredRevenueCurrent,2000000.000,2342000.000,5139000.000
DeferredTaxAssetsNetCurrent,145000.000,177000.000,209000.000
DeferredTaxAssetsNetNoncurrent,149000.000,819000.000,1044000.000
DeferredTaxLiabilitiesCurrent,,794000.000,991000.000
DeferredTaxLiabilitiesNoncurrent,4754000.000,4682000.000,4544000.000
EquityMethodInvestments,11179000.000,12272000.000,13180000.000
GeneralPartnersCapitalAccount,1000.000,1000.000,1000.000
Goodwill,23737000.000,23058000.000,22965000.000
IncomeTaxesReceivable,1923000.000,1352000.000,1209000.000
IntangibleAssetsNetExcludingGoodwill,33725000.000,29353000.000,25447000.000
InterestPayableCurrent,26351000.000,12154000.000,26443000.000
InventoryFinishedGoods,140749000.000,179918000.000,196004000.000
Liabilities,642788000.000,630172000.000,706110000.000
LiabilitiesAndStockholdersEquity,500922000.000,481762000.000,551057000.000
LiabilitiesCurrent,157476000.000,144870000.000,200400000.000
LimitedPartnersCapitalAccount,-141969000.000,-123508000.000,-129736000.000
LongTermDebtAndCapitalLeaseObligations,480268000.000,479833000.000,500383000.000
LongTermDebtAndCapitalLeaseObligationsCurrent,353000.000,351000.000,358000.000
MinorityInterest,102000.000,268000.000,330000.000
OtherAssetsNoncurrent,839000.000,337000.000,503000.000
OtherLiabilitiesNoncurrent,290000.000,787000.000,783000.000
PartnersCapital,,-148678000.000,-155383000.000
PartnersCapitalIncludingPortionAttributableToNoncontrollingInterest,-141866000.000,-148410000.000,-155053000.000
PrepaidExpenseAndOtherAssetsCurrent,6967000.000,7608000.000,8616000.000
PropertyPlantAndEquipmentNet,47634000.000,46263000.000,45510000.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-141866000.000,-148410000.000,-155053000.000
