,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31
Assets,611862797.000,570890835.000,548994309.000,548072000.000,519559778.000,453854785.000,407674216.000,388786260.000,362648458.000,337229234.000,323545054.000
CashAndCashEquivalentsAtCarryingValue,34137468.000,33241310.000,30701757.000,31120232.000,26585606.000,23887540.000,20212595.000,15816527.000,15374725.000,13322304.000,9110417.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetValue,,,,,13655208.000,12551805.000,10999319.000,10925869.000,9226870.000,8209191.000,7877944.000
InvestmentOwnedPercentOfNetAssets,0.985,0.996,0.992,0.990,1.110,1.074,1.043,1.041,1.048,1.038,1.058
Liabilities,25223434.000,30824591.000,26715538.000,25725006.000,75443014.000,53599754.000,36078533.000,30571114.000,31178856.000,25314959.000,26449716.000
LiabilitiesAndStockholdersEquity,611862797.000,570890835.000,548994309.000,548072000.000,519559778.000,453854785.000,407674216.000,388786260.000,362648458.000,337229234.000,323545054.000
LimitedPartnersCapitalAccountUnitsOutstanding,4674089.380,4482895.540,4330758.940,4206344.790,,,,,,,
ManagementFeePayable,,,,,2193001.000,1407032.000,1729340.000,2038321.000,2324923.000,1796146.000,1343876.000
MembersCapital,,,,,,,,,331469602.000,311914275.000,297095338.000
MoneyMarketFundsAtCarryingValue,,,,,26262047.000,22803200.000,19660555.000,15425743.000,15355675.000,12398711.000,9080568.000
OtherAccruedLiabilitiesCurrent,579369.000,826278.000,649992.000,910549.000,602827.000,835356.000,658857.000,816770.000,589574.000,752434.000,524954.000
PartnersCapital,586639363.000,540066244.000,522278771.000,522346994.000,444116764.000,400255031.000,371595683.000,358215146.000,,,
PartnersCapitalAccountUnits,,,,,3642150.950,3205904.200,2930982.830,2735309.380,2514826.500,2355394.490,2183657.130
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,586639363.000,540066244.000,522278771.000,522346994.000,444116764.000,400255031.000,371595683.000,358215146.000,331469602.000,311914275.000,297095338.000
