,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
AssetImpairmentCharges,,,0.000,,
AssetRetirementObligationAccretionExpense,135000.000,122200.000,131600.000,141400.000,205800.000
AssetRetirementObligationLiabilitiesSettled,,,,100.000,
AssetRetirementObligationRevisionOfEstimate,13900.000,-100700.000,-169800.000,1074400.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,-38900.000,-30500.000,17300.000,-17300.000,
ComprehensiveIncomeNetOfTax,-1404900.000,-744300.000,-358700.000,-2705700.000,-1307800.000
CostsAndExpenses,,1636000.000,1427500.000,3603500.000,1657500.000
DepletionOfOilAndGasProperties,494800.000,447400.000,391300.000,275200.000,67600.000
DerivativeGainLossOnDerivativeNet,,,,,12900.000
DerivativeInstrumentsGainLossReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortionNet,,,,,1900.000
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReserves10PercentAnnualDiscountForEstimatedTimingOfCashFlows,,320200.000,900700.000,,
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReservesFutureCashInflows,,3320600.000,6365800.000,,
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReservesFutureNetCashFlows,,993500.000,2357900.000,,
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReservesFutureProductionCosts,,2327100.000,,,
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReservesFutureProductionCosts1,,,-4007900.000,,
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReservesStandardizedMeasure,,673300.000,1457200.000,,
DistributionMadeToMemberOrLimitedPartnerCashDistributionsPaid,614900.000,107600.000,,,
GainLossOnFairValueHedgeIneffectivenessNet,,0.000,0.000,0.000,
GainLossOnSaleOfDerivatives,,,,-8700.000,9400.000
GeneralAndAdministrativeExpense,176000.000,173600.000,157200.000,145400.000,132800.000
GeneralPartnerDistributions,140000.000,0.000,,,
GrossProfit,,129600.000,333400.000,184700.000,-148300.000
ImpairmentOfLongLivedAssetsHeldForUse,890100.000,92400.000,0.000,,
ImpairmentOfOilAndGasProperties,904700.000,92400.000,,,
IncreaseDecreaseDueFromAffiliates,-213100.000,-33400.000,95800.000,-173000.000,-33900.000
IncreaseDecreaseInAccountsPayable,,,53900.000,-53900.000,
IncreaseDecreaseInAccruedLiabilities,-3600.000,-8100.000,7400.000,1500.000,-500.000
IncreaseDecreaseInAssetRetirementObligations,,,,-100.000,
IncreaseDecreaseInDueToAffiliates,,,,,550200.000
NaturalGasProductionRevenue,344500.000,,,,
NetCashProvidedByUsedInFinancingActivities,-614900.000,-107600.000,-176200.000,-169700.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-614900.000,-107600.000,-176200.000,-169700.000,
NetCashProvidedByUsedInInvestingActivities,,,1100.000,200.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,1100.000,200.000,
NetCashProvidedByUsedInOperatingActivities,576000.000,77100.000,192400.000,152200.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,576000.000,77100.000,192400.000,152200.000,
NetIncomeLoss,-1351400.000,-706000.000,-346700.000,-2711900.000,-1304900.000
NetIncomeLossAllocatedToGeneralPartners,-340700.000,-218800.000,-112400.000,-1126500.000,-529600.000
NetIncomeLossAllocatedToLimitedPartners,-1010700.000,-487200.000,-234300.000,-1585400.000,-775300.000
NetIncomeLossPerOutstandingLimitedPartnershipUnit,-799.000,,,,
NetIncomeLossPerOutstandingLimitedPartnershipUnitBasicNetOfTax,,,-185.000,-1253.000,-613.000
OilAndGasProductionExpense,863300.000,800400.000,747400.000,706900.000,488000.000
OilAndGasRevenue,1207800.000,930000.000,1080800.000,891600.000,352600.000
OilAndGasSalesRevenue,,,,,339700.000
OperatingCostsAndExpenses,2559200.000,,,,
OtherComprehensiveIncomeDerivativesQualifyingAsHedgesBeforeTaxPeriodIncreaseDecrease,-53500.000,,,,
OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesBeforeTax,,-38300.000,-12000.000,,
OtherComprehensiveIncomeLossNetOfTax,,,,6200.000,-2900.000
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesNetOfTax,,,28400.000,12500.000,1900.000
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax,,,,3700.000,
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,17500.000,-7400.000,-9600.000,,
OtherNoncashExpense,183400.000,95800.000,50700.000,,
PartnersCapitalAccountDistributions,754900.000,107600.000,176200.000,169700.000,
PaymentsOfCapitalDistribution,,,176200.000,169700.000,
PriceRiskCashFlowHedgeGainOrLossReclassifiedToEarningsNet,-125600.000,-56000.000,,,
ProceedsFromSaleOfOilAndGasPropertyAndEquipment,,,1100.000,200.000,
RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,,,904600.000,,
RelatedPartyTransactionSellingGeneralAndAdministrativeExpensesFromTransactionsWithRelatedParty,,110000.000,,,
ResultsOfOperationsDepreciationDepletionAndAmortizationAndValuationProvisions,,447400.000,391300.000,,
ResultsOfOperationsImpairmentOfOilAndGasProperties,,92400.000,,2334600.000,763300.000
ResultsOfOperationsIncomeBeforeIncomeTaxes,,-410200.000,-57900.000,-2425100.000,-979200.000
ResultsOfOperationsProductionOrLiftingCosts,,800400.000,747400.000,,
ResultsOfOperationsRevenueFromOilAndGasProducingActivities,1207800.000,930000.000,1080800.000,891600.000,
