,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,3962000.000,,,,,,,,,,,,,,
AccountsPayableRelatedPartiesCurrent,,7680000.000,6761000.000,3591000.000,3544000.000,105715000.000,128163000.000,124174000.000,102737000.000,92031000.000,97671000.000,110650000.000,122091000.000,120063000.000,126406000.000
AccountsPayableTradeCurrent,,1303000.000,1504000.000,3244000.000,2138000.000,11455000.000,10840000.000,15318000.000,12267000.000,9489000.000,14663000.000,9310000.000,9171000.000,9186000.000,13596000.000
AccountsReceivableNetCurrent,,16000.000,3000.000,288000.000,404000.000,54785000.000,62824000.000,69833000.000,61351000.000,55053000.000,60946000.000,62177000.000,57065000.000,65240000.000,62385000.000
AccountsReceivableRelatedPartiesCurrent,,11431000.000,11793000.000,12476000.000,11610000.000,52056000.000,55614000.000,59589000.000,42170000.000,44014000.000,39105000.000,47156000.000,54176000.000,48798000.000,46228000.000
AccrualForTaxesOtherThanIncomeTaxesCurrent,867000.000,295000.000,572000.000,843000.000,1126000.000,1360000.000,544000.000,769000.000,1153000.000,1500000.000,925000.000,1019000.000,1584000.000,2454000.000,2608000.000
AccruedEnvironmentalLossContingenciesCurrent,,33000.000,,,,0.000,,,,,,,,,
AccruedIncomeTaxes,0.000,0.000,,,,0.000,,,,,,,,0.000,
AccruedLiabilitiesCurrent,1270000.000,3199000.000,5514000.000,6532000.000,7794000.000,19197000.000,22445000.000,29815000.000,25087000.000,30378000.000,25858000.000,33018000.000,34181000.000,39599000.000,35485000.000
AccruedProfessionalFeesCurrent,,,,,,602000.000,569000.000,580000.000,585000.000,633000.000,709000.000,205000.000,269000.000,245000.000,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,76501000.000,66289000.000,69533000.000,73000000.000,76331000.000,99651000.000,104050000.000,108270000.000,112739000.000,138906000.000,145619000.000,150038000.000,179563000.000,182743000.000,191966000.000
AllowanceForDoubtfulAccountsReceivableCurrent,,,,,,107000.000,137000.000,195000.000,123000.000,106000.000,107000.000,232000.000,156000.000,132000.000,117000.000
Assets,180012000.000,245539000.000,247380000.000,244729000.000,243605000.000,378273000.000,434010000.000,441617000.000,412033000.000,500951000.000,487326000.000,483221000.000,582730000.000,580854000.000,579478000.000
AssetsCurrent,282000.000,97364000.000,96517000.000,94623000.000,93163000.000,186448000.000,232988000.000,236089000.000,206433000.000,168567000.000,152070000.000,152248000.000,150502000.000,158936000.000,159908000.000
AssetsHeldForSaleNotPartOfDisposalGroupCurrent,,,,,,,,,,,,5616000.000,,17354000.000,16021000.000
CashAndCashEquivalentsAtCarryingValue,0.000,84000000.000,82951000.000,79395000.000,79109000.000,54298000.000,88172000.000,78550000.000,71372000.000,44605000.000,28653000.000,17562000.000,16542000.000,14652000.000,23298000.000
ConstructionInProgressGross,27462000.000,9301000.000,15274000.000,12752000.000,13821000.000,10949000.000,14600000.000,,,,,,,,
