,2011-06-30,2011-09-30,2012-03-31,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31
AccretionAmortizationOfDiscountsAndPremiumsInvestments,,,,,-72306.000,,,
AdjustmentForAmortization,,,36342.000,,17589.000,,,
AmortizationOfDebtDiscountPremium,,,202517.000,13236.000,,,,
AmortizationOfFinancingCosts,,,,2477.000,4237.000,,,
AssetImpairmentCharges,,,256737.000,0.000,0.000,0.000,1172547.000,0.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,4702.000,,-6473.000,,,
ComprehensiveIncomeNetOfTax,-915492.000,-628174.000,-896187.000,-1592517.000,-279200.000,-394409.000,-1530710.000,-467622.000
CostOfGoodsSold,61490.000,63408.000,72653.000,52006.000,26593.000,37964.000,42487.000,15485.000
DebtInstrumentConvertibleInterestExpense,,,,,123596.000,,,
DeferredIncomeTaxExpenseBenefit,,,,,0.000,,,
DerivativeGainLossOnDerivativeNet,,,,-138073.000,,,0.000,
EarningsPerShareBasicAndDiluted,-0.033,-0.022,-0.030,-0.034,-0.010,-0.007,-0.024,0.001
FinancingInterestExpense,,,,360776.000,,,,
GainsLossesOnExtinguishmentOfDebt,,,,0.000,0.000,0.000,0.000,0.000
GeneralAndAdministrativeExpense,174390.000,103560.000,105791.000,157681.000,122250.000,163773.000,143577.000,141159.000
GrossProfit,13043.000,30465.000,42070.000,26665.000,17646.000,-7194.000,-9553.000,17793.000
IncomeLossFromContinuingOperations,-915492.000,-628174.000,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,,-904301.000,-1592517.000,-279200.000,-394409.000,-1542841.000,-450785.000
IncomeTaxExpenseBenefit,,,,0.000,0.000,0.000,0.000,0.000
IncomeTaxesPaid,,,,,0.000,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,64350.000,,14179.000,,,
IncreaseDecreaseInAccountsReceivable,,,-1239.000,,5102.000,,,
IncreaseDecreaseInInterestPayableNet,,,132604.000,,27814.000,,,
IncreaseDecreaseInPrepaidExpense,,,-18110.000,,0.000,,,
InterestExpense,372133.000,480913.000,385589.000,1205185.000,123596.000,172442.000,166164.000,276419.000
InterestPaid,,,29250.000,,18375.000,,,
LeaseAndRentalExpense,10012.000,8166.000,,,,,,
NetCashProvidedByUsedInFinancingActivities,,,188250.000,,141000.000,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,188250.000,,141000.000,,,
NetCashProvidedByUsedInInvestingActivities,,,-93400.000,,0.000,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-93400.000,,0.000,,,
NetCashProvidedByUsedInOperatingActivities,,,-90148.000,,-147473.000,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-90148.000,,-147473.000,,,
NetIncomeLoss,-915492.000,-628174.000,-904301.000,-1592517.000,-279200.000,-394409.000,-1542841.000,-450785.000
NonoperatingIncomeExpense,-372133.000,-480913.000,-298843.000,-1392501.000,-123596.000,-172442.000,-166164.000,-276419.000
OfficersCompensation,372000.000,66000.000,285000.000,69000.000,51000.000,51000.000,51000.000,51000.000
OperatingExpenses,556402.000,177726.000,647528.000,226681.000,173250.000,214773.000,1367124.000,192159.000
OperatingIncomeLoss,-543359.000,-147261.000,-605458.000,-200016.000,-155604.000,-221967.000,-1376677.000,-174366.000
OtherAssetImpairmentCharges,,,256737.000,,0.000,,,
OtherComprehensiveIncomeLossNetOfTax,,,,0.000,0.000,0.000,12131.000,-16837.000
OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease,,,8114.000,,,,,
PaymentsToAcquireMineralRights,,,158400.000,,0.000,,,
ProceedsFromConvertibleDebt,,,188250.000,,0.000,,,
ProceedsFromIssuanceOfCommonStock,,,,,14500.000,,,
ProceedsFromNotesPayable,,,,,126500.000,,,
ProceedsFromSaleOfOtherProductiveAssets,,,65000.000,,0.000,,,
Revenues,74533.000,93873.000,114723.000,78671.000,44239.000,30770.000,32934.000,33278.000
SalesRevenueNet,74533.000,93873.000,114723.000,78671.000,44239.000,30770.000,32934.000,33278.000
ShareBasedCompensation,,,189000.000,,0.000,,,
StockIssuedDuringPeriodSharesConversionOfConvertibleSecurities,,,,,1305034.000,,,
StockIssuedDuringPeriodSharesIssuedForCash,,,,,241667.000,,,
StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,,,,,40000.000,,,
StockIssuedDuringPeriodValueIssuedForCash,,,,,14500.000,,,
StockIssuedDuringPeriodValueOther,,,,,-704.000,,,
StockIssuedDuringPeriodValueShareBasedCompensation,,,189000.000,,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,47470406.000,48295256.000,56673089.000,64021355.000,-105787245.000
