,2011-10-31,2012-04-30,2012-07-31,2012-10-31,2013-01-31,2013-04-30,2013-07-31,2013-10-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30
CashPeriodIncreaseDecrease,,-10014.000,,,,,,,,,,,,,,,,,,
EarningsPerShareBasicAndDiluted,-0.000,-0.000,0.000,0.000,,-0.010,,0.000,,-0.010,0.000,0.000,0.010,-0.010,0.000,-0.010,-0.010,-0.010,0.030,-0.010
GeneralAndAdministrativeExpense,515.000,9262.000,2875.000,192.000,1036.000,2635.000,,140.000,,1247.000,1247.000,1445.000,1399.000,1247.000,2047.000,3930.000,3150.000,550.000,-15935.000,-1369.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,,,,,,-0.000,,,,,,,,,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,-2923.000,,,,-3115.000,,,,-2747.000,,,,2747.000,,5430.000,,,,2869.000
IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,,,,,,,,,,7850.000,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,,6171.000,,,,,,,,,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,6171.000,,,,,,,,,,,,,,,,,,
NetCashProvidedByUsedInOperatingActivities,,-16185.000,,,,,,,,,,,,,,,,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-16185.000,,,,,,,,,,,,,,,,,,
NetIncomeLoss,2902.000,13262.000,4675.000,3028.000,5500.000,4735.000,6120.000,,,,,,,,,,,,,2869.000
NetIncomeLossAvailableToCommonStockholdersBasic,,,,,,,,-1640.000,,-2747.000,-2747.000,-2945.000,-6899.000,-2747.000,-3547.000,-5430.000,-4650.000,-2050.000,-6175.000,
ProceedsFromRelatedPartyDebt,,6171.000,,,,,,,,,,,,0.000,,,,,,
ProfessionalFees,2387.000,4000.000,1800.000,2836.000,4464.000,2100.000,1500.000,1500.000,5500.000,1500.000,1500.000,1500.000,5500.000,1500.000,1500.000,1500.000,1500.000,1500.000,-14500.000,-1500.000
ProfitLoss,,-13262.000,,,,-4735.000,,,,,,,,,,,,,,
WeightedAverageNumberOfDilutedSharesOutstanding,,,,,,,3660000.000,,,,,,,,,,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,,,,,3660000.000,,3660000.000,3660000.000,3660000.000,-7320000.000,3660000.000,3660000.000,3660000.000,3660000.000,3660000.000,-7320000.000,3660000.000
