,2011-06-30,2012-03-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2016-03-31
CashAndCashEquivalentsPeriodIncreaseDecrease,-6577.000,-276176.000,-146604.000,47764.000,-62661.000,-57642.000,5536.000,-76158.000,39897.000,-80835.000,68596.000,-35993.000,-8497.000,9418.000
ComprehensiveIncomeNetOfTax,,-85155.000,-205094.000,-45829.000,-25676.000,-304228.000,-143935.000,-41883.000,-4595.000,-235639.000,-62999.000,-82734.000,-31843.000,-25309.000
CostMethodInvestmentsRealizedGains,,,,52159.000,,,,,,,,,,
CostOfGoodsSold,843976.000,482603.000,283725.000,326569.000,233208.000,288551.000,157677.000,203590.000,340502.000,555725.000,134377.000,414467.000,279763.000,82050.000
CurrentForeignTaxExpenseBenefit,,,7824.000,,,,-1663.000,,,,-8343.000,-677.000,8085.000,5729.000
CurrentIncomeTaxExpenseBenefit,,,,,,,,,,,,,,5729.000
DebtInstrumentInterestRateStatedPercentageRateRangeMaximum,,,0.032,,,,,,,,,,,
DebtInstrumentInterestRateStatedPercentageRateRangeMinimum,,,0.031,,,,,,,,,,,
DepreciationDepletionAndAmortization,7766.000,11442.000,11303.000,10402.000,14445.000,7867.000,9436.000,9621.000,9304.000,11700.000,8990.000,8848.000,8811.000,8481.000
EarningsPerShareBasicAndDiluted,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
EffectOfExchangeRateOnCashAndCashEquivalents,29265.000,,,,,,,,,,,80891.000,-80012.000,46075.000
EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations,,19017.000,-75392.000,-25.000,97090.000,-71990.000,-4062.000,23965.000,-10618.000,-700.000,13964.000,,,
ForeignCurrencyTransactionGainBeforeTax,,-26035.000,35378.000,-10039.000,,,,,,,,,,
ForeignCurrencyTransactionGainLossBeforeTax,-18197.000,,,,-9493.000,,10531.000,-13077.000,13870.000,31426.000,-12260.000,-6424.000,58697.000,-11072.000
GainLossOnDispositionOfAssets,0.000,,,,,,,,,,,,,
GainLossOnInvestments,17648.000,-10268.000,-132702.000,18248.000,-39000.000,,-56975.000,,,,,,,
GrossProfit,237468.000,228611.000,173142.000,152915.000,112222.000,129279.000,54654.000,84165.000,75702.000,-15057.000,58568.000,-33593.000,127329.000,39959.000
IncomeLossBeforeExtraordinaryItemsAndCumulativeEffectOfChangeInAccountingPrinciple,-122705.000,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,,,-56312.000,,,,-58249.000,,,,-25613.000,-210663.000,13068.000,-14049.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,-51957.000,-133886.000,,-138937.000,-75991.000,-34606.000,-109935.000,-89309.000,-167762.000,76067.000,-81389.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,,,-72354.000,,,,-80688.000,,,,-63696.000,43578.000,-89135.000,-67340.000
