,2011-05-28,2011-08-27,2011-11-26,2012-02-25,2012-05-26,2012-08-25,2012-11-24,2013-06-01,2013-08-31,2013-11-30,2014-03-01,2014-05-31,2014-08-30,2014-11-29,2015-02-28,2015-05-30,2015-08-29,2015-11-28,2016-02-27,2016-05-28,2016-08-27,2016-11-26,2017-02-25,2017-05-27
AllocatedShareBasedCompensationExpense,,,,,,,,4016000.000,3201000.000,2977000.000,-10100000.000,,,,,,,,,,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,3015000.000,2723000.000,,1403000.000,2178000.000,328000.000,7000.000,,13000.000,,30000.000,154000.000,233000.000,-302377.000,206698.000,132000.000,67000.000,-3387.000,,,,,1783047.000
CashAndCashEquivalentsPeriodIncreaseDecrease,2563000.000,,,,-69970000.000,,,10342000.000,,,,93912000.000,,,,-3035000.000,,,,12810000.000,,,,7165000.000
CommonStockDividendsPerShareCashPaid,,,,,0.040,,,0.050,,,,0.060,,,,0.070,,,,0.070,,,,0.070
CommonStockDividendsPerShareDeclared,,,,,0.040,0.040,0.040,0.050,0.050,0.050,0.060,0.060,0.060,0.060,0.060,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070
ComprehensiveIncomeNetOfTax,14315000.000,16774000.000,21245000.000,112915000.000,17232000.000,27610000.000,24158000.000,20362000.000,17661000.000,26861000.000,41361000.000,16336000.000,9387000.000,16357000.000,29211000.000,7453000.000,1205000.000,11065000.000,19259000.000,-4172000.000,-3584000.000,13010000.000,28098000.000,-3878000.000
CostOfMerchandiseSalesBuyingAndOccupancyCosts,200536000.000,205031000.000,217209000.000,259673000.000,210844000.000,216066000.000,238268000.000,227256000.000,234342000.000,263232000.000,301350000.000,251345000.000,255985000.000,279588000.000,329158000.000,267327000.000,280438000.000,294054000.000,345431000.000,269403000.000,260787000.000,279508000.000,321440000.000,257928000.000
CostsAndExpenses,314718000.000,,,,,,,,,,,,,,,,,,,,,,,
CurrentIncomeTaxExpenseBenefit,,8955000.000,12383000.000,,,,,,,,,,,,,,,,,,,,,
DeferredIncomeTaxExpenseBenefit,,,,,,,,,,,,2748000.000,,,,524000.000,,,,-2496000.000,,,,-1216000.000
DefinedBenefitPlanActuarialNetGainsLosses,,113000.000,113000.000,,,,,,,,,,,,,,,,,,,,,
