,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,,,,,,,,,,,-23782.000,-18541.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,-46257.000,,,,-1341.000,,,,-406.000,,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,,-69271.000,-129120.000,-64164.000,-55249.000,-30282.000,-23782.000,-18541.000
Depreciation,,,,,,136.000,,,,136.000,,
EarningsPerShareBasic,0.207,-0.013,,-0.025,,-0.034,-0.063,-0.031,,,,
EarningsPerShareBasicAndDiluted,,,-0.021,,,-0.034,-0.063,-0.031,-0.022,-0.015,-0.012,-0.009
EarningsPerShareDiluted,0.206,-0.013,,-0.025,,-0.034,,,,,,
EmployeeBenefitsAndShareBasedCompensation,,,,,,34412.000,,,,,,
GainLossOnSaleOfOtherInvestments,600000.000,,,,,,,,,,,
GeneralAndAdministrativeExpense,67211.000,25799.000,42583.000,50959.000,155736.000,66254.000,124805.000,58562.000,48862.000,23642.000,16946.000,11379.000
GrossProfit,,-26864.000,,,,-106341.000,,,,13806.000,,
ImpairmentOfLongLivedAssetsHeldForUse,106323.000,,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,425170.000,-25799.000,-42762.000,-51715.000,-157338.000,-69271.000,-129120.000,-64164.000,-55249.000,-30282.000,-23782.000,-18541.000
IncreaseDecreaseInAccountsPayable,,-6870.000,,,,-40223.000,,,,9700.000,,
IncreaseDecreaseInAccountsPayableRelatedParties,,10931.000,,,,,,,,6640.000,,
IncreaseDecreaseInNotesPayableRelatedParties,,-19393.000,,,,55000.000,,,,,,
IncreaseDecreaseInPrepaidExpense,,2996.000,,,,,,,,,,
InterestExpense,-1296.000,,179.000,756.000,,3017.000,4315.000,5602.000,-32255.000,-6640.000,-6836.000,-7162.000
InterestExpenseRelatedParty,,,,,,3017.000,,,,,,
NetCashProvidedByUsedInFinancingActivities,,-19393.000,,,,105000.000,,,,13400.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,-19393.000,,,,105000.000,,,,13400.000,,
NetIncomeLoss,425170.000,-25799.000,-42762.000,-51715.000,-157338.000,-69271.000,-129120.000,-64164.000,-55249.000,-30282.000,-23782.000,
OperatingCostsAndExpenses,-426466.000,25799.000,42583.000,50959.000,155736.000,66254.000,124805.000,58562.000,48862.000,23642.000,16946.000,11379.000
OperatingIncomeLoss,426466.000,-25799.000,-42583.000,-50959.000,-155736.000,-66254.000,-124805.000,58562.000,-165986.000,-23642.000,-16946.000,-11379.000
ProceedsFromRelatedPartyDebt,,,,,,105000.000,,,,13400.000,,
ProfitLoss,,-25799.000,,,,-69271.000,-129120.000,-64164.000,-55249.000,30282.000,23782.000,18541.000
RelatedPartyTransactionAmountsOfTransaction,,,,,,50000.000,,,,13400.000,,
RelatedPartyTransactionRate,,,,,,0.050,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriodIntrinsicValue,,,,,,10000.000,,,,,,
WeightedAverageNumberOfDilutedSharesOutstanding,2064594.000,2056985.000,,2056985.000,,2056985.000,,,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,2056985.000,,,,,,,2056983.000,2056983.000,2056985.000
WeightedAverageNumberOfSharesOutstandingBasic,2056985.000,2056985.000,,2056985.000,,2056985.000,2056985.000,2056985.000,-4113972.000,2056983.000,2056983.000,2056983.000
