,2012-03-31,2012-06-30
AdjustmentForAmortization,23091.000,46142.000
CashPeriodIncreaseDecrease,1136755.000,
ComprehensiveIncomeNetOfTax,-503670.000,-673608.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,41901.000,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,-624417.000,
CostOfGoodsSold,10913725.000,11951221.000
CurrentIncomeTaxExpenseBenefit,-209013.000,-185146.000
Depreciation,566445.000,
EarningsPerShareBasicAndDiluted,-0.010,-0.010
EarningsPerShareDilutedProFormaAdjustment,0.000,0.000
ForeignCurrencyTransactionLossBeforeTax,16257.000,
GrossProfit,361501.000,488946.000
IncomeLossAttributableToNoncontrollingInterest,19251.000,
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,-624417.000,-687043.000
IncomeTaxExpenseBenefit,,-394159.000
IncreaseDecreaseInAccountsPayableTrade,75377.000,
IncreaseDecreaseInAccruedIncomeTaxesPayable,-24364.000,
IncreaseDecreaseInDueFromRelatedParties,1189678.000,
IncreaseDecreaseInDueToOfficersAndStockholders,272008.000,
IncreaseDecreaseInInventories,-2478527.000,
IncreaseDecreaseInNotesPayableCurrent,3011157.000,
IncreaseDecreaseInNotesReceivableCurrent,-209013.000,
IncreaseDecreaseInOtherAccountsPayable,322346.000,
IncreaseDecreaseInOtherCurrentLiabilities,554941.000,
IncreaseDecreaseInPrepaidExpense,29302.000,
IncreaseDecreaseInRestrictedCash,-1739876.000,
InterestExpense,-526626.000,-586287.000
InterestExpenseShortTermBorrowings,,627627.000
InterestPaid,526626.000,
InvestmentIncomeInterest,8364.000,52003.000
NetCashProvidedByUsedInFinancingActivities,1448147.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,1448147.000,
NetCashProvidedByUsedInInvestingActivities,-85355.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-85355.000,
NetCashProvidedByUsedInOperatingActivities,-242294.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-242294.000,
NetIncomeLoss,-624417.000,-687043.000
OperatingExpenses,932453.000,831402.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,120747.000,13435.000
OtherIncome,-262478.000,1392.000
OtherOperatingIncomeExpenseNet,,-529733.000
PaymentsForLoans,-5121754.000,
PaymentsToAcquirePropertyPlantAndEquipment,-85355.000,
ProceedsFromLoans,6645464.000,
ResultsOfOperationsIncomeBeforeIncomeTaxes,-833430.000,-872189.000
RevenueFromGrants,240503.000,243662.000
Revenues,11012748.000,12441559.000
SalesRevenueNet,11275226.000,12440167.000
SellingExpense,145018.000,160117.000
WeightedAverageNumberBasicSharesOutstandingAdjustmentProForma,179473684.000,179473684.000
