,2011-12-31,2012-12-31
AssetManagementCosts,1791002.000,778319.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,-36264845.000
CashPaidForCapitalizedInterest,0.000,
DerivativeGainLossOnDerivativeNet,,-1000492.000
GainLossOnInvestments,7565353.000,97940.000
GainLossOnSaleOfInvestments,,-348639.000
IncentiveFeeAmountPaid,,0.000
IncomeTaxesPaid,,0.000
IncreaseDecreaseInAccountsPayable,21707.000,14042.000
IncreaseDecreaseInInterestAndDividendsReceivable,251.000,-58059.000
IncreaseDecreaseInOperatingAssets,-11103143.000,-1862353.000
IncreaseDecreaseInOperatingCapital,,-1862353.000
IncreaseDecreaseInOtherAccruedLiabilities,,-107269.000
IncreaseDecreaseInReceivables,29645432.000,0.000
InterestIncomeOperating,0.000,
InterestPaid,,0.000
InvestmentIncomeNet,-7565353.000,96997.000
NetCashProvidedByUsedInFinancingActivities,,-40112053.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,-40112053.000
NetCashProvidedByUsedInOperatingActivities,,3847208.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,3847208.000
OperatingCostsAndExpenses,328178.000,231160.000
OperatingExpenses,3537790.000,1959350.000
OtherCostAndExpenseOperating,256184.000,208254.000
PartnersCapitalAccountContributions,,10735954.000
PartnersCapitalAccountRedemptions,,-45780251.000
PartnersCapitalAccountUnitsRedeemed,,-403118.000
PaymentsForProceedsFromInvestments,9489473.000,1000000.000
PaymentsToAcquireInvestments,-8500000.000,
RealizedInvestmentGainsLosses,-3294790.000,-348639.000
SalesCommissionsAndFees,286491.000,121307.000
SponsorFees,875935.000,620310.000
UnrealizedGainLossOnInvestments,4270563.000,446579.000
