,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsAndOtherReceivablesNetCurrent,1486000.000,412000.000,377000.000,372000.000,92000.000,200000.000,515000.000,1267000.000
AccountsPayableCurrent,10434000.000,15302000.000,14023000.000,12645000.000,11240000.000,18095000.000,18797000.000,15221000.000
AccountsPayableRelatedPartiesCurrent,,1188000.000,3452000.000,1280000.000,981000.000,1320000.000,1666000.000,1764000.000
AccountsReceivableNetCurrent,,23151000.000,15518000.000,19145000.000,18148000.000,21001000.000,23418000.000,25028000.000
AccrualForTaxesOtherThanIncomeTaxesCurrent,,,,,,2057000.000,2504000.000,1665000.000
AccruedBonusesCurrent,373000.000,,,,,,,
AccruedLiabilitiesCurrent,39182000.000,39981000.000,29929000.000,29969000.000,32332000.000,41186000.000,44318000.000,42461000.000
AccruedRentCurrent,1953000.000,1996000.000,1953000.000,1996000.000,1953000.000,2495000.000,2442000.000,2495000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,305566000.000,312576000.000,320729000.000,328783000.000,337022000.000,432106000.000,442178000.000,452527000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,29978000.000,8864000.000,8792000.000,8772000.000,8755000.000,10921000.000,11809000.000,11770000.000
AssetRetirementObligation,,,8329000.000,,,,9937000.000,
AssetRetirementObligationCurrent,1168000.000,1168000.000,1530000.000,1530000.000,472000.000,591000.000,591000.000,591000.000
AssetRetirementObligationsNoncurrent,7418000.000,7450000.000,6799000.000,6943000.000,7275000.000,9271000.000,9346000.000,9490000.000
Assets,418135000.000,430844000.000,422129000.000,424763000.000,414921000.000,506797000.000,504296000.000,495565000.000
AssetsCurrent,16796000.000,44251000.000,36297000.000,43156000.000,38776000.000,43834000.000,48721000.000,49062000.000
CapitalLeaseObligationsCurrent,38000.000,44000.000,49000.000,47000.000,59000.000,90000.000,88000.000,91000.000
CapitalLeaseObligationsNoncurrent,63000.000,85000.000,100000.000,95000.000,111000.000,166000.000,146000.000,130000.000
CapitalLeasedAssetsGross,382000.000,383000.000,385000.000,359000.000,426000.000,639000.000,631000.000,662000.000
CapitalLeasesFutureMinimumPaymentsDue,,,157000.000,,,,247000.000,
CapitalLeasesFutureMinimumPaymentsDueCurrent,,,51000.000,,,,92000.000,
CapitalLeasesFutureMinimumPaymentsDueInFiveYears,,,7000.000,,,,0.000,
CapitalLeasesFutureMinimumPaymentsDueInFourYears,,,19000.000,,,,21000.000,
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,,35000.000,,,,52000.000,
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,,45000.000,,,,82000.000,
CapitalLeasesFutureMinimumPaymentsDueThereafter,,,0.000,,,,0.000,
CapitalLeasesFutureMinimumPaymentsInterestIncludedInPayments,,,8000.000,,,,13000.000,
CapitalLeasesFutureMinimumPaymentsPresentValueOfNetMinimumPayments,,,149000.000,,,,234000.000,
CapitalLeasesLesseeBalanceSheetAssetsByMajorClassAccumulatedDeprecation,281000.000,254000.000,237000.000,216000.000,254000.000,380000.000,398000.000,436000.000
CashAndCashEquivalentsAtCarryingValue,3000.000,3004000.000,6531000.000,9095000.000,8961000.000,6314000.000,9785000.000,6534000.000
DeferredCompensationShareBasedArrangementsLiabilityCurrent,,,181000.000,,,,,
DeferredRevenueCurrent,2241000.000,2932000.000,,,,,,
EnergyRelatedInventoryCoal,2896000.000,3637000.000,932000.000,2308000.000,595000.000,2092000.000,1950000.000,3156000.000
GeneralPartnersCapitalAccount,,13135000.000,13081000.000,12890000.000,12699000.000,12319000.000,12274000.000,12274000.000
GuaranteeObligationsMaximumExposure,67395000.000,67160000.000,56358000.000,56586000.000,59796000.000,73850000.000,71296000.000,71851000.000
InventoryNet,11873000.000,12656000.000,9791000.000,10901000.000,8893000.000,11580000.000,11491000.000,12716000.000
InventorySuppliesNetOfReserves,8977000.000,9019000.000,8859000.000,8593000.000,8298000.000,9488000.000,9541000.000,9560000.000
Liabilities,246154000.000,245747000.000,239759000.000,251750000.000,251155000.000,280975000.000,277726000.000,268959000.000
LiabilitiesAndStockholdersEquity,418135000.000,430844000.000,422129000.000,424763000.000,414921000.000,506797000.000,504296000.000,495565000.000
LiabilitiesCurrent,94433000.000,56815000.000,47453000.000,43894000.000,44553000.000,60601000.000,64781000.000,59446000.000
LiabilitiesOtherThanLongtermDebtNoncurrent,12265000.000,12696000.000,11260000.000,11591000.000,12097000.000,15589000.000,14956000.000,15315000.000
LineOfCreditFacilityRemainingBorrowingCapacity,,,,,,,199000000.000,
LinesOfCreditFairValueDisclosure,,,,,,,201000000.000,197000000.000
LitigationReserve,,,,1700000.000,2080000.000,2600000.000,,2257000.000
LitigationReserveCurrent,,,1710000.000,,,750000.000,2507000.000,
LongTermDebt,184172000.000,176451000.000,180946000.000,,,,,
LongTermDebtAndCapitalLeaseObligations,139456000.000,176236000.000,181046000.000,196265000.000,194505000.000,204785000.000,197989000.000,194198000.000
LongTermDebtCurrent,44779000.000,300000.000,0.000,,,,,
LongTermDebtNoncurrent,139393000.000,176151000.000,180946000.000,,,,,
LongTermLineOfCredit,,175873000.000,180946000.000,196170000.000,194394000.000,204619000.000,197843000.000,194068000.000
LossContingencyAccrualAtCarryingValue,1710000.000,,,,,,,
NotesPayableRelatedPartiesClassifiedCurrent,44479000.000,0.000,0.000,,,,,
NotesPayableRelatedPartiesNoncurrent,139115000.000,0.000,0.000,,,,,
OperatingLeasesFutureMinimumPaymentsDue,,,34863000.000,,,,48543000.000,
OperatingLeasesFutureMinimumPaymentsDueCurrent,,,9582000.000,,,,13276000.000,
OperatingLeasesFutureMinimumPaymentsDueInFiveYears,,,1698000.000,,,,5053000.000,
OperatingLeasesFutureMinimumPaymentsDueInFourYears,,,3583000.000,,,,5272000.000,
OperatingLeasesFutureMinimumPaymentsDueInThreeYears,,,7602000.000,,,,7477000.000,
