,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31
AllocatedShareBasedCompensationExpense,,,,,3000.000,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,1453638.000,1320948.000,
AssetImpairmentCharges,,,,,,162000.000
BankingFeesAndCommissions,,,4.000,4000.000,6000.000,7000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,-2714.000,-305.000,-413000.000,-33000.000,-29000.000
CurrentFederalTaxExpenseBenefit,,,,367000.000,491000.000,579000.000
CurrentForeignTaxExpenseBenefit,,,-1968.000,828000.000,986000.000,
CurrentIncomeTaxExpenseBenefit,,,-2837.000,1195000.000,1477000.000,916000.000
CurrentStateAndLocalTaxExpenseBenefit,,,-869.000,,,
Depreciation,,,1.000,,-1000.000,
DerivativeGainLossOnDerivativeNet,,,-463.000,438000.000,,
EarningsPerShareBasic,,-0.040,0.270,,,
EarningsPerShareBasicAndDiluted,,,,0.110,0.140,0.090
EarningsPerShareDiluted,,-0.060,0.270,,,
FairValueAssumptionsExpectedDividendRate,,,,0.000,,
FairValueAssumptionsExpectedVolatilityRate,,,0.584,0.575,,
FairValueAssumptionsRiskFreeInterestRate,,,0.008,0.005,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilityPeriodIncreaseDecrease,,,,-7000.000,,
ForeignCurrencyTransactionGainLossBeforeTax,,,-17.000,,,
GeneralAndAdministrativeExpense,,684.000,1511.000,-425000.000,-573000.000,432000.000
ImpairmentLossesRelatedToRealEstatePartnerships,,,,,,162000.000
IncomeLossFromEquityMethodInvestments,,-44.000,,,,
IncreaseDecreaseInAccountsAndOtherReceivables,,,238.000,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,-17000.000,-45000.000,-40000.000
IncreaseDecreaseInAccountsPayableAndOtherOperatingLiabilities,,39.000,,,,
IncreaseDecreaseInAccountsReceivableAndOtherOperatingAssets,,-255.000,,,,
IncreaseDecreaseInDerivativeAssetsAndLiabilities,,-966.000,,7000.000,,
IncreaseDecreaseInDueFromRelatedPartiesCurrent,,,,-970000.000,1233000.000,-769000.000
IncreaseDecreaseInDueToOtherRelatedPartiesCurrent,,-212.000,1559.000,,,
IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,,,64.000,,,
IncreaseDecreaseInPrepaidExpense,,,,189000.000,209000.000,7000.000
InterestIncomeExpenseNet,,,17.000,52000.000,86000.000,116000.000
NetCashProvidedByUsedInFinancingActivities,,0.000,0.000,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,0.000,0.000,,,
NetCashProvidedByUsedInInvestingActivities,,,509.000,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,509.000,,,
NetCashProvidedByUsedInOperatingActivities,,-2714.000,-814.000,-413000.000,-33000.000,-29000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-2714.000,-814.000,-413000.000,-33000.000,-29000.000
NetIncomeLoss,,1863.000,2837.000,1195000.000,1477000.000,-916000.000
OperatingExpenses,,2511.000,3270.000,-1146000.000,-1385000.000,631000.000
OtherComprehensiveIncomeLossNetOfTax,,,2354.000,1576000.000,1613000.000,882000.000
OtherComprehensiveIncomeLossTax,,1819.000,,-381000.000,-136000.000,34000.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,,,,381000.000,136000.000,34000.000
OtherOperatingIncomeExpenseNet,,,,49000.000,92000.000,285000.000
OtherThanTemporaryImpairmentCreditLossesRecognizedInEarningsAdditionsAdditionalCreditLosses,,,0.000,,,
PaymentsToAcquireMachineryAndEquipment,,,-2.000,,,
PaymentsToAcquirePropertyPlantAndEquipment,,,,,3000.000,
ProceedsFromIssuanceOfCommonStock,,0.000,0.000,,,
ProceedsFromSaleOfPropertyPlantAndEquipment,,,,,3000.000,
ProceedsFromSaleOfTradingSecuritiesHeldforinvestment,,,511.000,,,
ProfitLoss,,-1863.000,-2837.000,,,
ResearchAndDevelopmentExpense,,1827.000,1759.000,-721000.000,-812000.000,199000.000
ResearchAndDevelopmentExpenseSoftwareExcludingAcquiredInProcessCost,,,1530.000,,,
ServicingAssetAtAmortizedValuePeriodIncreaseDecrease,,323.000,0.000,,,
ShareBasedCompensation,,,,25000.000,-22000.000,3000.000
StockIssuedDuringPeriodValueShareBasedCompensation,,220.000,,,,
UnrealizedGainLossOnInvestments,,,-523.000,-381000.000,-136000.000,34000.000
WeightedAverageNumberOfDilutedSharesOutstanding,,,10441251.000,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,10441251.000,10441251.000,10441251.000
WeightedAverageNumberOfSharesIssuedBasic,,,10441251.000,,,
