,2011-12-31,2012-12-31,2013-12-31
CashAndCashEquivalentsPeriodIncreaseDecrease,2688.000,-10734.000,235182.000
CostOfGoodsAndServicesSold,,,51135.000
DeferredRevenueRevenueRecognized,,,1875253.000
DepreciationAndAmortization,8789.000,54336.000,74735.000
DividendsCommonStock,,,30000.000
EarningsPerShareBasicAndDiluted,-0.000,-0.000,-0.000
GeneralAndAdministrativeExpense,722279.000,656520.000,1404424.000
GrossProfit,,,71264.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,-727294.000,,
IncreaseDecreaseInAccountsPayable,89172.000,30353.000,130133.000
IncreaseDecreaseInAccruedLiabilities,2236.000,,
IncreaseDecreaseInInventories,,,27796.000
IncreaseDecreaseInNotesPayableCurrent,,,100000.000
IncreaseDecreaseInOtherAccruedLiabilities,,890.000,-5209.000
IncreaseDecreaseInPrepaidExpense,-1025.000,1250.000,416000.000
InterestAndOtherIncome,10.000,,
InterestExpense,805.000,2829.000,25663.000
InterestPaid,805.000,2829.000,25663.000
IssuanceOfStockAndWarrantsForServicesOrClaims,325.000,,90500.000
NetCashProvidedByUsedInFinancingActivities,753929.000,653593.000,84124.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,753929.000,653593.000,84124.000
NetCashProvidedByUsedInInvestingActivities,-123444.000,-59975.000,-158000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-123444.000,-59975.000,-158000.000
NetCashProvidedByUsedInOperatingActivities,-627797.000,-604352.000,309058.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-627797.000,-604352.000,309058.000
NetIncomeLoss,-727294.000,,-1412558.000
OperatingExpenses,731068.000,710856.000,1479159.000
OperatingIncomeLoss,-726499.000,-688352.000,-1407895.000
OtherIncome,-795.000,-2829.000,-4663.000
OtherNoncashIncome,,,21000.000
PaymentsToFundLongtermLoansToRelatedParties,,,3158449.000
ProceedsFromIssuanceOfCommonStock,-281720.000,,343976.000
ProceedsFromNotesPayable,,,100000.000
ProceedsFromRelatedPartyDebt,753929.000,653593.000,2868597.000
ProceedsFromRepaymentsOfNotesPayable,,,-100000.000
ProfitLoss,-727294.000,-691181.000,-1412558.000
ResearchAndDevelopmentExpense,,57283.000,
RevenueFromRelatedParties,,,66000.000
Revenues,4569.000,22504.000,56399.000
SalesRevenueNet,5364.000,25333.000,122399.000
WeightedAverageNumberOfSharesOutstandingBasic,177181255.000,177575014.000,177645230.000
