,2011-09-30,2011-12-31,2012-09-30,2012-12-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,0.000,,,,0.000,,,,1722.000,,,,4276.000,,,
ComprehensiveIncomeNetOfTax,-1349911.000,-864793.000,-514515.000,-379242.000,-173838.000,-361334.000,-387218.000,-278181.000,-289701.000,-232979.000,-340306.000,-28366.000,-403803.000,-195565.000,-164083.000,-60063.000,-51682.000,-117410.000,-65412.000,-212885.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-30935.000,-9726.000,-11552.000,-29210.000,-13101.000,-10344.000,-13141.000,-12450.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,-514515.000,-379242.000,-173838.000,-361334.000,-387218.000,-278181.000,-289701.000,-232979.000,-340306.000,-28366.000,-434738.000,-205291.000,-175635.000,-89273.000,-64783.000,-127754.000,-78553.000,-225335.000
CostOfGoodsAndServicesSold,,,0.000,0.000,,,,,,,,,,,,,,,,
Depreciation,,,,,,,,,,,,,740.000,1018.000,1006.000,985.000,987.000,997.000,1021.000,953.000
DepreciationAndAmortization,,,0.000,0.000,,,,,,,,,,,,,,,,
EarningsPerShareBasic,-0.010,-0.010,,,,,,,,,,,,,,,,,,
EarningsPerShareBasicAndDiluted,,,-0.000,-0.000,-0.000,-0.000,-0.000,-0.010,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,0.000
EffectOfExchangeRateOnCashAndCashEquivalents,,,,,0.000,,,,0.000,,,,0.000,,,,,,,
ForeignCurrencyTransactionGainLossBeforeTax,,,,,,,,,,,,,-11468.000,-5734.000,14570.000,-21117.000,11821.000,-5015.000,32664.000,-7806.000
GainsLossesOnExtinguishmentOfDebt,,,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
GeneralAndAdministrativeExpense,487032.000,817312.000,,,,,,,,,,,,,,,,,,
GrossProfit,,,0.000,0.000,,,,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,-450443.000,-379242.000,-170938.000,-248737.000,-344314.000,-259995.000,-242044.000,-329146.000,-426479.000,-113442.000,-327114.000,-272693.000,-219757.000,-122642.000,-184600.000,-187908.000,-152383.000,-226073.000
IncomeTaxExpenseBenefit,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
IncomeTaxesPaid,,,,,0.000,,,,0.000,,,,0.000,,,,0.000,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,,77124.000,,,,53529.000,,,,104727.000,,,,40162.000,,,
IncreaseDecreaseInDueFromRelatedParties,,,,,,,,,,,,,-247817.000,,,,-114246.000,,,
IncreaseDecreaseInInterestPayableNet,,,,,35325.000,,,,37965.000,,,,38609.000,,,,45287.000,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,,,0.000,,,,-884.000,,,,33314.000,,,,-15.000,,,
InterestExpense,178.000,47481.000,39753.000,33740.000,35325.000,36648.000,38024.000,-39585.000,37965.000,39389.000,40866.000,42398.000,38609.000,42015.000,42244.000,44762.000,45792.000,47533.000,46869.000,49804.000
InterestPaid,,,,,0.000,,,,0.000,,,,0.000,,,,0.000,,,
IssuanceOfStockAndWarrantsForServicesOrClaims,,,,,0.000,,,,,,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,,,,,58489.000,,,,149666.000,,,,0.000,,,,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,,58489.000,,,,149666.000,,,,0.000,,,,,,,
NetCashProvidedByUsedInInvestingActivities,,,,,,,,,0.000,,,,-41211.000,,,,0.000,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,,,,,,0.000,,,,-41211.000,,,,0.000,,,
NetCashProvidedByUsedInOperatingActivities,,,,,-58489.000,,,,-149666.000,,,,42933.000,,,,4276.000,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,,,-58489.000,,,,-149666.000,,,,42933.000,,,,4276.000,,,
NetIncomeLoss,-1451938.000,-864793.000,-450443.000,-379242.000,-170938.000,-248737.000,-344314.000,-259995.000,-242044.000,-329146.000,-426479.000,-113442.000,-296179.000,-262967.000,-208205.000,-93432.000,-171499.000,-177564.000,-139242.000,-213623.000
NetIncomeLossAttributableToNoncontrollingInterest,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-30935.000,-9726.000,-11552.000,-29210.000,-13101.000,-10344.000,-13141.000,-12450.000
OperatingExpenses,1466151.000,817312.000,410690.000,345502.000,135614.000,212089.000,306290.000,299579.000,204079.000,289757.000,385613.000,214488.000,277037.000,224944.000,192083.000,56763.000,150629.000,135360.000,138178.000,168463.000
OperatingIncomeLoss,-1451760.000,-817312.000,-410690.000,-345502.000,-135614.000,-212089.000,-306290.000,-299579.000,-204079.000,-289757.000,-385613.000,-214488.000,-277037.000,-224944.000,-192083.000,-56763.000,-150629.000,-135360.000,-138178.000,-168463.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,102027.000,,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,-64072.000,0.000,-2899.000,-112596.000,-42904.000,-18188.000,-47657.000,96167.000,86173.000,85075.000,-107624.000,67402.000,44122.000,33369.000,119817.000,60154.000,73830.000,738.000
OtherOperatingIncomeExpenseNet,,,,,,,,,,,,,,-47749.000,,,,,,
PaymentForManagementFee,,,,,,,,,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,-120000.000,,,,
PaymentsToAcquirePropertyPlantAndEquipment,,,,,,,,,,,,,41211.000,,,,0.000,,,
ProceedsFromRepaymentsOfRelatedPartyDebt,,,,,58489.000,,,,149666.000,,,,,,,,,,,
ProfitLoss,,,-450443.000,-379242.000,-170938.000,-248737.000,-344314.000,-259995.000,-242044.000,-329146.000,-426479.000,-113442.000,-327114.000,-272693.000,-219757.000,-122642.000,-184600.000,-187908.000,-152383.000,-226073.000
ResearchAndDevelopmentExpense,447344.000,,,,,,,,,,,,,,,,,,,
Revenues,14391.000,,0.000,0.000,,,,,,,,,,,0.000,,,,,
SalesRevenueNet,14391.000,,0.000,0.000,,,,,,,,,,,0.000,,,,,
SellingGeneralAndAdministrativeExpense,,,410690.000,327585.000,135614.000,212089.000,306290.000,299579.000,204079.000,289757.000,385613.000,214488.000,276297.000,223926.000,191077.000,55778.000,149642.000,134363.000,137157.000,167510.000
ServiceManagementCosts,531775.000,,,,,,,,,,,,,,,,,,,
StockIssued1,,,,,,,,,357825.000,,,,,,,,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,,,,,,204679039.000,223892947.000,238312816.000,-437722567.000,249949923.000,249949923.000,249949923.000,-499899846.000,249949923.000,249949923.000,249949923.000,-495564402.000
WeightedAverageNumberOfSharesOutstandingBasic,103827503.000,113036248.000,,,,,,,,,,,,,,,,,,
