,2012-03-31,2013-03-31
CashProvidedByUsedInDiscontinuedOperationsFinancingActivities,11847.000,15655.000
Depreciation,1460.000,375.000
GeneralAndAdministrativeExpense,4507.000,3797.000
GrossProfit,4002.000,
InterestExpense,1090.000,-716.000
InterestPaid,1090.000,
InvestmentBankingAdvisoryBrokerageAndUnderwritingFeesAndCommissions,4002.000,
NetCashProvidedByUsedInOperatingActivities,-12262.000,-15755.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-12262.000,-15755.000
NetIncomeLoss,-30337.000,-25346.000
NetIncomeLossAllocatedToGeneralPartners,-30337.000,-25346.000
OperatingExpenses,34339.000,14630.000
OperatingIncomeLoss,,-14630.000
ProfessionalAndContractServicesExpense,4762.000,10458.000
Revenues,4002.000,
SalesRevenueNet,4002.000,
