,2011-06-30,2011-09-30,2011-12-31
CashAndCashEquivalentsPeriodIncreaseDecrease,-936107.000,,
CostOfGoodsSold,3899993.000,,
CostOfRevenue,,1191928.000,2786105.000
DividendsPreferredStock,-20642.000,23161.000,23832.000
EarningsPerShareBasic,0.010,-0.020,0.000
EarningsPerShareDiluted,0.000,-0.020,0.000
EffectOfExchangeRateOnCashAndCashEquivalents,64431.000,,
GrossProfit,1664795.000,183301.000,1367684.000
IncomeLossFromContinuingOperations,,-954179.000,120858.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,482781.000,,
IncomeTaxExpenseBenefit,98663.000,37326.000,69416.000
IncomeTaxesPaid,59163.000,,
IncreaseDecreaseInDueToOfficersAndStockholders,-44658.000,,
InterestExpense,,-38406.000,-46688.000
InterestExpenseDebt,-58322.000,,
InterestPaid,126607.000,,
InvestmentIncomeInterest,193.000,337.000,48.000
NetCashProvidedByUsedInFinancingActivities,115011.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,115011.000,,
NetCashProvidedByUsedInInvestingActivities,-112750.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-112750.000,,
NetCashProvidedByUsedInOperatingActivities,-1002799.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-1002799.000,,
NetIncomeLoss,384118.000,-954922.000,28110.000
NetIncomeLossAvailableToCommonStockholdersBasic,363476.000,-978083.000,4278.000
OperatingExpenses,1123885.000,1137480.000,1246826.000
OperatingIncomeLoss,540910.000,,
OtherComprehensiveIncomeForeignCurrencyTranslationGainLossArisingDuringPeriodTax,60006.000,24237.000,30151.000
OtherComprehensiveIncomeLossTax,423482.000,-953846.000,34429.000
OtherExpenses,-58129.000,-38069.000,-23332.000
OtherGeneralAndAdministrativeExpense,686347.000,945806.000,733843.000
OtherNonoperatingIncome,,,23308.000
ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,230770.000,,
PropertyPlantAndEquipmentAdditions,-112750.000,,
RepaymentsOfNotesPayable,-25000.000,,
RepaymentsOfShortTermDebt,-46101.000,,
ResultsOfOperationsIncomeBeforeIncomeTaxes,,-992248.000,97526.000
Revenues,,1375229.000,4153789.000
SalesRevenueGoodsNet,5564788.000,,
SalesRevenueNet,,1375229.000,4153789.000
SellingExpense,437538.000,191674.000,512983.000
WeightedAverageNumberOfDilutedSharesOutstanding,83541119.000,63755057.000,72250618.000
WeightedAverageNumberOfSharesIssuedBasic,63755057.000,63755057.000,63818549.000
