,2012-04-30,2012-07-31,2012-10-31,2013-04-30,2013-07-31,2013-10-31,2014-01-31
AssetManagementFees,,,,1000.000,,,
CashPeriodIncreaseDecrease,-25051.000,,,,,,
EarningsPerShareBasic,0.000,0.000,,0.000,0.000,0.000,0.000
IncomeTaxesPaid,0.000,,,0.000,,,
IncreaseDecreaseInAccountsPayable,145.000,,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,500.000,,,
IncreaseDecreaseInDeposits,,,,5000.000,,,
IncreaseDecreaseInNotesPayableRelatedPartiesCurrent,600.000,,,,,,
InterestPaid,0.000,,,0.000,,,
ManagementFeeAmountPaid,,,,,0.000,0.000,
NetCashProvidedByUsedInFinancingActivities,600.000,,,-37118.000,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,600.000,,,-37118.000,,,
NetCashProvidedByUsedInOperatingActivities,-25651.000,,,-37118.000,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-25651.000,,,-37118.000,,,
NetIncomeLoss,-25796.000,-25541.000,-26445.000,,,,
OperatingExpenses,25796.000,25541.000,,42618.000,24192.000,26960.000,7494.000
OperatingIncomeLoss,,-25541.000,,-42618.000,-24192.000,-26960.000,
OtherExpenses,,4000.000,,3000.000,,0.000,
ProceedsFromIssuanceInitialPublicOffering,,,,0.000,,,
ProceedsFromIssuanceOfCommonStock,0.000,,,0.000,,,
ProceedsFromPrincipalRepaymentsOnLoansAndLeasesHeldForInvestment,,,,0.000,,,
ProceedsFromRepaymentsOfRelatedPartyDebt,,,,0.000,,,
ResearchAndDevelopmentArrangementContractToPerformForOthersCostsIncurredGross,,,,,0.000,,
ResearchAndDevelopmentExpense,9408.000,10526.000,,0.000,9750.000,4950.000,-180.000
SellingGeneralAndAdministrativeExpense,16388.000,11015.000,,38618.000,14622.000,22010.000,7494.000
WeightedAverageNumberOfSharesOutstandingBasic,25100000.000,25100000.000,,50100000.000,50100000.000,50100000.000,-100200000.000
