,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,8000000.000,10000000.000,,-7000000.000,11000000.000,6000000.000,4000000.000,4000000.000,2000000.000,5000000.000,2000000.000,10000000.000,6000000.000,5000000.000,5000000.000,14000000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,2000000.000,5000000.000,,2000000.000,2000000.000,3000000.000,-4900000.000,3000000.000,1000000.000,0.000,-4000000.000,1000000.000,1000000.000,200000.000,-1700000.000,200000.000
AssetImpairmentCharges,,,,,,,,,11000000.000,,,,13000000.000,,,,0.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-115000000.000,,,,-173000000.000,,,,-246000000.000,,,,-725000000.000,,,,-192000000.000
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,46000000.000,,,,0.000,,,,0.000,,,,0.000,,,,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,-5000000.000,,,,0.000,,,,0.000,,,,-1000000.000,,,,0.000
CommonStockDividendsPerShareDeclared,0.250,0.250,0.250,,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,1.250,0.250,0.250,0.250,0.250
ComprehensiveIncomeNetOfTax,,,,,89000000.000,28000000.000,95000000.000,74000000.000,1000000.000,40000000.000,117000000.000,685000000.000,51000000.000,89000000.000,9000000.000,-192000000.000,-112000000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,1000000.000,2000000.000,0.000,0.000,1000000.000,-3000000.000,0.000,1000000.000,0.000,0.000,2000000.000,16000000.000,0.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,147000000.000,-93000000.000,,90000000.000,30000000.000,95000000.000,74000000.000,2000000.000,37000000.000,117000000.000,686000000.000,51000000.000,89000000.000,11000000.000,-176000000.000,-112000000.000
DeferredIncomeTaxExpenseBenefit,-11000000.000,,,,-27000000.000,,,,-8000000.000,,,,7000000.000,,,,3000000.000
