,2012-05-31,2012-08-31,2012-11-30,2013-02-28
DividendsSharebasedCompensationStock,1000.000,,,
IncomeLossFromContinuingOperations,,,-650.000,
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,-0.260,-0.070,-0.070,-0.330
NetCashProvidedByUsedInFinancingActivities,2646.000,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,2646.000,,,
NetCashProvidedByUsedInOperatingActivities,-2646.000,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-2646.000,,,
NetIncomeLoss,-2646.000,,-650.000,
OperatingIncomeLoss,-2646.000,-650.000,,
OtherComprehensiveIncomeLossNetOfTax,,-650.000,,
ProfessionalFees,2646.000,650.000,650.000,
RelatedPartyCosts,2646.000,,,
WeightedAverageNumberOfSharesOutstandingBasic,10000.000,10000.000,10000.000,-20000.000
