,2011-12-31,2012-12-31,2013-12-31,2014-12-31
AssetManagementCosts,846396.000,912982.000,613444.000,399140.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-35543556.000,3611107.000,-6804394.000,-6633924.000
CostsAndExpenses,,,2996985.000,2870482.000
CustodyFees,75682.000,43682.000,42210.000,26464.000
ExpenseRelatedToDistributionOrServicingAndUnderwritingFees,41818.000,62524.000,28442.000,21830.000
FloorBrokerageExchangeAndClearanceFees,165431.000,207526.000,142559.000,90713.000
GainLossOnInvestments,-657515.000,-22383.000,-160371.000,-105518.000
GainLossOnSaleOfInvestments,-45889119.000,-97421751.000,-52486264.000,-35902630.000
GeneralAndAdministrativeExpense,848371.000,791912.000,909095.000,997724.000
IncreaseDecreaseInAccountsPayableRelatedParties,12429.000,-10121.000,,
IncreaseDecreaseInAccruedLiabilities,9124.000,-11762.000,,
IncreaseDecreaseInOtherAccountsPayable,-582381.000,0.000,112352.000,313056.000
IncreaseDecreaseInOtherAccruedLiabilities,31561.000,-18459.000,,
IncreaseDecreaseInOtherOperatingLiabilities,16476.000,-2902.000,,
IncreaseDecreaseInPayablesToBrokerDealers,6101.000,-427.000,-3746.000,-1882.000
InvestmentIncomeInterest,519067.000,618426.000,293986.000,160348.000
InvestmentIncomeInvestmentExpense,4722145.000,3483994.000,2281559.000,1973875.000
InvestmentIncomeNet,-4860593.000,-2887951.000,-2147944.000,-1919045.000
MarketingExpense,423469.000,449067.000,,
NetCashProvidedByUsedInFinancingActivities,16118845.000,-5881849.000,-15840239.000,-10869055.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,16118845.000,-5881849.000,-15840239.000,-10869055.000
NetCashProvidedByUsedInOperatingActivities,-51662401.000,9492956.000,9035845.000,4235131.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-51662401.000,9492956.000,9035845.000,4235131.000
NetIncomeLoss,-5625300.000,-9861909.000,-477231.000,140501.000
NonoperatingGainsLosses,-138448.000,596043.000,133615.000,54830.000
PartnersCapitalAccountContributions,21688721.000,11885064.000,5818965.000,2271315.000
PartnersCapitalAccountRedemptions,4951999.000,16682729.000,-21785777.000,-12683024.000
ProceedsFromIssuanceOrSaleOfEquity,19151862.000,10458743.000,5582697.000,2208943.000
ProceedsFromOtherEquity,1426321.000,236268.000,,
ProfessionalFees,1071424.000,859607.000,499206.000,354269.000
TradingGainsLosses,-764707.000,-6973958.000,1670713.000,2059546.000
TradingSecuritiesRealizedGain,,-6610193.000,,
TradingSecuritiesRealizedGainLoss,1328808.000,-6587850.000,1666379.000,2531394.000
TradingSecuritiesUnrealizedHoldingGainLoss,-1928084.000,-178582.000,146893.000,-381135.000
UnrealizedGainLossOnCommodityContracts,,,146893.000,-381135.000
