,2011-06-30,2011-09-30
CasinoExpenses,65367000.000,68944000.000
CasinoRevenue,162138000.000,176738000.000
CostsAndExpenses,161223000.000,166547000.000
DepreciationAndAmortization,16228000.000,14562000.000
FoodAndBeverageCostOfSales,18031000.000,19459000.000
FoodAndBeverageRevenue,37058000.000,41337000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,205000.000,14476000.000
IncomeTaxExpenseBenefit,204000.000,1550000.000
InterestExpense,21328000.000,20995000.000
NetIncomeLoss,1000.000,12926000.000
NonoperatingIncomeExpense,-21328000.000,-20995000.000
OccupancyCosts,3753000.000,4106000.000
OccupancyRevenue,29817000.000,33069000.000
OperatingIncomeLoss,21533000.000,35471000.000
PreOpeningCosts,92000.000,0.000
PromotionalAllowances,56853000.000,61115000.000
Revenues,182756000.000,202018000.000
SalesRevenueNet,182756000.000,202018000.000
SellingGeneralAndAdministrativeExpense,33017000.000,32859000.000
