,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,63000.000,,,,,,,,
AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,,,12824000.000,,,,,,,,
AmortizationOfFinancingCosts,,,310000.000,,,,333000.000,,,,307000.000
AssetImpairmentCharges,,,,,,,,,0.000,,0.000
AvailableforsaleSecuritiesGrossUnrealizedGainLoss1,,,,,,,,,,,2399000.000
BusinessAcquisitionsProFormaNetIncomeLoss,,,,950000.000,913000.000,,,,,,
BusinessAcquisitionsProFormaRevenue,,,,30698000.000,41676000.000,,,,,,
BusinessCombinationAcquisitionRelatedCosts,613296.000,733000.000,435000.000,1197000.000,2018000.000,2218000.000,30000.000,126000.000,24000.000,439000.000,91000.000
BusinessCombinationProFormaInformationEarningsOrLossOfAcquireeSinceAcquisitionDateActual,,,,,,,4000.000,,,,29000.000
BusinessCombinationProFormaInformationRevenueOfAcquireeSinceAcquisitionDateActual,,,,,,,4000.000,,,,33000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,37383000.000,,,,14587000.000,,,,30887000.000
CommonStockDividendsPerShareDeclared,,,,,,,0.600,,,,0.600
ComprehensiveIncomeNetOfTax,-1810223.000,-3151000.000,1298000.000,1187000.000,1936000.000,-325000.000,3075000.000,1230000.000,-2851000.000,1249000.000,26953000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,27363.000,-2000.000,10000.000,4000.000,-69000.000,96000.000,0.000,0.000,0.000,0.000,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,-1782860.000,-3153000.000,1308000.000,1191000.000,1876000.000,-29000.000,3576000.000,1776000.000,-2154000.000,1945000.000,27650000.000
DepreciationAndAmortization,7262894.000,8818000.000,9373000.000,11251000.000,13591000.000,19024000.000,23353000.000,22127000.000,22094000.000,6034000.000,17851000.000
DepreciationDepletionAndAmortization,,,,,,,,,,,17851000.000
DepreciationNonproduction,,,,7181000.000,9120000.000,,15027000.000,15013000.000,15036000.000,15180000.000,12268000.000
DirectCostsOfLeasedAndRentedPropertyOrEquipment,2806613.000,3540000.000,4181000.000,4571000.000,5109000.000,7360000.000,9212000.000,8741000.000,8959000.000,7065000.000,9069000.000
DividendsCommonStockCash,,,9573000.000,,,,17071000.000,,,,17429000.000
EarningsPerShareBasicAndDiluted,-0.040,-0.020,0.010,0.010,0.020,-0.010,0.000,-0.010,0.000,0.010,0.220
GainsLossesOnSalesOfInvestmentRealEstate,,,,,,,,,,,26916000.000
