,2011-03-31,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdvertisingRevenue,,,,,,,,,,1665000000.000,2385000000.000,2294000000.000,1874000000.000,1734000000.000,2370000000.000,1840000000.000,1665000000.000,1599000000.000,2444000000.000,1907000000.000,1709000000.000,1591000000.000,2544000000.000,2203000000.000
AllocatedShareBasedCompensationExpense,50000000.000,51000000.000,56000000.000,58000000.000,63000000.000,97000000.000,61000000.000,75000000.000,8000000.000,67000000.000,29000000.000,30000000.000,79000000.000,61000000.000,41000000.000,,,90000000.000,34000000.000,,,42000000.000,20000000.000,35000000.000
AmortizationOfIntangibleAssets,,,,,,,,,,,,82000000.000,,102000000.000,81000000.000,60000000.000,60000000.000,59000000.000,59000000.000,64000000.000,65000000.000,66000000.000,64000000.000,62000000.000
AssetImpairmentCharges,,,,10000000.000,,,,,,,,,,,,,,,,,,,,
AvailableForSaleSecuritiesGrossUnrealizedGains,,,,,,,,,,214000000.000,,,,,,,,,,,,,,
CashAcquiredFromAcquisition,,2000000.000,,,,2000000.000,,,,,,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,-984000000.000,,,,2350000000.000,,,,-13000000.000,,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,,,,,,,,,,,,,,-713000000.000,,,,-2560000000.000,,,,244000000.000,,
CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,,,,,,,,,,0.000,,,,,,,,,,,,,,
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,,,,,,,,,,0.000,,,,,,,,,,,,,,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,,,,,,,,-29000000.000,,,,,,,,,,,,,,
CommonStockDividendsPerShareDeclared,,0.095,,0.085,,0.085,,0.085,,0.125,,,,,,,,,,,,,,
ComprehensiveIncomeNetOfTax,1141000000.000,-577000000.000,1291000000.000,1351000000.000,,2524000000.000,2399000000.000,2407000000.000,-864000000.000,1546000000.000,1227000000.000,1085000000.000,941000000.000,315000000.000,5488000000.000,603000000.000,364000000.000,526000000.000,452000000.000,915000000.000,288000000.000,780000000.000,659000000.000,986000000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,,1000000.000,1000000.000,0.000,13000000.000,93000000.000,37000000.000,,,,,,,,,,,,,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,1186000000.000,-538000000.000,1366000000.000,1417000000.000,-2529000000.000,2588000000.000,2477000000.000,2462000000.000,-820000000.000,1647000000.000,1280000000.000,1109000000.000,1017000000.000,189000000.000,5533000000.000,670000000.000,395000000.000,588000000.000,528000000.000,999000000.000,319000000.000,848000000.000,718000000.000,1061000000.000
CostmethodInvestmentsOtherThanTemporaryImpairment,,,,,,,,,,-54000000.000,13000000.000,,,,,,,,,,,,,
CostsAndExpenses,7196000000.000,6665000000.000,7514000000.000,7117000000.000,10036000000.000,6910000000.000,7910000000.000,8232000000.000,-704000000.000,5778000000.000,6897000000.000,6720000000.000,6984000000.000,6407000000.000,6555000000.000,5304000000.000,4815000000.000,4690000000.000,5790000000.000,5498000000.000,5356000000.000,4865000000.000,5839000000.000,5818000000.000
DeferredIncomeTaxExpenseBenefit,,,,,,,,,,,,,,91000000.000,,,,,,,,,,
DeferredIncomeTaxesAndTaxCredits,,,,,,,,,,,,,,,,,,175000000.000,,,,-12000000.000,,
DefinedBenefitPlanNetPeriodicBenefitCost,,,,,,,,,,30000000.000,30000000.000,30000000.000,,,,,,,,,,,,
DepreciationAndAmortization,283000000.000,294000000.000,281000000.000,294000000.000,310000000.000,300000000.000,310000000.000,357000000.000,-170000000.000,313000000.000,260000000.000,267000000.000,302000000.000,276000000.000,201000000.000,124000000.000,135000000.000,128000000.000,130000000.000,133000000.000,139000000.000,135000000.000,135000000.000,140000000.000
DepreciationDepletionAndAmortization,,294000000.000,,,,,,,,,,,,,,,,,,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,,,,,,,,,,,,,,-2000000.000,-2000000.000,,,,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodBeforeIncomeTax,,,,,,,,,,487000000.000,225000000.000,-16000000.000,,,,,,,,,,,,
