,2011-06-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31
AccrualForEnvironmentalLossContingenciesPayments,,,,,,2088000.000,,,,639000.000
AllocatedShareBasedCompensationExpenseNetOfTax,,,,,,189000.000,,,,293000.000
AmortizationOfFinancingCostsAndDiscounts,,191000.000,,,,64000.000,,,,83000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,68896.000,,,,51622.000
CapitalExpendituresIncurredButNotYetPaid,,298000.000,,,,1707000.000,,,,241000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,-12458000.000,,,,-12407000.000,,,,-8067000.000
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,,,,-19000.000,,,,15000.000
ComprehensiveIncomeNetOfTax,,,,4506000.000,,,3226000.000,9530000.000,,4778000.000
CostOfGoodsSold,40376000.000,35773000.000,38925000.000,36736000.000,8043000.000,20906000.000,34150000.000,44313000.000,28762000.000,33536000.000
CostOfGoodsSoldDepreciation,,,,3447000.000,,3222000.000,3015000.000,3268000.000,3649000.000,3370000.000
DeferredIncomeTaxExpenseBenefit,,264000.000,,,,1080000.000,,,,-46000.000
DepreciationDepletionAndAmortization,,3682000.000,,3546000.000,,3310000.000,3104000.000,3341000.000,3698000.000,3421000.000
DepreciationNonproduction,,,,99000.000,,88000.000,89000.000,73000.000,49000.000,51000.000
DiscontinuedOperationAmountOfOtherIncomeLossFromDispositionOfDiscontinuedOperationNetOfTax,,,,,,-5000.000,21000.000,-2000.000,-60000.000,
DiscontinuedOperationAmountOfOtherIncomeLossFromDispositionOfDiscontinuedOperationsBeforeIncomeTax,,,,,,-7000.000,32000.000,-4000.000,-95000.000,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,,,-215000.000,,14000.000,-78000.000,29000.000,118000.000,
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,,,,-38000.000,,5000.000,-28000.000,11000.000,-78000.000,
DiscontinuedOperationTaxEffectOfOtherIncomeLossFromDispositionOfDiscontinuedOperation,,,,,,-2000.000,11000.000,-2000.000,,
DisposalGroupIncludingDiscontinuedOperationRevenue,,,,12368000.000,,,,,,
EarningsPerShareBasic,-0.820,0.020,0.140,0.620,2.570,0.150,0.350,1.070,1.420,0.550
EarningsPerShareDiluted,-0.820,0.020,0.140,0.610,2.530,0.150,0.340,1.030,1.350,0.530
EffectOfExchangeRateOnCashAndCashEquivalents,,-10000.000,,,,,,,,
EmployeeServiceShareBasedCompensationAllocationOfRecognizedPeriodCostsCapitalizedAmount,,,,,,253000.000,,,,373000.000
EmployeeServiceShareBasedCompensationCashReceivedFromExerciseOfStockOptions,,,,,,248000.000,,,,110000.000
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,,,,,,64000.000,,,,80000.000
EnvironmentalRemediationExpense,6000000.000,,,,,,,,,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,,,,,,71000.000,,,,326000.000
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,,,,,,71000.000,,,,326000.000
GainLossOnDispositionOfAssets,,25000.000,,,,-1000.000,,,,34000.000
GainsLossesOnExtinguishmentOfDebt,,,,,,-2835000.000,,,,
GrossProfit,11541000.000,15509000.000,16035000.000,20887000.000,13719000.000,15412000.000,15894000.000,25206000.000,30442000.000,17977000.000
IncomeLossFromContinuingOperations,,,,4882000.000,,1151000.000,2761000.000,8372000.000,10849000.000,4344000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-6849000.000,526000.000,2113000.000,8399000.000,5528000.000,839000.000,4295000.000,13317000.000,16925000.000,6722000.000
IncomeLossFromContinuingOperationsPerBasicShare,,,,0.650,,0.150,0.360,1.070,1.400,0.550
IncomeLossFromContinuingOperationsPerDilutedShare,,,,0.640,,0.150,0.340,1.030,1.340,0.530
IncomeLossFromDiscontinuedOperationsNetOfTax,,,,-177000.000,,9000.000,-50000.000,18000.000,168000.000,
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,,,,-177000.000,,4000.000,-29000.000,16000.000,108000.000,-21000.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,,,,-0.020,,0.000,0.000,0.000,0.010,0.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,,,,-0.020,,0.000,0.000,0.000,0.010,0.000
IncomeTaxExpenseBenefit,-685000.000,375000.000,1058000.000,3517000.000,-8716000.000,-312000.000,1534000.000,4945000.000,6076000.000,2378000.000
IncomeTaxesPaid,,13000.000,,,,,,,,
IncomeTaxesPaidNet,,,,,,2342000.000,,,,761000.000
IncreaseDecreaseInAccountsPayable,,-2703000.000,,,,-2483000.000,,,,144000.000
IncreaseDecreaseInAccountsReceivable,,11175000.000,,,,-6032000.000,,,,15705000.000
IncreaseDecreaseInAccruedLiabilities,,-740000.000,,,,-111000.000,,,,2760000.000
IncreaseDecreaseInCustomerDeposits,,,,,,,,,,10071000.000
IncreaseDecreaseInDeferredRevenue,,,,,,,,,,-1865000.000
IncreaseDecreaseInDeferredRevenueAndCustomerAdvancesAndDeposits,,8898000.000,,,,11579000.000,,,,
IncreaseDecreaseInEmployeeRelatedLiabilities,,-1912000.000,,,,-3566000.000,,,,-3744000.000
IncreaseDecreaseInIncomeTaxesPayableNetOfIncomeTaxesReceivable,,85000.000,,,,-2192000.000,,,,1625000.000
IncreaseDecreaseInInterestPayableNet,,2386000.000,,,,-853000.000,,,,-1000.000
IncreaseDecreaseInInventories,,4601000.000,,,,13684000.000,,,,5077000.000
IncreaseDecreaseInOtherOperatingCapitalNet,,403000.000,,,,2068000.000,,,,155000.000
IncreaseDecreaseInPensionAndPostretirementObligations,,-4602000.000,,,,-393000.000,,,,-14000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,473000.000,,,,470000.000,,,,494000.000
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,,,105000.000,,,,,,
InterestExpense,2642000.000,2639000.000,2593000.000,2594000.000,2347000.000,1282000.000,554000.000,587000.000,573000.000,610000.000
InterestPaid,,62000.000,,,,2071000.000,,,,526000.000
NetCashProvidedByUsedInFinancingActivities,,-20000.000,,,,-7174000.000,,,,-1065000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,-20000.000,,,,-7174000.000,,,,-1065000.000
NetCashProvidedByUsedInInvestingActivities,,-1158000.000,,,,-1961000.000,,,,-1717000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,-1158000.000,,,,-1961000.000,,,,-1717000.000
NetCashProvidedByUsedInOperatingActivities,,-11270000.000,,,,-3272000.000,,,,-5285000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-11270000.000,,,,-3272000.000,,,,-5285000.000
NetIncomeLoss,-6164000.000,151000.000,1055000.000,4705000.000,19408000.000,1155000.000,2732000.000,8388000.000,10957000.000,4323000.000
NonoperatingIncomeExpense,63000.000,-227000.000,111000.000,10000.000,144000.000,8000.000,4000.000,93000.000,13000.000,14000.000
OperatingExpenses,9811000.000,12131000.000,11440000.000,9904000.000,5591000.000,10464000.000,11049000.000,11395000.000,12957000.000,11372000.000
OperatingIncomeLoss,-4270000.000,3392000.000,4595000.000,10983000.000,9128000.000,4948000.000,4845000.000,13811000.000,17485000.000,7318000.000
