,2017-03-31
AccretionAmortizationOfDiscountsAndPremiumsInvestments,-112000.000
AllocatedShareBasedCompensationExpense,3283000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,21519552.000
CapitalExpendituresIncurredButNotYetPaid,206000.000
CashAcquiredFromAcquisition,494000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,252890000.000
ComprehensiveIncomeNetOfTax,-9833000.000
CostOfServices,15239000.000
DepreciationDepletionAndAmortization,842000.000
EarningsPerShareBasicAndDiluted,-0.270
EffectOfExchangeRateOnCashAndCashEquivalents,246000.000
EffectiveIncomeTaxRateContinuingOperations,-0.032
GainLossOnDispositionOfAssets,-32000.000
GeneralAndAdministrativeExpense,9661000.000
GrossProfit,45666000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-9828000.000
IncomeTaxExpenseBenefit,313000.000
IncomeTaxesPaid,143000.000
IncreaseDecreaseInAccountsPayable,1109000.000
IncreaseDecreaseInAccountsReceivable,-9873000.000
IncreaseDecreaseInAccruedLiabilities,1772000.000
IncreaseDecreaseInDeferredRevenue,1293000.000
IncreaseDecreaseInEmployeeRelatedLiabilities,-7674000.000
IncreaseDecreaseInOtherOperatingAssets,463000.000
IncreaseDecreaseInOtherOperatingLiabilities,-278000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,111000.000
InterestIncomeExpenseNonoperatingNet,158000.000
NetCashProvidedByUsedInFinancingActivities,237646000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,237646000.000
NetCashProvidedByUsedInInvestingActivities,15213000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,15213000.000
NetCashProvidedByUsedInOperatingActivities,-215000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-215000.000
NetIncomeLoss,-10141000.000
OperatingExpenses,55576000.000
OperatingIncomeLoss,-9910000.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,311000.000
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,308000.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,-3000.000
OtherCostOfServices,11191000.000
OtherNonoperatingIncomeExpense,-76000.000
PaymentsToAcquirePropertyPlantAndEquipment,1361000.000
ProceedsFromIssuanceInitialPublicOffering,236360000.000
ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities,16080000.000
ProvisionForDoubtfulAccounts,136000.000
ResearchAndDevelopmentExpense,12789000.000
SalesRevenueServicesNet,60905000.000
SellingAndMarketingExpense,33126000.000
ShareBasedCompensation,3283000.000
TechnologyServicesRevenue,10311000.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,37410235.000
