,2013-12-31,2014-12-31,2015-12-31
CashAndCashEquivalentsPeriodIncreaseDecrease,-12118.000,8203.000,1028732.000
CostOfRevenue,10142.000,652.000,171052.000
CurrentFederalTaxExpenseBenefit,0.000,,
CurrentForeignTaxExpenseBenefit,0.000,,
CurrentIncomeTaxExpenseBenefit,0.000,,
CurrentStateAndLocalTaxExpenseBenefit,0.000,,
DeferredFederalIncomeTaxExpenseBenefit,0.000,,
DeferredForeignIncomeTaxExpenseBenefit,0.000,,
DeferredIncomeTaxExpenseBenefit,0.000,,
DeferredStateAndLocalIncomeTaxExpenseBenefit,0.000,,
Depreciation,6297.000,491.000,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodBeforeIncomeTax,,,-248671.000
EarningsPerShareBasic,-0.010,,
EarningsPerShareBasicAndDiluted,,-0.010,-0.010
EarningsPerShareDiluted,-0.010,,
EffectOfExchangeRateOnCashAndCashEquivalents,-1057.000,-1091.000,-1664.000
EffectiveIncomeTaxRateContinuingOperations,0.000,,
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,-0.340,,0.340
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,,,-0.170
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,0.170,,-0.340
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,,,0.170
EffectiveIncomeTaxRateReconciliationTaxContingenciesForeign,0.170,,
GainLossOnDispositionOfAssets1,-15652.000,-1546.000,
GainLossOnSaleOfPropertyPlantEquipment,,-1546.000,
GeneralAndAdministrativeExpense,122517.000,161813.000,253333.000
GrossProfit,14599.000,17404.000,32750.000
IncomeLossFromContinuingOperations,-170139.000,,-248671.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-170873.000,,
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,,-0.010
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,,,-0.000
IncomeTaxExpenseBenefit,0.000,0.000,
IncomeTaxesPaid,0.000,0.000,
IncreaseDecreaseInAccountsAndNotesReceivable,,,1519.000
IncreaseDecreaseInAccountsPayable,194.000,,9476.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,107893.000,
IncreaseDecreaseInAccountsReceivable,-3291.000,0.000,
IncreaseDecreaseInAccruedLiabilities,,1101.000,
IncreaseDecreaseInAccruedSalaries,322.000,,
IncreaseDecreaseInCustomerAdvances,-1638.000,0.000,
IncreaseDecreaseInDeferredRevenue,,,4402.000
IncreaseDecreaseInDeposits,6919.000,,
IncreaseDecreaseInInventories,-39471.000,870.000,4301.000
IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,-7326.000,,-16837.000
IncreaseDecreaseInOtherNoncurrentAssets,-2193.000,,
IncreaseDecreaseInOtherReceivables,6069.000,-7611.000,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,1664.000,19003.000
InterestPaid,0.000,0.000,
InvestmentIncomeInterest,69.000,,18.000
LeaseAndRentalExpense,1614.000,,
NetCashProvidedByUsedInFinancingActivities,149500.000,9438.000,1306849.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,149500.000,9438.000,1306849.000
NetCashProvidedByUsedInInvestingActivities,-48994.000,29584.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-48994.000,29584.000,
NetCashProvidedByUsedInOperatingActivities,111567.000,-29728.000,-276453.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-111567.000,-29728.000,-276453.000
NetIncomeLoss,-170873.000,-145836.000,-248671.000
NonoperatingIncomeExpense,-734.000,-1427.000,4496.000
OfficersCompensation,,,6615.000
OperatingExpenses,184738.000,161813.000,285917.000
OperatingIncomeLoss,,-144409.000,-253167.000
OperatingLeasesRentExpenseNet,,,47025.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,-2346.000,-109.000,6416.000
OtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentTax,-2346.000,-109.000,6416.000
OtherComprehensiveIncomeLossNetOfTax,-173219.000,-145945.000,-242255.000
OtherExpenses,,1427.000,
OtherIncome,,119.000,
OtherNonoperatingIncomeExpense,-803.000,,4478.000
PaymentsToAcquireIntangibleAssets,0.000,,
PaymentsToAcquirePropertyPlantAndEquipment,48994.000,0.000,
ProceedsFromIssuanceOfCommonStock,0.000,,999020.000
ProceedsFromNotesPayable,149500.000,,
ProceedsFromRelatedPartyDebt,,9438.000,
ProceedsFromSaleOfPropertyPlantAndEquipment,,29584.000,
ProceedsFromShortTermDebt,,,307829.000
ResearchAndDevelopmentExpense,0.000,,
Revenues,24741.000,18056.000,203802.000
SalesRevenueNet,24741.000,17937.000,203802.000
SellingExpense,46569.000,,32584.000
StockIssuedDuringPeriodValueNewIssues,,,999020.000
WeightedAverageNumberOfDilutedSharesOutstanding,12500000.000,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,12500001.000,39346576.000
WeightedAverageNumberOfSharesOutstandingBasic,12500000.000,,
