,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
LimitedPartnersCapitalAccountUnitsOutstanding,222972708.000,222972708.000,222972708.000,222972708.000,279955308.000,279955608.000,279955608.000,279955608.000,279961650.000,280800000.000,280800000.000,559923300.000,551800000.000,538800000.000,538800000.000,538766899.000,539300000.000,1069800000.000,1044800000.000,1044767336.000,1044800000.000,1044800000.000,1047000000.000,1046947157.000,1079100000.000
LineOfCreditFacilityAmountOutstanding,,,,,,,,,,,0.000,,,,,,,,,,,,,,
LineOfCreditFacilityMaximumBorrowingCapacity,,,,,,,1150000000.000,,,,,,,,,,,,,,,,,,
LongTermDebt,,11150000000.000,11680000000.000,11371024000.000,17500322000.000,18073385000.000,18140086000.000,22053000000.000,22950000000.000,22760000000.000,22310000000.000,23199000000.000,26293000000.000,27197000000.000,29853000000.000,30661000000.000,33427000000.000,34810000000.000,36347000000.000,36968000000.000,38330000000.000,39510000000.000,41240000000.000,43802000000.000,42980000000.000
LongTermDebtCurrent,35120000.000,22998000.000,424119000.000,424160000.000,109127000.000,113921000.000,614418000.000,613000000.000,611000000.000,899000000.000,298000000.000,637000000.000,1388000000.000,1346000000.000,1345000000.000,1008000000.000,269000000.000,15000000.000,15000000.000,131000000.000,930000000.000,1013000000.000,1221000000.000,1194000000.000,392000000.000
LongTermDebtFairValue,,,,,,,,24150000000.000,,,,23970000000.000,,,,31680000000.000,,,,33220000000.000,,,,45050000000.000,
LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,,,,,14056507000.000,14057776000.000,14061119000.000,,,,,17468000000.000,,,,20029000000.000,,,,23316000000.000,,,,22462000000.000,
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,,,,,108844000.000,111410000.000,994000.000,,,,,812000000.000,,,,1050000000.000,,,,308000000.000,,,,1817000000.000,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,,,,,730847000.000,1476516000.000,1035213000.000,,,,,1976000000.000,,,,5662000000.000,,,,4729000000.000,,,,2706000000.000,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,,,,,1205863000.000,765308000.000,1209557000.000,,,,,1220000000.000,,,,2095000000.000,,,,5007000000.000,,,,4960000000.000,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,,,,,630873000.000,900045000.000,1079273000.000,,,,,375000000.000,,,,1228000000.000,,,,2515000000.000,,,,9483000000.000,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,,,,,600944000.000,604951000.000,604154000.000,,,,,1047000000.000,,,,314000000.000,,,,1189000000.000,,,,2530000000.000,
LongTermDebtNoncurrent,9570199000.000,11123820000.000,11252745000.000,10946864000.000,17391195000.000,17959464000.000,17525668000.000,21440000000.000,22343000000.000,21860000000.000,22011000000.000,22562000000.000,24905000000.000,25851000000.000,28508000000.000,29653000000.000,33158000000.000,34795000000.000,36332000000.000,36837000000.000,37401000000.000,38501000000.000,40020000000.000,42608000000.000,42583000000.000
LossContingencyAccrualAtCarryingValue,,,,,,,,,42000000.000,37000000.000,38000000.000,,41000000.000,43000000.000,42000000.000,,39000000.000,38000000.000,38000000.000,,59000000.000,59000000.000,56000000.000,,94000000.000
MarginDepositAssets,,60900000.000,56435000.000,66231000.000,102028000.000,87663000.000,85644000.000,41000000.000,23000000.000,34000000.000,,49000000.000,33000000.000,40000000.000,46000000.000,65000000.000,62000000.000,36000000.000,99000000.000,74000000.000,,,,74000000.000,
MinorityInterest,6100774000.000,6787423000.000,6632993000.000,7335461000.000,8338971000.000,8133008000.000,8493545000.000,14237000000.000,14347000000.000,15619000000.000,15804000000.000,15201000000.000,18672000000.000,19086000000.000,21584000000.000,21650000000.000,22084000000.000,23046000000.000,23954000000.000,24530000000.000,24725000000.000,24678000000.000,24893000000.000,24211000000.000,26889000000.000
NotesPayableRelatedPartiesNoncurrent,,,,,,,,,,,,,,,,,,,,,,107000000.000,83000000.000,250000000.000,0.000
OperatingLeasesFutureMinimumPaymentsDueCurrent,,,,22480000.000,26491000.000,18595000.000,11431000.000,92000000.000,,,,83000000.000,,,,151000000.000,,,,121000000.000,,,,148000000.000,
OperatingLeasesFutureMinimumPaymentsDueInFiveYears,,,,17283000.000,30770000.000,30820000.000,30931000.000,52000000.000,,,,55000000.000,,,,102000000.000,,,,97000000.000,,,,108000000.000,
OperatingLeasesFutureMinimumPaymentsDueInFourYears,,,,17292000.000,31708000.000,31683000.000,31917000.000,64000000.000,,,,68000000.000,,,,108000000.000,,,,96000000.000,,,,112000000.000,
OperatingLeasesFutureMinimumPaymentsDueInThreeYears,,,,17467000.000,33192000.000,33295000.000,33466000.000,79000000.000,,,,72000000.000,,,,118000000.000,,,,103000000.000,,,,117000000.000,
OperatingLeasesFutureMinimumPaymentsDueInTwoYears,,,,20667000.000,37990000.000,38341000.000,41244000.000,82000000.000,,,,81000000.000,,,,129000000.000,,,,114000000.000,,,,129000000.000,
OperatingLeasesFutureMinimumPaymentsDueThereafter,,,,152473000.000,211600000.000,216143000.000,218945000.000,462000000.000,,,,454000000.000,,,,829000000.000,,,,602000000.000,,,,548000000.000,
OperatingLossCarryforwards,,,,,65000000.000,67000000.000,57800000.000,368000000.000,,,,216000000.000,,,,5000000.000,,,,,,,,,
OtherAccruedLiabilitiesCurrent,,,,,,,,,,,397000000.000,412000000.000,417000000.000,309000000.000,399000000.000,363000000.000,267000000.000,321000000.000,473000000.000,632000000.000,,,,318000000.000,
OtherAssets,,,,27542000.000,,,,148000000.000,,,,147000000.000,,,,223000000.000,,,,,,,,,
OtherAssetsCurrent,151019000.000,142334000.000,143578000.000,181904000.000,224170000.000,172755000.000,170942000.000,311000000.000,352000000.000,285000000.000,321000000.000,312000000.000,279000000.000,272000000.000,307000000.000,301000000.000,411000000.000,382000000.000,422000000.000,572000000.000,743000000.000,644000000.000,759000000.000,586000000.000,513000000.000
OtherAssetsNoncurrent,1240097000.000,1325724000.000,247703000.000,248910000.000,490304000.000,476294000.000,475561000.000,533000000.000,457000000.000,546000000.000,607000000.000,922000000.000,971000000.000,857000000.000,897000000.000,908000000.000,953000000.000,965000000.000,962000000.000,730000000.000,731000000.000,742000000.000,776000000.000,818000000.000,826000000.000
OtherInventory,,,,,,138463000.000,140553000.000,,200000000.000,205000000.000,203000000.000,,207000000.000,225000000.000,320000000.000,,330000000.000,388000000.000,345000000.000,,373000000.000,361000000.000,368000000.000,,352000000.000
OtherInventorySupplies,,112871000.000,132958000.000,94873000.000,122220000.000,,,194000000.000,,,,199000000.000,,,,319000000.000,,,,377000000.000,,,,369000000.000,
OtherLiabilitiesCurrent,545469000.000,589762000.000,794660000.000,763912000.000,948659000.000,1081333000.000,1130528000.000,1754000000.000,1569000000.000,1542000000.000,1922000000.000,1678000000.000,1958000000.000,2196000000.000,2108000000.000,2201000000.000,2008000000.000,2058000000.000,2432000000.000,2302000000.000,2273000000.000,2195000000.000,2589000000.000,2367000000.000,2304000000.000
OtherLiabilitiesNoncurrent,249462000.000,252892000.000,243473000.000,244202000.000,300178000.000,312712000.000,311713000.000,995000000.000,938000000.000,849000000.000,893000000.000,1019000000.000,1024000000.000,1018000000.000,1060000000.000,1193000000.000,1313000000.000,1226000000.000,1246000000.000,1069000000.000,1117000000.000,1137000000.000,1087000000.000,1123000000.000,1237000000.000
OtherLongTermDebt,,,,10434000.000,704000.000,22022000.000,20140000.000,,,,,228000000.000,228000000.000,228000000.000,220000000.000,223000000.000,,,,157000000.000,,,,31000000.000,
PartnersCapital,89518000.000,-23541000.000,50525000.000,53484000.000,2425468000.000,2298853000.000,2197909000.000,2113000000.000,2035000000.000,1481000000.000,1400000000.000,1078000000.000,1286000000.000,582000000.000,709000000.000,664000000.000,707000000.000,501000000.000,-906000000.000,-932000000.000,-1686000000.000,-1681000000.000,-1703000000.000,-1694000000.000,-1147000000.000
PreferredStockParOrStatedValuePerShare,,,,100.000,,,,100.000,,,,100.000,,,,100.000,,,,,,,,,
PreferredUnitsAuthorized,,,,,,,,,,,,,,,,,,,,,,,,329299267.000,
PreferredUnitsIssued,,,,,,,,,,,,,,,,,,,,,,,,329299267.000,
PreferredUnitsOutstanding,,4371586.000,,,,,,,,,,,,,,,,,,,,,,329299267.000,
PreferredUnitsPreferredPartnersCapitalAccounts,,,,,,,,,,,,,,,,,,,,,,59000000.000,118000000.000,180000000.000,245000000.000
PrepaidExpenseAndOtherAssets,,81473000.000,87143000.000,115673000.000,122142000.000,85092000.000,85298000.000,270000000.000,329000000.000,251000000.000,266000000.000,263000000.000,246000000.000,232000000.000,261000000.000,222000000.000,228000000.000,195000000.000,212000000.000,172000000.000,,,,384000000.000,
PropertyPlantAndEquipmentGross,13543244000.000,15461476000.000,15922724000.000,16529339000.000,23068083000.000,23751846000.000,24157556000.000,30388000000.000,31026000000.000,31848000000.000,32623000000.000,33917000000.000,37679000000.000,39048000000.000,43017000000.000,45018000000.000,47400000000.000,49541000000.000,52301000000.000,54979000000.000,56873000000.000,58663000000.000,61369000000.000,63721000000.000,65788000000.000
PropertyPlantAndEquipmentNet,11988588000.000,13774472000.000,14100049000.000,14558562000.000,21403821000.000,21907865000.000,22237050000.000,28284000000.000,28640000000.000,29187000000.000,29674000000.000,30682000000.000,34115000000.000,35118000000.000,38737000000.000,40292000000.000,42342000000.000,44047000000.000,46305000000.000,48683000000.000,50125000000.000,51386000000.000,53565000000.000,55438000000.000,56967000000.000
RedeemableNoncontrollingInterestEquityOtherCarryingAmount,,,,,,,,,,,,,,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000
RegulatoryAssetsNoncurrent,,,89943000.000,88993000.000,224494000.000,220180000.000,216535000.000,93000000.000,,,,86000000.000,,,,85000000.000,,,,90000000.000,,,,86000000.000,
RestrictedCashAndCashEquivalentsNoncurrent,,,,,,,,,,,,378000000.000,,,,177000000.000,,,,,,,,,
RestrictedCashAndInvestmentsNoncurrent,,,,,,,,,,,,,,,,,,,,192000000.000,,,,190000000.000,
SecuredDebt,,,,,,,,,2000000000.000,2000000000.000,2000000000.000,,,,,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedNumber,,,,,,,,,,,,,,,,,,,,4800000.000,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedWeightedAverageGrantDateFairValue,,,,,,,,,,,,,,,,53.830,,,,47.610,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAvailableForGrant,,,,,,,,,,,,,,,,,,,,5300000.000,,,,,
SharePrice,,,,,,,,,,,48.050,,,,,,,,,,,,,,
SignificantAcquisitionsAndDisposalsAcquisitionCostsOrSaleProceeds,,,,,,,,,1040000000.000,1040000000.000,,,,,,,,,,,,,,,
SignificantChangeInUnrecognizedTaxBenefitsIsReasonablyPossibleAmountOfUnrecordedBenefit,,,,,,,,5000000.000,,,,6000000.000,,,,4000000.000,,,,4000000.000,,,,1000000.000,
StockRepurchaseProgramAuthorizedAmount1,,,,,,,,,,,,,,,,,,2000000000.000,2000000000.000,2000000000.000,,,,2000000000.000,
StockRepurchaseProgramRemainingAuthorizedRepurchaseAmount1,,,,,,,,,,,,,,,,,,,,936000000.000,936000000.000,936000000.000,936000000.000,936000000.000,936000000.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,6190292000.000,6763882000.000,6683518000.000,7388945000.000,10764439000.000,10431861000.000,10691454000.000,16350000000.000,16382000000.000,17100000000.000,17204000000.000,16279000000.000,19958000000.000,19668000000.000,22293000000.000,22314000000.000,22791000000.000,23547000000.000,23048000000.000,23598000000.000,23039000000.000,22997000000.000,23190000000.000,22517000000.000,25742000000.000
TaxesPayableCurrent,,2421000.000,6166000.000,14781000.000,55565000.000,8882000.000,9703000.000,41000000.000,40000000.000,37000000.000,82000000.000,4000000.000,240000000.000,220000000.000,127000000.000,54000000.000,42000000.000,4000000.000,4000000.000,,,,,,
TemporaryEquityCarryingAmount,70991000.000,71040000.000,71091000.000,71144000.000,72196000.000,72370000.000,72549000.000,,,,,,,,,,,,,,,,,,
TemporaryEquityCarryingAmountAttributableToParent,,,,,,,,,73000000.000,73000000.000,32000000.000,,32000000.000,32000000.000,32000000.000,,33000000.000,33000000.000,33000000.000,,33000000.000,33000000.000,33000000.000,,0.000
TemporaryEquityCarryingAmountIncludingPortionAttributableToNoncontrollingInterests,,,,,,,,73000000.000,,,,32000000.000,,,,33000000.000,,,,33000000.000,,,,33000000.000,
TemporaryEquityLiquidationPreference,,,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000,,,,,,,,,,,,,,,,,
TradingAccountAssetsFairValueDisclosure,,,,,,,,,,,134000000.000,,,,,,,,,,,,,,
TradingLiabilitiesFairValueDisclosure,,128338000.000,,,,,,,,,103000000.000,,,,,,,,,,,,,,
TradingSecuritiesFairValueDisclosure,,125401000.000,,,,,,,,,,,,,,,,,,,,,,,
UnearnedPremiums,,,,,,,6600000.000,,,,,,,,,,,,,,,,,,
UnitsOfPartnershipInterestAmount,,,,222973000.000,,,,,,,,,,,,,,,,,,,,,
UnrecognizedTaxBenefits,,,,,,,,27000000.000,,,,429000000.000,,,,440000000.000,,,,610000000.000,,,,615000000.000,
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued,,,,,,,,5000000.000,,,,6000000.000,,,,6000000.000,,,,,,,,,
UnrecognizedTaxBenefitsThatWouldImpactEffectiveTaxRate,,,,,,,,24000000.000,,,,425000000.000,,,,439000000.000,,,,588000000.000,,,,596000000.000,
