,2011-10-31,2012-01-31,2012-04-30,2012-07-31,2012-10-31,2013-01-31,2013-04-30,2013-07-31,2013-09-30,2014-03-31,2014-06-30,2014-09-30
AdjustmentForAmortization,,,,,,,,,,4740.000,,
AdjustmentsToAdditionalPaidInCapitalOther,900.000,,,,,,,,,,,
AdvertisingExpense,,,,,,,,,,39773.000,,
AllowanceForDoubtfulAccountsReceivablePeriodIncreaseDecrease,,,,,,,,,,51513.000,,
AmortizationOfIntangibleAssets,,,,,,,,,,20440.000,,
BusinessAcquisitionEquityInterestsIssuedOrIssuableNumberOfSharesIssued,,,,,,,,,122900000.000,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,0.000,,,,,,,,,,,
CashPeriodIncreaseDecrease,,,,,,,,,,675537.000,,
ComprehensiveIncomeNetOfTax,,,,,,,,,,-138365.000,-358252.000,-410167.000
ConcentrationRiskPercentage1,,,,,,,,,,0.410,,
CostOfGoodsSold,,,,,,,,,,3488901.000,2743732.000,3275638.000
Depreciation,,,,,,,,,,190815.000,,
DepreciationDepletionAndAmortization,,,,,,,,,,258235.000,,
EarningsPerShareBasicAndDiluted,-0.040,-0.090,100000.000,-100000.320,-0.100,-0.060,-0.020,-0.120,-0.330,,,
EffectOfExchangeRateOnCashAndCashEquivalents,,,,,,,,,,-10711.000,,
GeneralAndAdministrativeExpense,,675.000,3548.000,,3645.000,2821.000,,,659.000,604814.000,418369.000,203185.000
GrossProfit,,,,,,,,,,887940.000,775499.000,567778.000
IncomeLossFromContinuingOperations,,,,,,,,,,-364321.000,-214744.000,-199591.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,-6346.000,-1500.000,,-32659.000,-100827.000,-364013.000,-411423.000
IncomeTaxExpenseBenefit,0.000,0.000,0.000,,,,,,,,,
IncomeTaxesPaid,0.000,,,,,,,,,,,
IncreaseDecreaseInAccountsPayable,,,,,,,,,-1172.000,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,600.000,,,,-2500.000,,,,,80105.000,,
IncreaseDecreaseInAccountsReceivable,,,,,,,,,,-499192.000,,
IncreaseDecreaseInAssetsHeldForSale,,,,,,,,,,-7849.000,,
IncreaseDecreaseInCustomerAdvances,,,,,,,,,,39165.000,,
IncreaseDecreaseInInventories,,,,,,,,,,-160080.000,,
IncreaseDecreaseInOtherAccountsPayable,,,,,,,,,,-10940.000,,
IncreaseDecreaseInOtherCurrentAssets,,,,,,,,,,1702714.000,,
IncreaseDecreaseInOtherReceivables,,,,,,,,,,1253610.000,,
IncreaseDecreaseInPrepaidExpense,,,,,,,,,,7767.000,,
IncreaseDecreaseInRestrictedCash,,,,,,,,,,-65407.000,,
InterestExpense,,,0.000,,,,,,,-237964.000,220497.000,248310.000
InterestPaid,0.000,,,,,,,,,230458.000,,
NetCashProvidedByUsedInFinancingActivities,,,,,12895.000,,,,33831.000,3369989.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,,12895.000,,,,33831.000,3369989.000,,
NetCashProvidedByUsedInInvestingActivities,,,,,,,,,,-761187.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,,,,,,,-761187.000,,
NetCashProvidedByUsedInOperatingActivities,-2000.000,,,,-12895.000,,,,-33831.000,-1922554.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-2000.000,,,,-12895.000,,,,-33831.000,-1922554.000,,
NetIncomeLoss,,,,,,-6346.000,-1500.000,,-32659.000,-100827.000,-364013.000,-411423.000
NonoperatingIncomeExpense,,,,,,,,,,263494.000,-149269.000,-211832.000
OperatingExpenses,3500.000,8975.000,7372.000,25520.000,10395.000,6346.000,1500.000,11699.000,32659.000,1252261.000,990243.000,767369.000
OperatingIncomeLoss,-3500.000,-8975.000,-7372.000,-25520.000,-10395.000,,,,,,,
OperatingLeasesRentExpenseNet,,,,,,,,,,15140.000,,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentBeforeTax,,,,,,,,,,-37538.000,5761.000,1256.000
OtherNonoperatingIncomeExpense,,,0.000,,,,,,,-2202.000,13671.000,-6046.000
PaymentsToAcquirePropertyPlantAndEquipment,,,,,,,,,,16914.000,,
ProceedsFromContributedCapital,,,,,,,,,90000.000,-2125711.000,,
ProceedsFromRelatedPartyDebt,,,,,,,,,,-227369.000,,
ProceedsFromRepaymentsOfRelatedPartyDebt,2000.000,,,,12895.000,,,,-90000.000,,,
ProceedsFromShortTermDebt,,,,,,,,,,5723069.000,,
ProfessionalFees,2600.000,7700.000,3824.000,21750.000,6750.000,3525.000,1500.000,5500.000,32000.000,,,
ProfitLoss,-3500.000,-8975.000,-7372.000,-25520.000,-10395.000,,,,,,,
ProvisionForDoubtfulAccounts,,,,,,,,,,51513.000,,
Revenues,,,,,,,,,,4376841.000,3519231.000,3843416.000
SalariesAndWages,900.000,600.000,,,,,,,,,,
SalesRevenueNet,,,,,,,,,,4376841.000,3519231.000,3843416.000
SellingExpense,,,,,,,,,,647447.000,571874.000,564184.000
ShippingHandlingAndTransportationCosts,,,,,,,,,,77225.000,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,,100000.000,100000.000,100000.000,-200000.000,100000.000,123000000.000,123000000.000,123000000.000
