,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30
AccountsPayableCurrent,981000000.000,1115000000.000,1116000000.000,364000000.000,450000000.000,426200000.000,331900000.000,347000000.000,350700000.000,364100000.000,345200000.000,332700000.000,344200000.000,343900000.000,330700000.000,309600000.000,287700000.000,299200000.000,291900000.000,314700000.000,293500000.000,310000000.000,304400000.000
AccountsReceivableGrossCurrent,1597000000.000,1644000000.000,1662000000.000,361000000.000,437000000.000,420100000.000,422500000.000,396900000.000,467200000.000,462700000.000,511900000.000,463900000.000,570300000.000,547100000.000,538100000.000,476800000.000,513300000.000,538700000.000,535600000.000,554000000.000,587000000.000,601400000.000,565900000.000
AccrualForEnvironmentalLossContingencies,,,,102000000.000,101000000.000,96900000.000,97300000.000,,,,81800000.000,,81400000.000,79100000.000,81200000.000,,77900000.000,73900000.000,72300000.000,,,,
AccrualForEnvironmentalLossContingenciesNet,,,,,,88700000.000,89500000.000,,,,,,,,,,,,,,,,
AccruedEnvironmentalLossContingenciesNoncurrent,127000000.000,127000000.000,137000000.000,91000000.000,89000000.000,85700000.000,86200000.000,84900000.000,82600000.000,84000000.000,81800000.000,85100000.000,83500000.000,81300000.000,79200000.000,80200000.000,75800000.000,70600000.000,69000000.000,72000000.000,68200000.000,66300000.000,62100000.000
AccruedIncomeTaxesCurrent,,,,23000000.000,40000000.000,53600000.000,45500000.000,32400000.000,42100000.000,46000000.000,53100000.000,29800000.000,42700000.000,49500000.000,37400000.000,28000000.000,31400000.000,47800000.000,39800000.000,30900000.000,42200000.000,48600000.000,44200000.000
AccruedLiabilitiesCurrent,1703000000.000,1714000000.000,1755000000.000,468000000.000,475000000.000,495700000.000,409200000.000,458300000.000,492200000.000,477400000.000,516900000.000,499900000.000,489900000.000,496000000.000,484600000.000,465800000.000,433300000.000,448100000.000,414800000.000,392700000.000,385300000.000,387300000.000,382600000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,1941000000.000,2030000000.000,2011000000.000,710000000.000,728000000.000,717600000.000,728800000.000,737500000.000,734800000.000,751500000.000,777800000.000,789600000.000,804300000.000,815600000.000,800600000.000,797300000.000,767900000.000,795900000.000,806800000.000,848500000.000,875100000.000,864800000.000,872600000.000
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,,-1000000.000,,,,-300000.000,,,,-300000.000,,,,-300000.000,,,,-300000.000,,,
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,,,,153000000.000,,,,195500000.000,,,,129200000.000,,,,144200000.000,,,,153700000.000,,,
