,2011-07-02,2011-10-01,2011-12-31
AmortizationOfFinancingCosts,1900000.000,,
AmortizationOfIntangibleAssets,12500000.000,12400000.000,12700000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-164100000.000,,
CashDividendsPaidToParentCompany,-100000000.000,,
CostOfGoodsAndServicesSold,309300000.000,294800000.000,327200000.000
Depreciation,14700000.000,,
DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,,-6900000.000,0.000
EffectOfExchangeRateOnCashAndCashEquivalents,1400000.000,,
GainLossOnSaleOfPropertyPlantEquipment,-100000.000,,
GainsLossesOnExtinguishmentOfDebt,0.000,0.000,0.000
GrossProfit,166900000.000,160400000.000,165200000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,19500000.000,4300000.000,3200000.000
IncomeLossFromEquityMethodInvestments,0.000,,
IncomeTaxExpenseBenefit,-4700000.000,-200000.000,-2400000.000
IncreaseDecreaseInAccountsPayable,-17500000.000,,
IncreaseDecreaseInAccruedLiabilities,-26100000.000,,
IncreaseDecreaseInInventories,3200000.000,,
IncreaseDecreaseInOtherOperatingAssets,1000000.000,,
IncreaseDecreaseInReceivables,33200000.000,,
InterestExpense,43300000.000,42800000.000,45100000.000
NetCashProvidedByUsedInFinancingActivities,-103200000.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-103200000.000,,
NetCashProvidedByUsedInInvestingActivities,-26300000.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-26300000.000,,
NetCashProvidedByUsedInOperatingActivities,-36000000.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-36000000.000,,
NetIncomeLoss,24200000.000,4500000.000,5600000.000
OperatingIncomeLoss,63000000.000,61600000.000,51300000.000
OtherNoncashIncomeExpense,9600000.000,,
OtherNonoperatingIncomeExpense,-200000.000,-7600000.000,-3000000.000
PaymentsForProceedsFromBusinessesAndInterestInAffiliates,0.000,,
PaymentsOfDebtRestructuringCosts,0.000,,
PaymentsOfFinancingCosts,1300000.000,,
PaymentsToAcquireBusinessesNetOfCashAcquired,18200000.000,,
PaymentsToAcquirePropertyPlantAndEquipment,8100000.000,,
ProceedsFromIssuanceOfLongTermDebt,0.000,,
ProceedsFromShortTermDebt,300000.000,,
RepaymentsOfLongTermDebt,700000.000,,
RepaymentsOfShortTermDebt,1500000.000,,
RestructuringCharges,,,2700000.000
Revenues,476200000.000,455200000.000,492400000.000
SalesRevenueNet,476200000.000,455200000.000,492400000.000
SellingGeneralAndAdministrativeExpense,91400000.000,86400000.000,98500000.000
ShareBasedCompensation,1200000.000,,
