,2014-06-30,2014-09-30,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AllocatedShareBasedCompensationExpense,128000.000,883000.000,939000.000,939000.000,1100000.000,951000.000,,957000.000,1044000.000,,800000.000
AmortizationOfFinancingCosts,,,65000.000,,,,92000.000,,,,133000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,2134291.000,1216841.000,1514069.000,-3298046.000,1285515.000
CapitalizedCostsOfUnprovedPropertiesExcludedFromAmortization,,,,,,,,,,,8301000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-5289000.000,,,,4124000.000,,,,19350000.000
DepletionOfOilAndGasProperties,6064000.000,7971000.000,8901000.000,,8737000.000,,8150000.000,6584000.000,6751000.000,8335000.000,7847000.000
DistributionMadeToLimitedPartnerDistributionsDeclaredPerUnit,,,,0.220,,,,,,,
GasGatheringTransportationMarketingAndProcessingCosts,,,,,167000.000,,86000.000,91000.000,70000.000,168000.000,143000.000
GeneralAndAdministrativeExpense,219000.000,1250000.000,1427000.000,,1531000.000,,1749000.000,1207000.000,1153000.000,1100000.000,2142000.000
ImpairmentOfOilAndGasProperties,0.000,0.000,,,,,26011000.000,21458000.000,0.000,0.000,0.000
IncreaseDecreaseInAccountsPayableRelatedParties,,,-1349000.000,,,,-4000.000,,,,0.000
IncreaseDecreaseInAccountsReceivable,,,,,,,-2915000.000,,,,-826000.000
IncreaseDecreaseInAccountsReceivableRelatedParties,,,,,,,,,,,3481000.000
IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,,,-240000.000,,,,827000.000,,,,-1187000.000
IncreaseDecreaseInOtherCurrentAssets,,,0.000,,,,,,,,
IncreaseDecreaseInPrepaidExpense,,,,,,,-257000.000,,,,44000.000
IncreaseDecreaseInRestrictedCash,,,,,,,,,,,-500000.000
InterestCostsCapitalized,2348000.000,0.000,0.000,,,,,,,,
InterestExpense,,317000.000,168000.000,,358000.000,,430000.000,456000.000,658000.000,911000.000,612000.000
InterestExpenseRelatedParty,5387000.000,0.000,0.000,,0.000,,,,,,
InterestPaidNet,,,103000.000,,,,339000.000,,,,582000.000
LimitedPartnersCapitalAccountDistributionAmount,,,,,,,2115000.000,,,,6482000.000
NetCashProvidedByUsedInFinancingActivities,,,-19927000.000,,,,-9680000.000,,,,1864000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,-19927000.000,,,,-9680000.000,,,,1864000.000
NetCashProvidedByUsedInInvestingActivities,,,85000.000,,,,-2082000.000,,,,-8579000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,85000.000,,,,-2082000.000,,,,-8579000.000
NetCashProvidedByUsedInOperatingActivities,,,14553000.000,,,,15886000.000,,,,26065000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,14553000.000,,,,15886000.000,,,,26065000.000
NetIncomeLossAllocatedToLimitedPartners,4109000.000,10869000.000,5082000.000,8045000.000,6355000.000,4937000.000,-23335000.000,-14020000.000,10202000.000,16254000.000,20652000.000
NetIncomeLossNetOfTaxPerOutstandingLimitedPartnershipUnitDiluted,0.010,0.140,0.060,0.100,0.080,0.070,-0.290,-0.180,0.120,0.220,0.220
NetIncomeLossPerOutstandingLimitedPartnershipUnitBasicNetOfTax,0.010,0.140,0.060,0.100,0.080,0.070,-0.290,-0.180,0.120,0.220,0.220
NonoperatingIncomeExpense,,-306000.000,318000.000,,-190000.000,,-231000.000,-309000.000,-392000.000,-656000.000,-798000.000
OilAndGasRevenue,,,,,,,14194000.000,17032000.000,19997000.000,27923000.000,33652000.000
OperatingExpenses,,11592000.000,11781000.000,,12232000.000,,37298000.000,30743000.000,9403000.000,11013000.000,12202000.000
OperatingIncomeLoss,,11175000.000,4764000.000,,6545000.000,,-23104000.000,-13711000.000,10594000.000,16910000.000,21450000.000
OtherNonoperatingIncome,,11000.000,486000.000,,168000.000,,199000.000,147000.000,266000.000,255000.000,
OtherNonoperatingIncomeExpense,,,,,,,,,,,-186000.000
PartnersCapitalAccountPublicSaleOfUnits,,,,,,,,,,,147523000.000
PartnersCapitalAccountUnitBasedCompensation,,,939000.000,,,,973000.000,,,,819000.000
PaymentsForProceedsFromOtherInvestingActivities,,,-85000.000,,,,0.000,,,,
PaymentsOfCapitalDistribution,,,19927000.000,,,,18178000.000,,,,25174000.000
PaymentsOfDebtIssuanceCosts,,,,,,,2000.000,,,,1000.000
PaymentsOfStockIssuanceCosts,,,0.000,,,,,,,,186000.000
PaymentsToAcquireMineralRights,,,,,,,2082000.000,,,,8579000.000
PaymentsToAcquireOilAndGasProperty,,,0.000,,,,,,,,
ProceedsFromIssuanceOfCommonLimitedPartnersUnits,,,,,,,,,,,147725000.000
ProceedsFromLinesOfCredit,,,,,,,8500000.000,,,,0.000
ProductionTaxExpense,1392000.000,1478000.000,1328000.000,,1686000.000,,1302000.000,1403000.000,1429000.000,1410000.000,2070000.000
RelatedPartyTransactionSellingGeneralAndAdministrativeExpensesFromTransactionsWithRelatedParty,78000.000,893000.000,125000.000,,111000.000,,,,,,
RepaymentsOfLinesOfCredit,,,,,,,,,,,120500000.000
RoyaltyRevenue,17249000.000,22767000.000,16545000.000,,18777000.000,,14086000.000,16836000.000,19992000.000,27923000.000,32050000.000
ShareBasedCompensation,,,939000.000,,,,973000.000,,,,819000.000
WeightedAverageLimitedPartnershipAndGeneralPartnershipUnitsOutstandingBasic,76200000.000,76618000.000,79708000.000,,,,,,,,
WeightedAverageLimitedPartnershipUnitsOutstanding,,76618000.000,79708000.000,79710000.000,79721000.000,-159422000.000,79726000.000,79728000.000,84996033.000,-161369033.000,94969000.000
WeightedAverageLimitedPartnershipUnitsOutstandingDiluted,76200000.000,77235000.000,79711000.000,79710000.000,79730000.000,-159424000.000,79726000.000,79728000.000,85003422.000,-161376422.000,94979000.000
WeightedAverageNumerDilutedLimitedPartnershipUnitsOutstandingAdjustment,,,,,,,,,,,10000.000
