,2011-08-31,2012-02-29,2012-08-31,2012-11-30
AdjustmentForAmortization,10026.000,10886.000,,
AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,369057.000,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,42326.000,,60837.000,
AdjustmentsToAdditionalPaidInCapitalStockIssuedOwnshareLendingArrangementIssuanceCosts,241404.000,,,
AllocatedShareBasedCompensationExpense,35815.000,51477.000,60837.000,
AmortizationOfDebtDiscountPremium,,,104752.000,
AmortizationOfFinancingCosts,877987.000,335595.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-91275.000,-272634.000,-58157.000,-182613.000
ComprehensiveIncomeNetOfTax,-1619835.000,-899385.000,-757279.000,-679168.000
DebtConversionConvertedInstrumentAmount1,,,22069.000,
DebtInstrumentConvertibleInterestExpense,,,336801.000,280326.000
DebtIssuanceCostsIncurredDuringNoncashOrPartialNoncashTransaction,241404.000,,,
Depreciation,7837.000,14643.000,18676.000,9228.000
EarningsPerShareBasicAndDiluted,-0.010,-0.090,-0.050,-0.030
EffectOfExchangeRateOnCashAndCashEquivalents,14820.000,,6226.000,
GainLossOnSaleOfPropertyPlantEquipment,,-32524.000,,-28285.000
GeneralAndAdministrativeExpense,125987.000,118836.000,52751.000,9656.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,92375.000,69252.000,184438.000,19611.000
IncreaseDecreaseInAccountsReceivable,-36510.000,-13818.000,-917.000,73773.000
IncreaseDecreaseInPrepaidExpense,-24775.000,12005.000,2944.000,4247.000
InterestExpense,879789.000,336198.000,337398.000,280725.000
InterestExpenseDebt,,,336801.000,
InterestPaid,1802.000,735.000,,
LaborAndRelatedExpense,145204.000,146308.000,142679.000,142882.000
LoansAssumed1,527640.000,70000.000,62735.000,32088.000
NetCashProvidedByUsedInFinancingActivities,650350.000,150711.000,-4.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,650350.000,150711.000,-4.000,
NetCashProvidedByUsedInInvestingActivities,-105876.000,-45884.000,90121.000,22588.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-105876.000,-45884.000,90121.000,22588.000
NetCashProvidedByUsedInOperatingActivities,-635749.000,-377461.000,-148274.000,-205201.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-635749.000,-377461.000,-148274.000,-205201.000
NetIncomeLoss,-1605015.000,-899385.000,-751053.000,-679168.000
NonoperatingIncomeExpense,-879789.000,-368722.000,-337398.000,-309010.000
OperatingExpenses,725226.000,530663.000,413655.000,370158.000
OperatingIncomeLoss,-725226.000,-530663.000,-413655.000,-370158.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,-14820.000,,-6226.000,
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,-14820.000,,-6226.000,
OtherLaborRelatedExpenses,6511.000,9360.000,9360.000,7020.000
PaymentsToAcquireMachineryAndEquipment,105876.000,45884.000,-90847.000,1396.000
ProceedsFromContributionsFromParent,-99636.000,58742.000,,
ProceedsFromConvertibleDebt,,91969.000,,
ProceedsFromRepaymentsOfNotesPayable,750000.000,,,
ProceedsFromRepaymentsOfRelatedPartyDebt,,,-4.000,
ProceedsFromSaleOfMachineryAndEquipment,,,-726.000,23984.000
ProfessionalFees,39587.000,36891.000,21786.000,46723.000
RepaymentsOfRelatedPartyDebt,14.000,,,
ResearchAndDevelopmentExpense,354259.000,142262.000,116926.000,103172.000
SalariesWagesAndOfficersCompensation,,,51477.000,51477.000
ShareBasedCompensation,42326.000,60837.000,60837.000,58497.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,,,0.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,,,4.260,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,,,0.015,
ShareBasedCompensationArrangementByShareBasedPaymentAwardPercentageOfOutstandingStockMaximum,,,0.040,
StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,427005.000,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,10332352.000,15633885.000,22238179.000
