,2011-06-30,2012-06-30,2015-06-30
CashAndCashEquivalentsPeriodIncreaseDecrease,-11824.000,,-193088.000
CashPeriodIncreaseDecrease,,29866.000,
CostsAndExpenses,,,25648.000
DerivativeGainLossOnDerivativeNet,,,19845.000
EarningsPerShareBasic,0.000,,-0.010
EarningsPerShareBasicAndDiluted,,-0.000,
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,-0.350,0.350
EffectiveIncomeTaxRateReconciliationDeductions,,0.350,
ExplorationCosts,,,120000.000
ExplorationExpenseMining,,,25648.000
FairValueAdjustmentOfWarrants,,,19845.000
GeneralAndAdministrativeExpense,2516.000,9079.000,31317.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,2000.000,-3066.000,-4702.000
IncreaseDecreaseInAccountsPayableRelatedParties,,2695.000,20783.000
IncreaseDecreaseInDueToRelatedParties,,33402.000,
IncreaseDecreaseInInterestPayableNet,,110.000,
IncreaseDecreaseInPrepaidExpense,,-2413.000,
InterestExpenseShortTermBorrowings,,110.000,
InterestRevenueExpenseNet,,-110.000,
ManagementFeeExpense,,,93750.000
NetCashProvidedByUsedInContinuingOperations,,,-193088.000
NetCashProvidedByUsedInFinancingActivities,1146.000,78592.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,1146.000,78592.000,
NetCashProvidedByUsedInOperatingActivities,-12970.000,-48726.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-12970.000,-48726.000,
NetIncomeLoss,-14970.000,-46052.000,-229014.000
OperatingExpenses,14970.000,,
OperatingIncomeLoss,,-45942.000,-209169.000
ProceedsFromIssuanceOrSaleOfEquity,,5190.000,
ProceedsFromNotesPayable,,40000.000,
ProfessionalFees,12454.000,31863.000,28486.000
ServiceManagementCosts,,,60000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,,,1.782
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,,,0.016
StockIssuedDuringPeriodValueNewIssues,,5190.000,
ValuationAllowanceDeferredTaxAssetChangeInAmount,,,73200.000
WeightedAverageNumberOfDilutedSharesOutstanding,,72474385.000,
WeightedAverageNumberOfSharesOutstandingBasic,12000000.000,,96083348.000
