,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,2857000.000,1618000.000,4180000.000,-5165000.000,6641000.000,8144000.000,11519000.000,-17104000.000,6077460.000,3793948.000,3680344.000,-9151752.000,3371122.000,1978777.000,124357.000,-4074256.000,,,,,,,,,
AssetImpairmentCharges,,,358000000.000,,,59000000.000,208000000.000,,,,,,,,,,,,,,,0.000,0.000,,
BusinessCombinationStepAcquisitionEquityInterestInAcquireeRemeasurementGainOrLoss,,,,,,,,,,,,,39000000.000,,,,,,,,,,,,
BusinessExitCosts1,,,,,,,,,,,,,,,,,6000000.000,21000000.000,,,,,,,
CapitalizedExploratoryWellCostAdditionsPendingDeterminationOfProvedReserves,183000000.000,,,,97000000.000,,,,100000000.000,,,,24000000.000,,,,160000000.000,,,,60000000.000,,,,27000000.000
CapitalizedExploratoryWellCostChargedToExpense,-69000000.000,,,,58000000.000,,,,2000000.000,,,,,,,,120000000.000,,,,25000000.000,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,360000000.000,,,,45000000.000,,,,-198000000.000,,,,-526000000.000,,,,-938000000.000,,,,841000000.000,,,,-46000000.000
CashFlowHedgeGainLossReclassifiedToEarningsNet,-81000000.000,-81000000.000,-82000000.000,,,,,,,,,,,,,,,,,,,,,,
CashFlowHedgeGainLossReclassifiedToRevenueNet,-128000000.000,-128000000.000,-131000000.000,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,,,,,,,,,,,,,,,,,,,,,0.000,,,,
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,,,,,,,,,-12000000.000,,,,,,,,95000000.000,,,,0.000,,,,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,,,,,,,33000000.000,,,,-5000000.000,,,,-11000000.000,,,,0.000,,,,
ChangeInUnrealizedGainLossOnFairValueHedgingInstruments,-2000000.000,5000000.000,42000000.000,,,,,,,,,,,,,,,,,,,,,,
CommonStockDividendsPerShareDeclared,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250
ComprehensiveIncomeNetOfTax,,,,,555000000.000,827000000.000,661000000.000,556000000.000,1317000000.000,1464000000.000,392000000.000,2034000000.000,448000000.000,823000000.000,905000000.000,-931000000.000,-483000000.000,-499000000.000,-425000000.000,-1903000000.000,-329000000.000,-407000000.000,-212000000.000,-5224000000.000,-287000000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,19000000.000,-20000000.000,38000000.000,3000000.000,-5000000.000,193000000.000,-2000000.000,-10000000.000,35000000.000,-1000000.000,22000000.000,1000000.000,,0.000,27000000.000,,21000000.000,19000000.000,22000000.000,-6000000.000,28000000.000
