,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30
CashPeriodIncreaseDecrease,,,-89.000,,
EarningsPerShareBasicAndDiluted,-0.020,-0.010,-0.010,-0.010,-0.010
GeneralAndAdministrativeExpense,16166.000,9088.000,12634.000,5723.000,9759.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,5160.000,,
InterestExpense,,,965.000,1006.000,1120.000
NetCashProvidedByUsedInFinancingActivities,,,8350.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,8350.000,,
NetCashProvidedByUsedInOperatingActivities,,,-8439.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-8439.000,,
NetIncomeLoss,-16166.000,-9088.000,-13599.000,-6729.000,-10879.000
OperatingIncomeLoss,,,-12634.000,-5723.000,-9759.000
ProceedsFromRelatedPartyDebt,,,8350.000,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,1000000.000,1000000.000
