,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31
CashAndCashEquivalentsPeriodIncreaseDecrease,,,112543.000,,
CostOfRevenue,109005.000,103499.000,,,
DeferredRevenuePeriodIncreaseDecrease,,,-31753.000,,
Depreciation,,,2181.000,,
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,,,,1739706.000
EarningsPerShareBasicAndDiluted,0.000,0.000,-0.000,-0.000,0.030
GeneralAndAdministrativeExpense,99062.000,100189.000,48819.000,24817.000,24817.000
IncomeLossFromContinuingOperations,,,-76194.000,-59477.000,-24817.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,-108186.000,36108.000,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-116423.000,-139783.000,,,
IncomeLossFromContinuingOperationsPerBasicShare,,,-0.000,-0.000,-0.000
IncomeLossFromDiscontinuedOperationsNetOfTax,,,232210.000,-118490.000,-29899.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,,,-0.000,-0.000,-0.030
IncreaseDecreaseInAccountsPayable,,,-63961.000,,
IncreaseDecreaseInAccountsReceivable,,,88912.000,,
IncreaseDecreaseInAccruedLiabilities,,,-22988.000,,
IncreaseDecreaseInFairValueOfUnhedgedDerivativeInstruments,8237.000,175891.000,,,
IncreaseDecreaseInPrepaidExpense,,,-12651.000,,
InterestExpense,-94111.000,-111415.000,-27375.000,34660.000,
LeaseAndRentalExpense,,,14386.000,17314.000,
NetCashProvidedByUsedInInvestingActivities,,,300000.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,300000.000,,
NetCashProvidedByUsedInOperatingActivities,,,-187457.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-187457.000,,
OperatingExpenses,363959.000,357335.000,,,
OperatingIncomeLoss,-22312.000,-28368.000,-48819.000,24817.000,-24817.000
ProfitLoss,-108670.000,35096.000,156016.000,-177967.000,1684990.000
ResearchAndDevelopmentExpense,118630.000,125087.000,,,
Revenues,341647.000,328967.000,,,
SalesRevenueNet,341647.000,328967.000,,,
SellingAndMarketingExpense,37262.000,28560.000,,,
WeightedAverageNumberOfSharesOutstandingBasic,53756553.000,53756553.000,53756553.000,53756553.000,53756553.000
