,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
ClearanceFees,,,,,,,,,,,,,,,50672.000,86330.000,100060.000,76761.000,68762.000,53179.000,53842.000,50400.000,29635.000
FloorBrokerageExchangeAndClearanceFees,471998.000,539325.000,567087.000,521087.000,566245.000,519108.000,567503.000,455390.000,414090.000,59574.000,,,,,,,,,,,,,
GainLossOnDerivativeInstrumentsHeldForTradingPurposesNet,,,,-27904631.000,60107931.000,,-54294148.000,6193641.000,-22410824.000,,-1100349.000,-4155963.000,-7372341.000,,-154525.000,-343706.000,-23430.000,-148583.000,-1037811.000,236468.000,2530629.000,120264.000,587202.000
GainLossOnSaleOfCommodityContracts,,,,,,,,,,,,,,,-138865.000,-458540.000,102314.000,-197614.000,-767947.000,-484465.000,2957731.000,-72278.000,721002.000
GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,15052.000,,,,,,,,
IncomeLossFromContinuingOperationsPerOutstandingLimitedPartnershipUnitBasicNetOfTax,,,,,,,,,,,,,,,,-108.150,-119.520,,-103.560,-104.640,-137.120,-110.670,-125.670
InterestAndDividendIncomeOperating,,,,,,,,,,,,,,,698.000,505.000,981.000,535.000,12565.000,8831.000,,,
InterestIncomeOperating,6344.000,4983.000,11073.000,15545.000,16429.000,23668.000,13738.000,4923.000,3419.000,7118.000,4292.000,2007.000,1415.000,1473.000,698.000,505.000,981.000,535.000,12565.000,8831.000,7467.000,9671.000,18366.000
InvestmentIncomeNet,-1755767.000,-1685980.000,-1713274.000,-1555875.000,-1553598.000,-1477921.000,-1281649.000,-1095581.000,-905133.000,-415491.000,-421071.000,-425790.000,-635117.000,-360242.000,-288565.000,-422873.000,-444022.000,-390717.000,-321990.000,-262107.000,-247900.000,-239588.000,-206469.000
ManagementFeeExpense,,,,,,,,,363382.000,,262596.000,239381.000,210476.000,167262.000,75265.000,104416.000,97261.000,89827.000,76935.000,60488.000,55039.000,56518.000,55501.000
NetIncomeLoss,-7772589.000,2756517.000,-1837926.000,-6760885.000,9217721.000,-5089940.000,-10580808.000,-113324.000,-4491608.000,137362.000,-607130.000,-1045707.000,-1769737.000,989865.000,-443090.000,-766579.000,-467452.000,-539300.000,-1359801.000,-25639.000,2246336.000,-119324.000,333864.000
