,2012-02-29,2013-02-28,2014-02-28
AdjustmentsToAdditionalPaidInCapitalOther,19760.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-879.000,-7084.000,0.000
EarningsPerShareBasic,0.000,-0.020,-0.020
EffectiveIncomeTaxRateContinuingOperations,,0.000,0.000
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,0.340,0.340
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,,-0.386,-0.386
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,,0.045,0.045
FederalIncomeTaxExpenseBenefitContinuingOperations,,,0.000
GeneralAndAdministrativeExpense,18753.000,40748.000,52213.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,,-100913.000,-98599.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,-29188.000,-33524.000
IncomeTaxExpenseBenefit,,0.000,0.000
IncomeTaxExpenseBenefitContinuingOperations,,0.000,
IncomeTaxesPaid,0.000,0.000,0.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,30891.000,-21827.000
IncreaseDecreaseInPrepaidExpense,-2926.000,-2926.000,0.000
InterestExpense,,72.000,2560.000
InterestPaid,0.000,0.000,0.000
NetCashProvidedByUsedInFinancingActivities,20800.000,8222.000,0.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,20800.000,8222.000,0.000
NetCashProvidedByUsedInOperatingActivities,-21679.000,-15306.000,0.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-21679.000,-15306.000,0.000
NetIncomeLoss,-18753.000,-100913.000,-98599.000
NonoperatingIncomeExpense,,-72.000,-2560.000
OperatingExpenses,,100841.000,96039.000
OperatingIncomeLoss,,-100841.000,-96039.000
OtherExpenses,18753.000,,
OtherNoncashExpense,0.000,,
PaidInKindInterest,,16928.000,31200.000
ProceedsFromIssuanceOfCommonStock,20800.000,0.000,0.000
ProceedsFromRelatedPartyDebt,,8222.000,0.000
ProfessionalFees,,60093.000,43826.000
RelatedPartyTransactionAmountsOfTransaction,,16928.000,31200.000
RelatedPartyTransactionPurchasesFromRelatedParty,,34290.000,80666.000
StockIssuedDuringPeriodSharesOther,1040000.000,,
ValuationAllowanceDeferredTaxAssetChangeInAmount,,27146.000,22683.000
WeightedAverageNumberOfSharesOutstandingBasic,5239149.000,5540000.000,5540000.000
