,2011-12-31,2012-12-31,2013-12-31
AmortizationOfDebtDiscountPremium,364894.000,384512.000,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,1617500.000
CashAndCashEquivalentsPeriodIncreaseDecrease,22484.000,-23017.000,15082.000
ConversionOfStockAmountIssued1,,253533.000,27695.000
CostOfRevenue,342025.000,,
DebtConversionOriginalDebtAmount1,241303.000,,
DebtInstrumentConvertibleBeneficialConversionFeature,,6300.000,
Depreciation,10436.000,38972.000,
DerivativeGainLossOnDerivativeNet,,,-253660.000
DerivativeInstrumentsGainLossReclassificationFromAccumulatedOCIToIncomeEstimatedNetAmountToBeTransferred,285163.000,24000.000,
EarningsPerShareBasicAndDiluted,-0.070,-0.030,0.000
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,0.340
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,,,-0.410
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,,,0.070
ExplorationCosts,962977.000,,
ExplorationExpense,,417092.000,
GainLossOnSaleOfOtherAssets,,,-483484.000
GeneralAndAdministrativeExpense,998574.000,880537.000,165025.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,,-1780254.000,-118445.000
IncreaseDecreaseInAccountsPayable,217731.000,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,-44414.000,-2233.000
IncreaseDecreaseInAccruedLiabilities,138382.000,328427.000,183307.000
IncreaseDecreaseInDerivativeLiabilities,,-197765.000,253660.000
IncreaseDecreaseInOtherOperatingAssets,,2712.000,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,1618.000,
IncreaseDecreaseInPrepaidExpense,-282.000,,
InterestExpense,-534466.000,482625.000,183244.000
InterestPaid,9397.000,42532.000,
LiabilitiesSubjectToCompromisePeriodIncreaseDecrease,,,30951.000
NetCashProvidedByUsedInFinancingActivities,1567400.000,653411.000,170277.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,1567400.000,653411.000,170277.000
NetCashProvidedByUsedInInvestingActivities,-37965.000,8900.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-37965.000,8900.000,
NetCashProvidedByUsedInOperatingActivities,-1506951.000,-685418.000,-155195.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-1506951.000,-685418.000,-155195.000
NetIncomeLoss,-2590017.000,-1780254.000,-118445.000
OperatingExpenses,2586677.000,1297629.000,165025.000
OperatingIncomeLoss,-2055551.000,-1297629.000,-165025.000
OtherExpenses,,482625.000,
OtherNoncashIncome,,,-483464.000
OtherNonoperatingIncomeExpense,,,-46580.000
PaymentsForCapitalImprovements,-37965.000,,
PaymentsToAcquireProjects,-25000.000,,
ProceedsFromCollaborators,50000.000,,
ProceedsFromIssuanceOfCommonStock,11000.000,295500.000,
ProceedsFromLoans,195000.000,,
ProceedsFromNotesPayable,1083200.000,319762.000,170277.000
ProceedsFromOtherShortTermDebt,540000.000,,
ProceedsFromRelatedPartyDebt,,103649.000,
ProceedsFromSaleOfOtherAssets,,8900.000,
ProfessionalFees,283101.000,,
ProfitLoss,,-1780254.000,118445.000
RepaymentsOfNotesPayable,-325000.000,-128000.000,
RepaymentsOfRelatedPartyDebt,-8300.000,-500.000,
RetainedEarningsCorrectionOfErrorNetOfTax,,,18194.000
Revenues,531126.000,,
SalesRevenueNet,531126.000,,
ShareBasedCompensation,122017.000,23642.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriod,,,250000.000
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,,,0.120
StockGrantedDuringPeriodValueSharebasedCompensationGross,,340000.000,12000.000
StockIssued,,210000.000,
StockIssued1,229888.000,,
StockIssuedDuringPeriodSharesConversionOfUnits,9460230.000,,
StockIssuedDuringPeriodSharesShareBasedCompensation,1799167.000,,
StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,,,27695.000
StockIssuedDuringPeriodValueConversionOfUnits,226253.000,,
StockIssuedDuringPeriodValueIssuedForCash,,295500.000,
StockIssuedDuringPeriodValueIssuedForServices,,,12000.000
StockIssuedDuringPeriodValueOther,,210000.000,
StockIssuedDuringPeriodValueShareBasedCompensation,220888.000,,
StockIssuedDuringPeriodValueShareBasedCompensationGross,,23642.000,
UnrealizedGainLossOnDerivatives,,,253660.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,63117514.000,92961764.000
