,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2013-06-30
AccountsPayableCurrent,272916.000,949504.000,620316.000,742650.000,700734.000,835542.000
AccruedSalariesCurrent,633521.000,,,,,305250.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,641593.000,737741.000,834084.000,930426.000,1028203.000,1341848.000
AdditionalPaidInCapitalCommonStock,24602808.000,30327054.000,39417276.000,41471244.000,42028960.000,50231875.000
Assets,4042494.000,6242304.000,9226499.000,8632168.000,8206644.000,7317997.000
AssetsCurrent,555729.000,2177031.000,3740307.000,3720709.000,3722964.000,2928202.000
CashAndCashEquivalentsAtCarryingValue,34914.000,,27276.000,11282.000,66454.000,64735.000
CommonStockValue,34571.000,42523.000,62342.000,67596.000,69079.000,111446.000
DueFromRelatedPartiesCurrent,,,1694075.000,1448588.000,1117581.000,
DueToRelatedPartiesCurrent,1212.000,,,,,
EmployeeRelatedLiabilitiesCurrent,25277.000,66334.000,125917.000,126693.000,116710.000,273422.000
GainContingencyUnrecordedAmount,,,,2000000.000,2000000.000,2000000.000
InterestPayableCurrent,91844.000,129568.000,135947.000,29431.000,60010.000,140462.000
InventoryNet,520815.000,1772252.000,2018956.000,2260839.000,2538929.000,2538929.000
Liabilities,5391861.000,5694277.000,3461945.000,3162280.000,4074784.000,4343039.000
LiabilitiesAndStockholdersEquity,4042494.000,6242304.000,9226499.000,8632168.000,8206644.000,7317997.000
LiabilitiesCurrent,2132937.000,2837273.000,2269430.000,1537524.000,1729454.000,4148038.000
LongTermDebt,,,,2409667.000,3419394.000,2943272.000
LongTermNotesPayable,3258924.000,2857004.000,1192515.000,1624756.000,2345330.000,195001.000
MineralPropertiesNet,2059940.000,2504422.000,2563748.000,2576083.000,2673200.000,2850073.000
NotesPayableCurrent,1108167.000,1691867.000,1387250.000,638750.000,852000.000,2593362.000
OtherAssets,31000.000,31000.000,31000.000,31000.000,37000.000,22795.000
PrepaidExpenseCurrentAndNoncurrent,18133.000,,1784360.000,1293634.000,,
PrepaidExpenseNoncurrent,,327183.000,,,802909.000,700104.000
PropertyPlantAndEquipmentNet,1377692.000,1202668.000,1107084.000,1010742.000,970571.000,816823.000
RelatedPartyTransactionDueFromToRelatedPartyCurrent,,404779.000,,,,324538.000
RetainedEarningsAccumulatedDeficit,-25986746.000,-29821550.000,-33715064.000,-36068952.000,-37966179.000,-47368363.000
StockholdersEquity,-1349367.000,548027.000,5764554.000,5469888.000,4131860.000,2974958.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-1349367.000,548027.000,5764554.000,5469888.000,4131860.000,2974958.000
