,2011-12-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,89000.000
AllocatedShareBasedCompensationExpense,22000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-1578000.000
CostOfRevenue,44344000.000
DeferredIncomeTaxExpenseBenefit,277000.000
DepreciationAndAmortization,407000.000
DepreciationDepletionAndAmortization,2348000.000
EarningsPerShareBasic,0.040
EarningsPerShareDiluted,0.020
GrossProfit,10708000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,204000.000
IncomeTaxExpenseBenefit,-39000.000
IncomeTaxesPaidNet,8000.000
IncreaseDecreaseInAccountsPayable,987000.000
IncreaseDecreaseInAccountsReceivable,2191000.000
IncreaseDecreaseInDeferredRevenue,544000.000
IncreaseDecreaseInIncomeTaxesPayableNetOfIncomeTaxesReceivable,-324000.000
IncreaseDecreaseInInventories,1010000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,215000.000
InterestExpense,192000.000
InterestPaid,195000.000
MarketingExpense,556000.000
NetCashProvidedByUsedInFinancingActivities,779000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,779000.000
NetCashProvidedByUsedInInvestingActivities,-3127000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-3127000.000
NetCashProvidedByUsedInOperatingActivities,770000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,770000.000
NetIncomeLoss,243000.000
OperatingExpenses,10312000.000
OperatingIncomeLoss,396000.000
OtherGeneralAndAdministrativeExpense,3614000.000
OtherNonoperatingExpense,192000.000
PaymentsToAcquirePropertyPlantAndEquipment,1177000.000
ProceedsFromRepaymentsOfLinesOfCredit,1312000.000
ProceedsFromRepaymentsOfNotesPayable,-533000.000
ResearchAndDevelopmentExpense,90000.000
Revenues,55052000.000
SalesRevenueNet,55052000.000
SellingExpense,5101000.000
ShareBasedCompensation,111000.000
StockIssuedDuringPeriodValueNewIssues,22000.000
WeightedAverageNumberOfDilutedSharesOutstanding,13600000.000
WeightedAverageNumberOfSharesOutstandingBasic,6570000.000
