,2013-09-30
EarningsPerShareBasicAndDiluted,-0.002
GeneralAndAdministrativeExpense,16714.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,5703.000
InterestExpense,306.000
NetCashProvidedByUsedInContinuingOperations,436.000
NetCashProvidedByUsedInFinancingActivities,11447.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,11447.000
NetCashProvidedByUsedInOperatingActivities,-11011.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-11011.000
OtherGeneralAndAdministrativeExpense,16408.000
ProceedsFromUnsecuredNotesPayable,11447.000
ProfitLoss,-16714.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,10000000.000
