,2011-12-31,2012-12-31
CashAndCashEquivalentsPeriodIncreaseDecrease,18708.000,-3751.000
ComprehensiveIncomeNetOfTax,-24982.000,-37148.000
CostsAndExpenses,18278.000,30336.000
EarningsPerShareBasicAndDiluted,0.010,0.010
EffectOfExchangeRateOnCashAndCashEquivalents,82.000,
EquityIssuancePerShareAmount,,0.300
GeneralAndAdministrativeExpense,7127.000,13336.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-2019.000,1585.000
IncreaseDecreaseInAccruedInterestReceivableNet,,6812.000
InterestExpense,6786.000,6812.000
InterestExpenseRelatedParty,6661.000,6812.000
NetCashProvidedByUsedInFinancingActivities,39048.000,25000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,39048.000,25000.000
NetCashProvidedByUsedInOperatingActivities,-20422.000,-28751.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-20422.000,-28751.000
NetIncomeLoss,-25064.000,-37148.000
NetIncomeLossAvailableToCommonStockholdersBasic,-25064.000,-37148.000
NonoperatingIncomeExpense,-6786.000,-6812.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,82.000,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentBeforeTax,,-347.000
ProceedsFromIssuanceOfCommonStock,27500.000,25000.000
ProceedsFromRelatedPartyDebt,11548.000,
ProfessionalFees,11151.000,17000.000
StockIssuedDuringPeriodSharesIssuedForCash,,83333.000
StockIssuedDuringPeriodValueIssuedForCash,,25000.000
StockIssuedDuringPeriodValueNewIssues,27500.000,
