,2013-03-31,2013-06-30
AssetRetirementObligationAccretionExpense,622.000,685.000
CashPeriodIncreaseDecrease,9924.000,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,19176.000,
CostsIncurredExplorationCosts,15861.000,34644.000
DepletionOfOilAndGasProperties,3478.000,3479.000
Depreciation,3478.000,
EarningsPerShareBasicAndDiluted,-0.010,-0.020
GeneralAndAdministrativeExpense,14713.000,25292.000
IncreaseDecreaseInAccountsPayable,-24490.000,
IncreaseDecreaseInAccruedInterestReceivableNet,20515.000,
InterestExpense,48014.000,50963.000
InterestExpenseSubordinatedNotesAndDebentures,27500.000,
InvestmentIncomeInterest,895.000,
LeaseOperatingExpense,8740.000,
NetCashProvidedByUsedInFinancingActivities,29100.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,29100.000,
NetCashProvidedByUsedInOperatingActivities,-19176.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-19176.000,
NetIncomeLoss,-46801.000,-78697.000
NonoperatingIncomeExpense,-47119.000,-50963.000
OilAndGasSalesRevenue,45846.000,38123.000
OperatingExpenses,45528.000,65857.000
OperatingIncomeLoss,319.000,-27734.000
OtherGeneralAndAdministrativeExpense,6000.000,6000.000
ProceedsFromIssuanceOfCommonStock,1600.000,
ProceedsFromNotesPayable,27500.000,
ProductionTaxExpense,2113.000,1757.000
Revenues,45846.000,38123.000
SalesRevenueNet,45846.000,38123.000
StockIssuedDuringPeriodValueIssuedForCash,1600.000,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,4000307.000,4003080.000
