,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2013-03-31,2013-09-30,2014-06-30,2016-03-31,2016-06-30,2017-03-31
AmortizationOfAcquisitionCosts,,,522142.000,,522913.000,,,802817.000,,0.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-66616.000,,-63677.000,,,244840.000,,48771.000
CashProvidedByUsedInDiscontinuedOperationsInvestingActivities,,,-9861.000,,,,,,,
ComprehensiveIncomeNetOfTax,-675093.000,-1478332.000,-781952.000,-705371.000,-164088.000,-306938.000,-1412981.000,-1039996.000,-953258.000,-599680.000
CostOfGoodsAndServicesSold,-1446813.000,-2423323.000,-1042022.000,-1091131.000,,,,,,
CostOfRevenue,,,,,-968605.000,-1295432.000,1878521.000,716078.000,,0.000
Depreciation,,,91292.000,,215647.000,106639.000,89970.000,115213.000,115213.000,104388.000
EarningsPerShareBasicAndDiluted,-0.010,-0.000,,-0.010,-0.000,-0.000,0.010,-0.010,-0.010,-0.020
EffectOfExchangeRateOnCashAndCashEquivalents,,,42064.000,,65595.000,,,3687.000,,-4109.000
GeneralAndAdministrativeExpense,-465541.000,-178857.000,-243506.000,-366045.000,-305495.000,-363234.000,-184108.000,-208924.000,-138460.000,-412311.000
GrossProfit,-253349.000,-1319182.000,-629297.000,-366862.000,119993.000,-3297.000,-1031036.000,-716078.000,-851924.000,0.000
IncomeLossFromContinuingOperations,-718890.000,-1498039.000,-872803.000,-732907.000,-185502.000,-366531.000,-1215144.000,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,-649661.000,-1497348.000,-915938.000,-768853.000,-225109.000,-329038.000,,0.000,,0.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,,,,,,,,-1009234.000,,-522442.000
IncomeTaxExpenseBenefit,-131669.000,-2065.000,,63617.000,-6099.000,,0.000,0.000,0.000,0.000
IncomeTaxesPaidNet,,,,,247240.000,,,84291.000,,0.000
IncreaseDecreaseInAccountsPayable,,,-527593.000,,-152606.000,,,0.000,,
IncreaseDecreaseInAccountsReceivable,,,228585.000,,1011634.000,,,0.000,,
IncreaseDecreaseInAccruedIncomeTaxesPayable,,,,,-241142.000,,,,,
IncreaseDecreaseInCustomerAdvancesAndDeposits,,,118266.000,,-2134047.000,,,-1498319.000,,50499.000
IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,,,54695.000,,486866.000,,,-164862.000,,14930.000
InterestExpense,,,-43325.000,-67812.000,-39789.000,-36617.000,,,,
InterestExpenseRelatedParty,,,,,,,,12343.000,,18869.000
InterestIncomeExpenseNonoperatingNet,,,,,,,-80700.000,-84291.000,-85019.000,-110153.000
InterestIncomeOperating,24942.000,404.000,190.000,288.000,182.000,48.000,125.000,59.000,140.000,22.000
InterestPaid,,,,,39789.000,,,0.000,,110154.000
NetCashProvidedByUsedInFinancingActivities,,,329732.000,,583918.000,,,2296905.000,,405506.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,329732.000,,583918.000,,,2296905.000,,405506.000
NetCashProvidedByUsedInInvestingActivities,,,,,-191247.000,,,-301367.000,,0.000
