,2011-06-30,2011-09-30,2012-09-30
CostsAndExpenses,152497.000,50716.000,
Depreciation,,,267.000
EarningsPerShareBasicAndDiluted,0.000,0.000,
ExplorationExpenseMining,5417.000,,
GainLossOnDispositionOfIntangibleAssets,,-614498.000,
GeneralAndAdministrativeExpense,16373.000,7599.000,52946.000
IncomeLossFromContinuingOperations,,,-728612.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,-152497.000,,
IncomeLossFromContinuingOperationsPerDilutedShare,,,-0.010
IncomeLossFromDiscontinuedOperationsNetOfTax,,,-2004.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,,,-0.010
InterestExpense,,,-7788.000
NetIncomeLoss,-152497.000,-665214.000,-730616.000
OperatingIncomeLoss,,-50716.000,-720824.000
OtherComprehensiveIncomeForeignCurrencyTranslationAdjustmentTaxPortionAttributableToParent,,,-21424.000
OtherComprehensiveIncomeLossTax,,,-752040.000
ProfessionalFees,100707.000,13117.000,78539.000
SalariesWagesAndOfficersCompensation,30000.000,30000.000,
WeightedAverageNumberOfDilutedSharesOutstanding,,204363018.000,127192883.000
