,2011-08-09,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30
AccountsPayableAndAccruedLiabilitiesCurrent,,49189.000,162530.000,83975.000,94888.000,74953.000,45885.000,30719.000,276856.000,211145.000,375987.000,185461.000,195775.000
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,,,,,103000.000,82000.000,57405.000,35741.000,18570.000,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,-1993812.000,-148725.000,-133014.000,-103146.000,-82301.000,-57405.000,-35741.000,-18570.000,0.000,,,
Assets,,59246714.000,55072676.000,50201836.000,50169771.000,50217900.000,42664364.000,41128499.000,39731159.000,36695835.000,30334912.000,25874592.000,21591664.000
AssetsCurrent,,5967618.000,6632505.000,3944220.000,6178786.000,8624957.000,12202186.000,15515980.000,19089778.000,22146899.000,16692865.000,13194891.000,9684476.000
AssetsHeldForSalePropertyPlantAndEquipment,,0.000,,,,,,,,,,,
AssetsNoncurrent,,53279096.000,48440171.000,46257616.000,43990985.000,41592943.000,30462178.000,25612519.000,20641381.000,14548936.000,13642047.000,12679701.000,11907188.000
CapitalLeasesFutureMinimumPaymentsDue,,,,,,,45272403.000,,,29087789.000,,,
CapitalLeasesFutureMinimumPaymentsDueCurrent,,,,,,,16184616.000,,,18535936.000,,,
CapitalLeasesFutureMinimumPaymentsDueInFiveYears,,,,,,,743670.000,,,0.000,,,
CapitalLeasesFutureMinimumPaymentsDueInFourYears,,,,,,,3776191.000,,,743670.000,,,
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,,,,,,6031990.000,,,3776191.000,,,
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,,,,,,18535936.000,,,6031990.000,,,
CapitalLeasesFutureMinimumPaymentsReceivable,,,,,49885467.000,48794163.000,45272403.000,41827203.000,38343723.000,,23478267.000,17806420.000,12072244.000
CapitalLeasesLessorBalanceSheetNetInvestmentInDirectFinancingLeasesCurrent,,0.000,0.000,2416344.000,4990607.000,7702045.000,10304383.000,12968109.000,15770015.000,15180015.000,11587258.000,7794393.000,3544330.000
CapitalLeasesLessorBalanceSheetNetInvestmentInDirectFinancingLeasesNoncurrent,,39456878.000,40016172.000,38195278.000,36241974.000,34165729.000,29726814.000,25227169.000,20471958.000,14546800.000,13639911.000,12677565.000,11905052.000
CapitalLeasesNetInvestmentInDirectFinancingLeases,,,,,41232581.000,41867774.000,40031197.000,38195278.000,36241973.000,29726815.000,25227169.000,20471958.000,15449382.000
CapitalLeasesNetInvestmentInDirectFinancingLeasesDeferredIncome,,,,,15952886.000,14226389.000,12541206.000,10931925.000,9401750.000,6660972.000,5551098.000,4634462.000,3922862.000
CapitalLeasesNetInvestmentInDirectFinancingLeasesUnguaranteedResidualValuesOfLeasedProperty,,0.000,0.000,,,,,,,7300000.000,,,
CashAndCashEquivalentsAtCarryingValue,,4657132.000,6171596.000,1164807.000,1178426.000,904740.000,1805049.000,2519281.000,3315632.000,6966884.000,4912468.000,5259176.000,6070789.000
ContractsReceivable,,192681.000,0.000,,,,,,,,,,
DueFromAffiliates,,,,,,,,,,,,141322.000,69357.000
DueFromRelatedPartiesCurrent,,,,,,,,,,,,,69357.000
DueToRelatedPartiesCurrent,,202967.000,111615.000,92907.000,87978.000,0.000,0.000,,,,,,
GeneralPartnersCapitalAccount,,,,,,,,,,-938070.000,,,
InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,,11991981.000,8378185.000,8037209.000,7724759.000,7402415.000,710564.000,360550.000,144623.000,0.000,,,
Liabilities,,2019465.000,676561.000,587968.000,586843.000,489556.000,431509.000,393435.000,640011.000,590951.000,758734.000,577503.000,577357.000
LiabilitiesAndStockholdersEquity,,59246714.000,55072676.000,50201836.000,50169771.000,50217900.000,42664364.000,41128499.000,39731159.000,36695835.000,30334912.000,25874592.000,21591664.000
LimitedPartnersCapitalAccount,,,,,,,,,,37061583.000,,,
MembersEquity,,,,,49563284.000,49705451.000,42204848.000,40707323.000,39100424.000,,29557392.000,25297089.000,21014307.000
MinorityInterest,,,,,,,,,,-18629.000,,,
NotesAndLoansReceivableNetCurrent,,474936.000,422568.000,350927.000,0.000,0.000,0.000,,,,,,
NotesAndLoansReceivableNetNoncurrent,,101807.000,20097.000,0.000,0.000,0.000,0.000,,,,,,
OtherAssetsCurrent,,642869.000,38341.000,12142.000,9753.000,18172.000,92754.000,28590.000,4131.000,0.000,193139.000,,
OtherAssetsNoncurrent,,4494.000,25717.000,25129.000,24252.000,24799.000,24800.000,24800.000,24800.000,2136.000,2136.000,2136.000,2136.000
OtherLiabilitiesCurrent,,1767309.000,45205.000,43000.000,43000.000,43000.000,13481.000,13481.000,13481.000,0.000,,,
PartnersCapital,,,,,,,,,,36123513.000,,,
PartnersCapitalAllocatedForIncomeTaxAndOtherWithdrawals,,,,,,,,,,47089636.000,,,
SharesOutstanding,,,,,,,,,,148211.000,,,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,57227249.000,54396115.000,49613868.000,49582928.000,49728344.000,42232855.000,40735064.000,39091148.000,36104884.000,29576178.000,25297089.000,21014307.000
