,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30
AssetManagementCosts,6113.000,5169.000,2184.000,1958.000,1837.000,2125.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-172876.000,,,,7447.000,
DerivativeGainLossOnDerivativeNet,-167500.000,-169950.000,-79950.000,-80100.000,9600.000,175800.000
FloorBrokerage,1930.000,1632.000,690.000,619.000,580.000,671.000
GainLossOnInvestments,-267100.000,-27850.000,-160800.000,-43300.000,34550.000,208500.000
IncreaseDecreaseInAccruedLiabilities,4705.000,,,,,
IncreaseDecreaseInDueToRelatedParties,,,,,9.000,
InterestIncomeOperating,,,,,,0.000
InvestmentIncomeNet,-8043.000,-6801.000,-2874.000,-2577.000,-2417.000,-2796.000
NetCashProvidedByUsedInFinancingActivities,6000500.000,,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,6000500.000,,,,,
NetCashProvidedByUsedInOperatingActivities,-172876.000,,,,7447.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-172876.000,,,,7447.000,
NetIncomeLoss,-275143.000,-34651.000,-163674.000,-45877.000,32133.000,205704.000
OperatingExpenses,8043.000,6801.000,2874.000,2577.000,2417.000,2796.000
PartnersCapitalAccountContributions,6000000.000,,,,,
PaymentsForBrokerageFees,2038.000,,,,,
ProceedsFromIssuanceOfCommonLimitedPartnersUnits,6000000.000,,,,,
StockIssuedDuringPeriodSharesNewIssues,25000.000,,,,25000.000,
UnrealizedGainLossOnDerivatives,-99600.000,142100.000,-80850.000,36800.000,24950.000,32700.000
UnrealizedGainLossOnInvestments,-99600.000,142100.000,-80850.000,36800.000,24950.000,32700.000
UnrealizedGainOnSecurities,,,,,23400.000,
UnrealizedLossOnSecurities,,,,,-1550.000,
