,2011-09-30,2012-03-31,2012-06-30,2012-09-30
AmortizationOfFinancingCosts,,1293000.000,,
AmortizationOfIntangibleAssets,,3187000.000,3187000.000,3186000.000
BusinessCombinationAcquisitionRelatedCosts,2064000.000,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,17169000.000,,
ComprehensiveIncomeNetOfTax,,7771000.000,2830000.000,9240000.000
CostOfRevenue,74365000.000,157353000.000,165018000.000,152822000.000
DeferredIncomeTaxExpenseBenefit,,-810000.000,,
DepreciationDepletionAndAmortization,,4064000.000,,
DerivativeInstrumentsGainLossRecognizedInOtherComprehensiveIncomeEffectivePortionNet,,,100000.000,22000.000
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,,54000.000,209000.000,149000.000
EarningsPerShareBasic,0.150,0.190,0.070,0.220
EarningsPerShareDiluted,0.140,0.180,0.070,0.210
EffectiveIncomeTaxRateContinuingOperations,,,0.389,0.326
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,,1118000.000,,
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,,1118000.000,,
GainLossOnDispositionOfProperty,,-3000.000,,
GeneralAndAdministrativeExpense,2144000.000,4304000.000,4731000.000,4604000.000
GrossProfit,18299000.000,37895000.000,28390000.000,38325000.000
IncomeLossFromContinuingOperations,,8002000.000,2597000.000,9024000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,9763000.000,13031000.000,4248000.000,13391000.000
IncomeLossFromContinuingOperationsPerBasicShare,,0.190,0.060,0.210
IncomeLossFromContinuingOperationsPerDilutedShare,,0.180,0.060,0.200
IncomeLossFromDiscontinuedOperationsNetOfTax,,-85000.000,332000.000,238000.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,,,0.010,0.010
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,,,0.010,0.010
IncomeTaxExpenseBenefit,3767000.000,5029000.000,1651000.000,4367000.000
IncreaseDecreaseInAccountsPayable,,-279000.000,,
IncreaseDecreaseInAccountsReceivable,,-123000.000,,
IncreaseDecreaseInAccountsReceivableRelatedParties,,-6323000.000,,
IncreaseDecreaseInAccruedIncomeTaxesPayable,,2074000.000,,
IncreaseDecreaseInAccruedLiabilities,,-1292000.000,,
IncreaseDecreaseInAssetsHeldForSale,,-192000.000,,
IncreaseDecreaseInEmployeeRelatedLiabilities,,-2767000.000,,
IncreaseDecreaseInInterestPayableNet,,4283000.000,,
IncreaseDecreaseInOtherOperatingAssets,,73000.000,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,-219000.000,,
IncreaseDecreaseInPrepaidTaxes,,-3717000.000,,
IncrementalCommonSharesAttributableToConversionOfPreferredStock,,,205000.000,207000.000
InterestExpense,,8226000.000,8134000.000,8072000.000
InvestmentIncomeNet,96000.000,3000.000,3000.000,3000.000
LaborAndRelatedExpense,4078000.000,8992000.000,7871000.000,8688000.000
MarketingAndAdvertisingExpense,336000.000,155000.000,222000.000,387000.000
NetCashProvidedByUsedInFinancingActivities,,-6595000.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,-6595000.000,,
NetCashProvidedByUsedInInvestingActivities,,-869000.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,-869000.000,,
NetCashProvidedByUsedInOperatingActivities,,24633000.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,24633000.000,,
NetIncomeLoss,5996000.000,7917000.000,2929000.000,9262000.000
NetIncomeLossAvailableToCommonStockholdersBasic,,,2584000.000,9011000.000
NetIncomeLossAvailableToCommonStockholdersDiluted,,,2597000.000,9024000.000
NonoperatingIncomeExpense,-1978000.000,-8226000.000,-8131000.000,-8069000.000
OperatingExpenses,6558000.000,16638000.000,16011000.000,16865000.000
OperatingIncomeLoss,11741000.000,21257000.000,12379000.000,21460000.000
OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesTax,,,60000.000,14000.000
OtherComprehensiveIncomeLossNetOfTax,,,-99000.000,-22000.000
OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease,,-146000.000,,
OtherComprehensiveIncomeLossTax,,92000.000,62000.000,14000.000
OtherCostOfServices,4947000.000,14732000.000,14288000.000,14510000.000
OtherNonoperatingExpense,10000.000,3000.000,,
PaymentsForProceedsFromShortTermInvestments,,3000.000,,
PaymentsToAcquirePropertyPlantAndEquipment,,866000.000,,
PreferredStockDividendsAndOtherAdjustments,,,13000.000,13000.000
RepaymentsOfLongTermDebt,,7552000.000,,
Revenues,92664000.000,195248000.000,193408000.000,191147000.000
SalesRevenueNet,92664000.000,195248000.000,193408000.000,191147000.000
ShareBasedCompensation,,764000.000,,
UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions,,,,800000.000
WeightedAverageNumberOfDilutedSharesOutstanding,,,45562000.000,45637000.000
WeightedAverageNumberOfSharesOutstandingBasic,,,43156000.000,43263000.000
