,2011-06-30,2011-12-31
AmortizationOfFinancingCostsAndDiscounts,,33000.000
AmortizationOfIntangibleAssets,,0.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,-229000.000
CostOfGoodsAndServicesSold,12762000.000,3091000.000
Depreciation,,508000.000
EarningsPerShareBasic,-0.010,-0.010
EarningsPerShareDiluted,-0.010,-0.010
EffectOfExchangeRateOnCashAndCashEquivalents,,-344000.000
EmbeddedDerivativeGainLossOnEmbeddedDerivativeNet,181000.000,0.000
GainsLossesOnExtinguishmentOfDebt,23000.000,0.000
GrossProfit,-559000.000,-984000.000
ImpairmentOfInvestments,0.000,
IncreaseDecreaseInAccountsPayableAndOtherOperatingLiabilities,,-2894000.000
IncreaseDecreaseInAccountsReceivable,,-2475000.000
IncreaseDecreaseInDueToRelatedPartiesCurrent,,0.000
IncreaseDecreaseInFairValueOfUnhedgedDerivativeInstruments,628000.000,0.000
IncreaseDecreaseInInventories,,-1302000.000
IncreaseDecreaseInOtherReceivables,,-395000.000
IncreaseDecreaseInPrepaidExpense,,-213000.000
InterestExpense,67000.000,59000.000
InterestPaid,,3000.000
InvestmentIncomeInterest,0.000,1000.000
NetCashProvidedByUsedInFinancingActivities,,-273000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,-273000.000
NetCashProvidedByUsedInInvestingActivities,,-74000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,-74000.000
NetCashProvidedByUsedInOperatingActivities,,462000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,462000.000
NetIncomeLoss,-1311000.000,-2192000.000
OperatingExpenses,1434000.000,1043000.000
OperatingIncomeLoss,-1993000.000,-2027000.000
OtherNonoperatingIncomeExpense,-60000.000,-107000.000
PaidInKindInterest,,23000.000
PaymentsToAcquirePropertyPlantAndEquipment,,74000.000
ProceedsFromShortTermDebt,,238000.000
RepaymentsOfShortTermDebt,,511000.000
ResearchAndDevelopmentExpense,63000.000,26000.000
Revenues,12203000.000,2107000.000
SalesRevenueNet,12203000.000,2107000.000
SellingGeneralAndAdministrativeExpense,1394000.000,1017000.000
ShareBasedCompensation,,62000.000
WeightedAverageNumberOfDilutedSharesOutstanding,161543403.000,173838226.000
WeightedAverageNumberOfSharesOutstandingBasic,161543403.000,173838226.000
