,2015-12-31
AssetManagementCosts,15424.000
CashAndCashEquivalentsPeriodIncreaseDecrease,785336.000
DerivativeGainLossOnDerivativeNet,-497500.000
FloorBrokerage,4871.000
GainLossOnInvestments,-499050.000
IncreaseDecreaseInAccruedLiabilities,635.000
InvestmentIncomeNet,-20295.000
NetCashProvidedByUsedInFinancingActivities,1303475.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,1303475.000
NetCashProvidedByUsedInOperatingActivities,-518139.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-518139.000
NetIncomeLoss,-519345.000
OperatingExpenses,20295.000
PartnersCapitalAccountContributions,6000000.000
PartnersCapitalAccountRedemptions,4697025.000
PaymentsForBrokerageFees,979.000
ProceedsFromIssuanceOfCommonLimitedPartnersUnits,6000000.000
StockIssuedDuringPeriodSharesNewIssues,25000.000
UnrealizedGainLossOnDerivatives,-1550.000
UnrealizedGainLossOnInvestments,-1550.000
