,2011-10-31,2012-01-31,2013-01-31,2013-07-31,2013-10-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-10-31,2017-01-31
AccretionOfDiscount,,,,,,31726.000,,4961.000,32099.000,35387.000,20346.000,6982.000,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,,72128851.000,,,,46332464.000,,,,
CashPeriodIncreaseDecrease,,,,1743.000,,,,28992.000,,,,,,,,
CostOfGoodsSold,,,,,,,,,,,,,,,11183.000,3927.000
DebtConversionConvertedInstrumentAmount1,,,,,,,,57394.000,,,,,,,,
DebtIssuanceCosts,,,,2500.000,,2500.000,,1017.000,1331.000,1331.000,695.000,126.000,,,,
Depreciation,155.000,,145.000,97.000,91.000,67.000,-3.000,,,,,,,,,
DepreciationAndAmortization,,131.000,,97.000,,,,,,,,,,,,
DerivativeGainLossOnDerivativeNet,,,,,,44953.000,,-51262.000,-69886.000,-271043.000,-39012.000,199600.000,-313035.000,-425784.000,-197529.000,159869.000
EarningsPerShareBasic,,,,,,,,,,,,0.100,,,,
EarningsPerShareBasicAndDiluted,0.000,-0.010,0.000,-0.010,-0.020,-0.030,0.030,0.000,-0.000,-0.270,-0.720,,-0.180,-0.040,-0.010,-0.000
EarningsPerShareDiluted,,,,,,,,,,,,0.000,,,,
ForeignCurrencyTransactionGainLossBeforeTax,,,,,,,,,,,,,112.000,3192.000,,
GainsLossesOnExtinguishmentOfDebt,158.000,0.000,,,,,,,,,,,,,,121.000
GeneralAndAdministrativeExpense,6313.000,3612.000,710.000,-543.000,1326.000,-8471.000,5648.000,4973.000,37655.000,-3719.000,15901.000,-1661.000,2104.000,1650.000,15452.000,18237.000
GrossProfit,,,,,,,,,,,,,,,8250.000,18570.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,-58145.000,,,,,,,,,,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,-17079.000,,,,-8593.000,,,,12218.000,,,,
IncreaseDecreaseInAccountsReceivable,,,,,,,,161.000,,,,,,,,
IncreaseDecreaseInEmployeeRelatedLiabilities,,,,24000.000,,,,15000.000,,,,,,,,
IncreaseDecreaseInPrepaidExpense,,,,-22686.000,,,,,,,,,,,,
InterestExpense,-51.000,0.000,,506.000,1403.000,71135.000,-69091.000,3023.000,28492.000,1624.000,2840.000,3231.000,3228.000,3134.000,8709.000,41116.000
ManagementFeeExpense,,,,,24000.000,15000.000,,15000.000,109565.000,,,,,,,
NetCashProvidedByUsedInFinancingActivities,,,,32500.000,,,,58500.000,,,,1651.000,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,32500.000,,,,58500.000,,,,1651.000,,,,
NetCashProvidedByUsedInOperatingActivities,,,,-30757.000,,,,-29508.000,,,,-1651.000,,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,,-30757.000,,,,-29508.000,,,,-1651.000,,,,
NetIncomeLoss,,-58145.000,-59241.000,-60566.000,-273221.000,-72982.000,1967.000,-92994.000,,-309477.000,,178623.000,,,-309241.000,-12903.000
NoncashOrPartNoncashAcquisitionNoncashFinancialOrEquityInstrumentConsiderationSharesIssued1,,,,,,,,,1500000.000,,,,,,,
NonoperatingIncomeExpense,107.000,0.000,,-3006.000,-241403.000,-60408.000,34504.000,-60263.000,-131808.000,-309385.000,-62893.000,189261.000,,,-206238.000,118874.000
OfficersCompensation,,,,,,,,,,,,,,100000.000,,
OperatingExpenses,20988.000,58513.000,59426.000,57730.000,32017.000,12696.000,32531.000,32959.000,150251.000,92.000,50472.000,10638.000,31987.000,115741.000,111253.000,150347.000
OperatingIncomeLoss,-20531.000,,-59241.000,-57560.000,-31818.000,-12574.000,-32537.000,-32731.000,-150221.000,-92.000,-50472.000,-10638.000,-31987.000,-115741.000,-103003.000,-131777.000
OtherExpenses,,,,,,,,,,,,,316263.000,428918.000,,
PaymentForManagementFee,,,,-24000.000,,,,,,,,,,,,
ProFormaWeightedAverageSharesOutstandingDiluted,,,,,,,,,,,,46332464.000,,,,
ProceedsFromContributionsFromAffiliates,,,,105.000,,,,,,,,,,,,
ProceedsFromConvertibleDebt,,,,32500.000,,,,73000.000,,,,,,,,
ProceedsFromRelatedPartyDebt,,,,,,,,,,,,1651.000,,,,
ProfessionalFees,14520.000,5520.000,11373.000,11490.000,6600.000,6100.000,5886.000,11236.000,3031.000,3811.000,34571.000,12299.000,29995.000,17283.000,20301.000,106906.000
ProfitLoss,-20424.000,,,,,,,,-282029.000,,,,-348250.000,-544659.000,,
RepaymentsOfRelatedPartyDebt,,,,,,,,14500.000,,,,,,,,
Revenues,457.000,368.000,185.000,170.000,199.000,122.000,-6.000,228.000,30.000,,,,,,19433.000,22497.000
SalariesAndWages,0.000,0.000,,,,,,,,,,,,,,
SalesRevenueNet,457.000,368.000,185.000,170.000,199.000,122.000,-6.000,228.000,30.000,,,,,,19433.000,22497.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,9382690.000,9837038.000,13228342.000,2149847.000,-10436288.000,28179031.000,63070112.000,1145931.000,-91592628.000,,1913566.000,14143007.000,40385311.000,49152464.000
WeightedAverageNumberOfSharesOutstandingBasic,,,,,,,,,,,,1856671.000,,,,
