,2011-09-30,2012-03-31,2012-09-30
ComprehensiveIncomeNetOfTax,-53000.000,,-53000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,-53000.000,,-53000.000
DistributionMadeToMemberOrLimitedPartnerCashDistributionsPaid,,,25000.000
DistributionMadeToMemberOrLimitedPartnerDistributionsPaidPerUnit,,,2.510
Dividends,,-350000.000,25000.000
GeneralAndAdministrativeExpense,56000.000,,56000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,-42000.000,,-42000.000
IncomeLossFromDiscontinuedOperationsNetOfTax,-11000.000,,-11000.000
IncomeLossFromEquityMethodInvestments,13000.000,,13000.000
InvestmentIncomeInterestAndDividend,1000.000,,1000.000
NetIncomeLoss,-53000.000,,-53000.000
ProfitLoss,-53000.000,,-53000.000
