,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31
AccountsPayableCurrent,17094000.000,14196000.000,16389000.000,39906000.000,25839000.000,26267000.000,26481000.000,35962000.000,18140000.000
AccountsReceivableNetCurrent,24287000.000,22680000.000,12352000.000,75067000.000,63690000.000,69136000.000,66571000.000,82558000.000,74196000.000
AccruedLiabilitiesCurrent,53191000.000,66567000.000,47444000.000,59274000.000,71916000.000,76133000.000,91501000.000,82750000.000,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,387632000.000,406773000.000,426227000.000,473433000.000,504442000.000,526858000.000,550075000.000,574414000.000,603936000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,-85000.000,,,141000.000,,,,-58000.000
AdditionalPaidInCapital,,244211000.000,,,274635000.000,,,,307835000.000
AllowanceForDoubtfulAccountsReceivableCurrent,1343000.000,405000.000,210000.000,428000.000,535000.000,683000.000,890000.000,520000.000,629000.000
AssetRetirementObligationCurrent,,,,,500000.000,,,,500000.000
Assets,1950769000.000,1962616000.000,1930549000.000,2353874000.000,2426475000.000,2512634000.000,2676237000.000,2692565000.000,2848827000.000
AssetsCurrent,206975000.000,209052000.000,175347000.000,244648000.000,260193000.000,239023000.000,270584000.000,239688000.000,313756000.000
AssetsHeldForSaleLongLived,,,,22822000.000,22599000.000,0.000,0.000,0.000,0.000
BusinessAcquisitionCostOfAcquiredEntityCashPaid,,,,,400000.000,,,,
CapitalLeaseObligationsNoncurrent,24672000.000,23919000.000,23156000.000,31922000.000,,,,,
CapitalLeasedAssetsGross,,,,37199000.000,37199000.000,37199000.000,37199000.000,37199000.000,
CapitalLeasesBalanceSheetAssetsByMajorClassNet,,,,24249000.000,23386000.000,22523000.000,21661000.000,20798000.000,
CapitalLeasesFutureMinimumPaymentsDue,,,,4582000.000,,,,,
