,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
GainLossOnDerivativeInstrumentsHeldForTradingPurposesNet,,,-10306883.000,-8433000.000,,6783336.000,-4992020.000,-15165717.000,8551286.000,-8318573.000,8221766.000,8714248.000,34295406.000,15672792.000,-20165372.000,16828743.000,4232204.000,2551977.000,-2428768.000,-1364352.000,-5978819.000,-1520988.000
IncomeLossAttributableToParent,,2647382.000,-12525851.000,-11619889.000,-15860120.000,3992051.000,-7604521.000,-18636532.000,6524785.000,-10013643.000,6744838.000,7344028.000,29092689.000,11141128.000,-21682501.000,15286951.000,2554613.000,720414.000,-3215430.000,-2772174.000,-7339031.000,-2672730.000
InterestAndDividendIncomeOperating,-6839025.000,-3691993.000,-2005738.000,-2955227.000,-2727958.000,-2575479.000,-2369937.000,-3285629.000,-1832472.000,-1530766.000,-1358648.000,-1239983.000,,,,,,,,,,
InterestIncomeExpenseNet,,,,,,,,,,,,,,4152.000,-3755.000,-685.000,6462.000,50135.000,50690.000,57588.000,70395.000,128002.000
InterestIncomeOperating,31854.000,-2837.000,13317.000,-8708.000,-1781.000,565.000,-6206.000,-622.000,-2701.000,-2445.000,1670.000,3087.000,,,,,,,,,,
LossContingencyAccrualCarryingValueProvision,,,,,,0.000,,,,,,,,,,,,,,,,
LossContingencyAccrualProvision,,,,,,,,,,0.000,,,,0.000,,,,0.000,,,,0.000
NoninterestExpenseCommissionExpense,176505.000,200447.000,213230.000,231662.000,208292.000,215806.000,242564.000,185186.000,194029.000,164304.000,118280.000,130237.000,149700.000,129118.000,118307.000,101600.000,114133.000,107302.000,118843.000,96525.000,104782.000,99266.000
NoninterestExpenseInvestmentAdvisoryFees,1543447.000,1553112.000,1550331.000,1562974.000,1397057.000,1329747.000,1231573.000,1098943.000,939350.000,755401.000,681105.000,639754.000,702636.000,774424.000,644994.000,656101.000,677002.000,659508.000,616794.000,607422.000,562860.000,519947.000
NoninterestExpenseRelatedToPerformanceFees,4315238.000,889783.000,-874778.000,4456.000,0.000,,,,,,,,,2862990.000,,,,330158.000,,,,
NoninterestIncomeOtherOperatingIncome,,,,,,,,,,,,,,,,,,,647420.000,,,
OperatingExpenses,6870879.000,3689156.000,2019055.000,2946519.000,2726177.000,2576044.000,2363731.000,3285007.000,1829771.000,1528321.000,1360318.000,1243070.000,5054662.000,4406698.000,1395067.000,1439507.000,1569920.000,1774396.000,1365929.000,1368885.000,1325825.000,1180478.000
OtherExpenses,152233.000,196868.000,232283.000,237799.000,295102.000,254504.000,199172.000,1339494.000,165348.000,186950.000,169311.000,119653.000,93422.000,164820.000,180918.000,177255.000,157057.000,134379.000,141770.000,168295.000,217411.000,160195.000
PartnersCapitalAccountContributions,,19245632.000,,,,,,,,,,,,,,,,,,,,
PartnersCapitalAccountRedemptions,,21923895.000,,,,,,,,,,,,,,,,,,,,
ProfitLoss,25600141.000,,,,,,,,,,,,,,,,,,,,,
RealizedInvestmentGainsLosses,27441012.000,12141063.000,-1041634.000,-14832755.000,-18064768.000,6575549.000,-10467301.000,-2122265.000,-2212565.000,-2974080.000,6872112.000,8139832.000,27145153.000,22218991.000,-14982763.000,13777894.000,7401851.000,3288689.000,-9416175.000,2040758.000,-5053606.000,51262.000
RevenuesExcludingInterestAndDividends,32439166.000,6339375.000,-10520113.000,-8664662.000,-13132162.000,6567530.000,-5234584.000,-15350903.000,8357257.000,-8482877.000,8103486.000,8584011.000,,,,,,,,,,
SponsorFees,859961.000,1049393.000,1111219.000,1141290.000,1034018.000,991793.000,932986.000,846570.000,725073.000,585970.000,509902.000,483663.000,535409.000,604464.000,569155.000,606151.000,625375.000,650351.000,607365.000,593168.000,545554.000,500336.000
TradingGainsLosses,,,,,,,,,,,,,,15543674.000,-20283679.000,16727143.000,4118071.000,2444675.000,-2547611.000,-1460877.000,-6083601.000,-1620254.000
UnrealizedGainLossOnInvestments,,,-9265249.000,6399755.000,,207787.000,5475281.000,-13043452.000,10763851.000,-5344493.000,1349654.000,574416.000,7150253.000,-6546199.000,-5182609.000,3050849.000,-3169647.000,-736712.000,6987407.000,-3405110.000,-925213.000,-1572250.000
