,2011-12-31
CashAndCashEquivalentsPeriodIncreaseDecrease,-394394.000
ComprehensiveIncomeNetOfTax,4352469.000
CostOfGoodsAndServicesSold,-13346303.000
DepreciationAndAmortization,2807507.000
EarningsPerShareBasic,0.390
EarningsPerShareDiluted,0.390
EffectOfExchangeRateOnCashAndCashEquivalents,25437.000
FinancialServicesCosts,-127080.000
GainLossOnDispositionOfProperty,3873.000
GainLossOnSaleOfPropertyPlantEquipment,1542.000
GeneralAndAdministrativeExpense,-537570.000
GrossProfit,5661336.000
IncomeLossFromContinuingOperations,3547126.000
IncomeTaxExpenseBenefit,-874341.000
IncomeTaxesPaid,1177948.000
IncreaseDecreaseInAccountsPayableTrade,-150300.000
IncreaseDecreaseInAccountsReceivable,618616.000
IncreaseDecreaseInAccruedIncomeTaxesPayable,-303608.000
IncreaseDecreaseInDeposits,-110622.000
IncreaseDecreaseInInventories,-58991.000
IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,-148584.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,725804.000
InterestExpense,-502359.000
InterestIncomeOperating,12464.000
InterestPaidNet,413007.000
NetCashProvidedByUsedInFinancingActivities,-2954178.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-2954178.000
NetCashProvidedByUsedInInvestingActivities,-9428158.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-9428158.000
NetCashProvidedByUsedInOperatingActivities,6054149.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,6054149.000
NetIncomeLoss,2672785.000
OperatingExpenses,-1622772.000
OperatingIncomeLoss,4038564.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,1679684.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,1679684.000
PaymentsToAcquirePropertyPlantAndEquipment,-2559200.000
ProceedsFromIssuanceOfDebt,1549331.000
ProceedsFromIssuanceOfLongTermDebt,3098661.000
RepaymentsOfAdvancesForConstruction,-6872831.000
RepaymentsOfConvertibleDebt,-193534.000
RepaymentsOfLongTermDebt,-203390.000
RepaymentsOfRelatedPartyDebt,252441.000
RepaymentsOfShortTermDebt,-1549331.000
Revenues,19007639.000
SalesRevenueNet,19007639.000
SellingAndMarketingExpense,-958122.000
TransferOfInvestments,787060.000
WeightedAverageNumberOfDilutedSharesOutstanding,6866122.000
WeightedAverageNumberOfSharesOutstandingBasic,6866122.000
