,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AdjustmentForAmortization,75100000.000,81700000.000,84000000.000,80200000.000,84000000.000,83000000.000,82000000.000,-126000000.000,32000000.000,36000000.000,34000000.000,36000000.000,45000000.000,47000000.000,50000000.000,46000000.000,49000000.000,,,,53000000.000,,,,88000000.000,
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,7500000.000,,,,,,,,,,,,,,,,,,,,,,,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,19600000.000,,,,21000000.000,,,,20000000.000,,,,21000000.000,,,,23000000.000,,,,28000000.000,,,,32000000.000,
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,3300000.000,,,,3000000.000,,,,3000000.000,,,,2000000.000,,,,37000000.000,,,,16000000.000,28000000.000,,,,
AmortizationOfIntangibleAssets,26700000.000,32100000.000,31000000.000,32200000.000,31000000.000,31000000.000,30000000.000,31000000.000,32000000.000,36000000.000,34000000.000,36000000.000,45000000.000,47000000.000,50000000.000,46000000.000,49000000.000,49000000.000,54000000.000,58000000.000,53000000.000,88000000.000,89000000.000,89000000.000,88000000.000,95000000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,5200000.000,5100000.000,10000000.000,-28100000.000,-6800000.000,8800000.000,6400000.000,-2000000.000,5100000.000,2100000.000,0.000,,2500000.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,,,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionAggregateLosses,,,,,,,,,,,,,-1000000.000,,,,,,,,,,,,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses,,,,,,,,,,,,,-1000000.000,,,,,,,,,,,,,
BusinessCombinationAcquisitionRelatedCosts,,64000000.000,39000000.000,,,,,,,,,,,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-1022500000.000,-238000000.000,313000000.000,94500000.000,-215000000.000,703000000.000,30000000.000,-28000000.000,518000000.000,-942000000.000,139000000.000,229000000.000,42000000.000,-62000000.000,37000000.000,439000000.000,-121000000.000,,,,3597000000.000,,,,-103000000.000,
CommonStockDividendsPerShareDeclared,0.180,,180000.000,,0.212,0.212,0.212,0.266,0.265,0.265,0.265,0.305,0.305,0.305,0.305,0.345,0.345,0.345,0.345,0.380,0.380,0.380,1.140,-0.335,0.425,
